FUNIT: Hz
UNIT: dB
1.000000e+07 [-0.67, -5.80] [-0.47, -4.80] [-0.27, -3.80]
1.038189e+07 [-0.90, -3.64] [-0.70, -2.64] [-0.50, -1.64]
1.077836e+07 [-0.43, -3.75] [-0.23, -2.75] [-0.03, -1.75]
1.118997e+07 [-0.57, -6.31] [-0.37, -5.31] [-0.17, -4.31]
1.161731e+07 [-0.11, -5.83] [0.09, -4.83] [0.29, -3.83]
1.206096e+07 [-0.29, -4.88] [-0.09, -3.88] [0.11, -2.88]
1.252155e+07 [-0.66, -6.12] [-0.46, -5.12] [-0.26, -4.12]
1.299974e+07 [-0.32, -5.99] [-0.12, -4.99] [0.08, -3.99]
1.349618e+07 [-0.67, -9.22] [-0.47, -8.22] [-0.27, -7.22]
1.401158e+07 [-0.52, -7.91] [-0.32, -6.91] [-0.12, -5.91]
1.454667e+07 [-0.63, -8.95] [-0.43, -7.95] [-0.23, -6.95]
1.510219e+07 [-0.51, -8.96] [-0.31, -7.96] [-0.11, -6.96]
1.567893e+07 [-0.48, -9.11] [-0.28, -8.11] [-0.08, -7.11]
1.627769e+07 [-0.51, -9.93] [-0.31, -8.93] [-0.11, -7.93]
1.689931e+07 [-0.67, -9.82] [-0.47, -8.82] [-0.27, -7.82]
1.754468e+07 [-0.54, -10.49] [-0.34, -9.49] [-0.14, -8.49]
1.821469e+07 [-0.42, -10.65] [-0.22, -9.65] [-0.02, -8.65]
1.891029e+07 [-0.48, -11.72] [-0.28, -10.72] [-0.08, -9.72]
1.963245e+07 [-0.40, -12.05] [-0.20, -11.05] [0.00, -10.05]
2.038219e+07 [-0.17, -12.29] [0.03, -11.29] [0.23, -10.29]
2.116056e+07 [-0.27, -13.23] [-0.07, -12.23] [0.13, -11.23]
2.196866e+07 [-0.32, -13.26] [-0.12, -12.26] [0.08, -11.26]
2.280762e+07 [-0.41, -13.69] [-0.21, -12.69] [-0.01, -11.69]
2.367862e+07 [-0.34, -14.59] [-0.14, -13.59] [0.06, -12.59]
2.458288e+07 [-0.36, -15.51] [-0.16, -14.51] [0.04, -13.51]
2.552167e+07 [-0.33, -15.01] [-0.13, -14.01] [0.07, -13.01]
2.649631e+07 [-0.34, -15.60] [-0.14, -14.60] [0.06, -13.60]
2.750818e+07 [-0.39, -16.62] [-0.19, -15.62] [0.01, -14.62]
2.855868e+07 [-0.36, -17.70] [-0.16, -16.70] [0.04, -15.70]
2.964930e+07 [-0.43, -18.82] [-0.23, -17.82] [-0.03, -16.82]
3.078158e+07 [-0.35, -18.65] [-0.15, -17.65] [0.05, -16.65]
3.195709e+07 [-0.36, -19.21] [-0.16, -18.21] [0.04, -17.21]
3.317750e+07 [-0.35, -19.81] [-0.15, -18.81] [0.05, -17.81]
3.444451e+07 [-0.38, -20.74] [-0.18, -19.74] [0.02, -18.74]
3.575990e+07 [-0.37, -21.02] [-0.17, -20.02] [0.03, -19.02]
3.712553e+07 [-0.29, -21.64] [-0.09, -20.64] [0.11, -19.64]
3.854331e+07 [-0.33, -23.05] [-0.13, -22.05] [0.07, -21.05]
4.001524e+07 [-0.32, -23.31] [-0.12, -22.31] [0.08, -21.31]
4.154338e+07 [-0.27, -24.43] [-0.07, -23.43] [0.13, -22.43]
4.312987e+07 [-0.31, -25.55] [-0.11, -24.55] [0.09, -23.55]
4.477695e+07 [-0.32, -26.21] [-0.12, -25.21] [0.08, -24.21]
4.648693e+07 [-0.28, -27.36] [-0.08, -26.36] [0.12, -25.36]
4.826221e+07 [-0.26, -28.41] [-0.06, -27.41] [0.14, -26.41]
5.010529e+07 [-0.31, -29.36] [-0.11, -28.36] [0.09, -27.36]
5.201875e+07 [-0.33, -30.68] [-0.13, -29.68] [0.07, -28.68]
5.400529e+07 [-0.32, -32.01] [-0.12, -31.01] [0.08, -30.01]
5.606769e+07 [-0.37, -32.79] [-0.17, -31.79] [0.03, -30.79]
5.820885e+07 [-0.32, -33.97] [-0.12, -32.97] [0.08, -31.97]
6.043178e+07 [-0.34, -35.20] [-0.14, -34.20] [0.06, -33.20]
6.273960e+07 [-0.37, -36.54] [-0.17, -35.54] [0.03, -34.54]
6.513556e+07 [-0.32, -38.07] [-0.12, -37.07] [0.08, -36.07]
6.762301e+07 [-0.32, -39.47] [-0.12, -38.47] [0.08, -37.47]
7.020545e+07 [-0.30, -40.73] [-0.10, -39.73] [0.10, -38.73]
7.288652e+07 [-0.32, -42.36] [-0.12, -41.36] [0.08, -40.36]
7.566997e+07 [-0.37, -43.92] [-0.17, -42.92] [0.03, -41.92]
7.855972e+07 [-0.34, -45.73] [-0.14, -44.73] [0.06, -43.73]
8.155983e+07 [-0.33, -47.17] [-0.13, -46.17] [0.07, -45.17]
8.467450e+07 [-0.31, -48.91] [-0.11, -47.91] [0.09, -46.91]
8.790813e+07 [-0.33, -50.93] [-0.13, -49.93] [0.07, -48.93]
9.126524e+07 [-0.36, -53.03] [-0.16, -52.03] [0.04, -51.03]
9.475055e+07 [-0.37, -55.05] [-0.17, -54.05] [0.03, -53.05]
9.836897e+07 [-0.34, -56.89] [-0.14, -55.89] [0.06, -54.89]
1.021256e+08 [-0.32, -59.00] [-0.12, -58.00] [0.08, -57.00]
1.060256e+08 [-0.32, -60.94] [-0.12, -59.94] [0.08, -58.94]
1.100746e+08 [-0.31, -63.62] [-0.11, -62.62] [0.09, -61.62]
1.142782e+08 [-0.36, -65.88] [-0.16, -64.88] [0.04, -63.88]
1.186424e+08 [-0.34, -68.36] [-0.14, -67.36] [0.06, -66.36]
1.231732e+08 [-0.34, -70.97] [-0.14, -69.97] [0.06, -68.97]
1.278771e+08 [-0.34, -73.71] [-0.14, -72.71] [0.06, -71.71]
1.327605e+08 [-0.38, -76.42] [-0.18, -75.42] [0.02, -74.42]
1.378305e+08 [-0.36, -79.28] [-0.16, -78.28] [0.04, -77.28]
1.430941e+08 [-0.35, -82.26] [-0.15, -81.26] [0.05, -80.26]
1.485587e+08 [-0.35, -85.44] [-0.15, -84.44] [0.05, -83.44]
1.542320e+08 [-0.35, -88.44] [-0.15, -87.44] [0.05, -86.44]
1.601219e+08 [-0.35, -91.89] [-0.15, -90.89] [0.05, -89.89]
1.662368e+08 [-0.37, -95.44] [-0.17, -94.44] [0.03, -93.44]
1.725852e+08 [-0.37, -99.07] [-0.17, -98.07] [0.03, -97.07]
1.791760e+08 [-0.37, -102.70] [-0.17, -101.70] [0.03, -100.70]
1.860186e+08 [-0.35, -106.64] [-0.15, -105.64] [0.05, -104.64]
1.931224e+08 [-0.36, -110.69] [-0.16, -109.69] [0.04, -108.69]
2.004975e+08 [-0.34, -114.81] [-0.14, -113.81] [0.06, -112.81]
2.081543e+08 [-0.37, -119.18] [-0.17, -118.18] [0.03, -117.18]
2.161035e+08 [-0.36, -123.69] [-0.16, -122.69] [0.04, -121.69]
2.243562e+08 [-0.35, -128.34] [-0.15, -127.34] [0.05, -126.34]
2.329241e+08 [-0.37, -133.21] [-0.17, -132.21] [0.03, -131.21]
2.418192e+08 [-0.36, -138.30] [-0.16, -137.30] [0.04, -136.30]
2.510540e+08 [-0.36, -143.40] [-0.16, -142.40] [0.04, -141.40]
2.606415e+08 [-0.36, -148.93] [-0.16, -147.93] [0.04, -146.93]
2.705951e+08 [-0.38, -154.52] [-0.18, -153.52] [0.02, -152.52]
2.809288e+08 [-0.39, -160.36] [-0.19, -159.36] [0.01, -158.36]
2.916571e+08 [-0.37, -166.54] [-0.17, -165.54] [0.03, -164.54]
3.027952e+08 [-0.38, -172.82] [-0.18, -171.82] [0.02, -170.82]
3.143586e+08 [-0.38, -179.35] [-0.18, -178.35] [0.02, -177.35]
3.263636e+08 [-0.39, 173.89] [-0.19, 174.89] [0.01, 175.89]
3.388271e+08 [-0.40, 166.78] [-0.20, 167.78] [0.00, 168.78]
3.517665e+08 [-0.39, 159.45] [-0.19, 160.45] [0.01, 161.45]
3.652000e+08 [-0.40, 151.87] [-0.20, 152.87] [0.00, 153.87]
3.791466e+08 [-0.40, 143.98] [-0.20, 144.98] [0.00, 145.98]
3.936258e+08 [-0.40, 135.76] [-0.20, 136.76] [0.00, 137.76]
4.086579e+08 [-0.39, 127.24] [-0.19, 128.24] [0.01, 129.24]
4.242641e+08 [-0.40, 118.36] [-0.20, 119.36] [-0.00, 120.36]
4.404662e+08 [-0.39, 109.18] [-0.19, 110.18] [0.01, 111.18]
4.572871e+08 [-0.40, 99.61] [-0.20, 100.61] [-0.00, 101.61]
4.747504e+08 [-0.40, 89.79] [-0.20, 90.79] [-0.00, 91.79]
4.928806e+08 [-0.41, 79.49] [-0.21, 80.49] [-0.01, 81.49]
5.117031e+08 [-0.42, 68.82] [-0.22, 69.82] [-0.02, 70.82]
5.312445e+08 [-0.43, 57.80] [-0.23, 58.80] [-0.03, 59.80]
5.515321e+08 [-0.44, 46.28] [-0.24, 47.28] [-0.04, 48.28]
5.725945e+08 [-0.44, 34.37] [-0.24, 35.37] [-0.04, 36.37]
5.944612e+08 [-0.44, 22.05] [-0.24, 23.05] [-0.04, 24.05]
6.171630e+08 [-0.45, 9.16] [-0.25, 10.16] [-0.05, 11.16]
6.407317e+08 [-0.46, -4.10] [-0.26, -3.10] [-0.06, -2.10]
6.652006e+08 [-0.46, -18.02] [-0.26, -17.02] [-0.06, -16.02]
6.906038e+08 [-0.47, -32.37] [-0.27, -31.37] [-0.07, -30.37]
7.169772e+08 [-0.46, -47.24] [-0.26, -46.24] [-0.06, -45.24]
7.443577e+08 [-0.46, -62.64] [-0.26, -61.64] [-0.06, -60.64]
7.727839e+08 [-0.46, -78.69] [-0.26, -77.69] [-0.06, -76.69]
8.022956e+08 [-0.46, -95.39] [-0.26, -94.39] [-0.06, -93.39]
8.329344e+08 [-0.46, -112.71] [-0.26, -111.71] [-0.06, -110.71]
8.647432e+08 [-0.47, -130.73] [-0.27, -129.73] [-0.07, -128.73]
8.977667e+08 [-0.47, -149.44] [-0.27, -148.44] [-0.07, -147.44]
9.320514e+08 [-0.47, -168.85] [-0.27, -167.85] [-0.07, -166.85]
9.676454e+08 [-0.48, 170.99] [-0.28, 171.99] [-0.08, 172.99]
1.004599e+09 [-0.49, 150.14] [-0.29, 151.14] [-0.09, 152.14]
1.042963e+09 [-0.49, 128.44] [-0.29, 129.44] [-0.09, 130.44]
1.082793e+09 [-0.50, 105.88] [-0.30, 106.88] [-0.10, 107.88]
1.124143e+09 [-0.51, 82.56] [-0.31, 83.56] [-0.11, 84.56]
1.167073e+09 [-0.52, 58.33] [-0.32, 59.33] [-0.12, 60.33]
1.211642e+09 [-0.52, 33.09] [-0.32, 34.09] [-0.12, 35.09]
1.257913e+09 [-0.52, 6.92] [-0.32, 7.92] [-0.12, 8.92]
1.305952e+09 [-0.53, -20.24] [-0.33, -19.24] [-0.13, -18.24]
1.355825e+09 [-0.53, -48.49] [-0.33, -47.49] [-0.13, -46.49]
1.407602e+09 [-0.54, -77.78] [-0.34, -76.78] [-0.14, -75.78]
1.461357e+09 [-0.55, -108.16] [-0.35, -107.16] [-0.15, -106.16]
1.517164e+09 [-0.57, -139.71] [-0.37, -138.71] [-0.17, -137.71]
1.575103e+09 [-0.57, -172.50] [-0.37, -171.50] [-0.17, -170.50]
1.635254e+09 [-0.59, 153.53] [-0.39, 154.53] [-0.19, 155.53]
1.697703e+09 [-0.60, 118.26] [-0.40, 119.26] [-0.20, 120.26]
1.762536e+09 [-0.60, 81.69] [-0.40, 82.69] [-0.20, 83.69]
1.829845e+09 [-0.59, 43.67] [-0.39, 44.67] [-0.19, 45.67]
1.899725e+09 [-0.60, 4.20] [-0.40, 5.20] [-0.20, 6.20]
1.972273e+09 [-0.61, -37.00] [-0.41, -36.00] [-0.21, -35.00]
2.047592e+09 [-0.63, -79.54] [-0.43, -78.54] [-0.23, -77.54]
2.125787e+09 [-0.65, -123.67] [-0.45, -122.67] [-0.25, -121.67]
2.206969e+09 [-0.65, -169.45] [-0.45, -168.45] [-0.25, -167.45]
2.291250e+09 [-0.65, 143.17] [-0.45, 144.17] [-0.25, 145.17]
2.378751e+09 [-0.65, 93.16] [-0.45, 94.16] [-0.25, 95.16]
2.469592e+09 [-0.66, 40.88] [-0.46, 41.88] [-0.26, 42.88]
2.563903e+09 [-0.63, -11.85] [-0.43, -10.85] [-0.23, -9.85]
2.661816e+09 [-0.67, -65.82] [-0.47, -64.82] [-0.27, -63.82]
2.763468e+09 [-0.69, -123.48] [-0.49, -122.48] [-0.29, -121.48]
2.869001e+09 [-0.72, 176.82] [-0.52, 177.82] [-0.32, 178.82]
2.978565e+09 [-0.72, 114.58] [-0.52, 115.58] [-0.32, 116.58]
3.092313e+09 [-0.73, 50.11] [-0.53, 51.11] [-0.33, 52.11]
3.210405e+09 [-0.75, -16.45] [-0.55, -15.45] [-0.35, -14.45]
3.333007e+09 [-0.76, -85.61] [-0.56, -84.61] [-0.36, -83.61]
3.460290e+09 [-0.75, -157.62] [-0.55, -156.62] [-0.35, -155.62]
3.592435e+09 [-0.77, 127.59] [-0.57, 128.59] [-0.37, 129.59]
3.729626e+09 [-0.77, 50.20] [-0.57, 51.20] [-0.37, 52.20]
3.872056e+09 [-0.77, -30.33] [-0.57, -29.33] [-0.37, -28.33]
4.019925e+09 [-0.78, -113.89] [-0.58, -112.89] [-0.38, -111.89]
4.173442e+09 [-0.78, 159.33] [-0.58, 160.33] [-0.38, 161.33]
4.332821e+09 [-0.79, 69.28] [-0.59, 70.28] [-0.39, 71.28]
4.498286e+09 [-0.80, -24.20] [-0.60, -23.20] [-0.40, -22.20]
4.670071e+09 [-0.83, -121.22] [-0.63, -120.22] [-0.43, -119.22]
4.848415e+09 [-0.82, 137.96] [-0.62, 138.96] [-0.42, 139.96]
5.033571e+09 [-0.87, 33.35] [-0.67, 34.35] [-0.47, 35.35]
5.225797e+09 [-0.85, -75.09] [-0.65, -74.09] [-0.45, -73.09]
5.425364e+09 [-0.87, 172.09] [-0.67, 173.09] [-0.47, 174.09]
5.632553e+09 [-0.90, 54.95] [-0.70, 55.95] [-0.50, 56.95]
5.847653e+09 [-0.93, -66.19] [-0.73, -65.19] [-0.53, -64.19]
6.070969e+09 [-0.95, 166.97] [-0.75, 167.97] [-0.55, 168.97]
6.302812e+09 [-0.97, 36.70] [-0.77, 37.70] [-0.57, 38.70]
6.543509e+09 [-0.96, -100.37] [-0.76, -99.37] [-0.56, -98.37]
6.793398e+09 [-0.96, 119.92] [-0.76, 120.92] [-0.56, 121.92]
7.052830e+09 [-0.96, -27.26] [-0.76, -26.26] [-0.56, -25.26]
7.322170e+09 [-0.96, -179.35] [-0.76, -178.35] [-0.56, -177.35]
7.601795e+09 [-0.97, 22.63] [-0.77, 23.63] [-0.57, 24.63]
7.892099e+09 [-1.01, -141.43] [-0.81, -140.43] [-0.61, -139.43]
8.193489e+09 [-1.02, 47.94] [-0.82, 48.94] [-0.62, 49.94]
8.506389e+09 [-1.01, -128.82] [-0.81, -127.82] [-0.61, -126.82]
8.831239e+09 [-1.01, 47.42] [-0.81, 48.42] [-0.61, 49.42]
9.168493e+09 [-0.99, -142.85] [-0.79, -141.85] [-0.59, -140.85]
9.518628e+09 [-1.02, 19.87] [-0.82, 20.87] [-0.62, 21.87]
9.882133e+09 [-1.13, 172.63] [-0.93, 173.63] [-0.73, 174.63]
1.025952e+10 [-1.15, -39.72] [-0.95, -38.72] [-0.75, -37.72]
1.065132e+10 [-1.16, 98.74] [-0.96, 99.74] [-0.76, 100.74]
1.105808e+10 [-1.23, -131.02] [-1.03, -130.02] [-0.83, -129.02]
1.148038e+10 [-1.25, -9.28] [-1.05, -8.28] [-0.85, -7.28]
1.191880e+10 [-1.21, 103.01] [-1.01, 104.01] [-0.81, 105.01]
1.237396e+10 [-1.22, -154.75] [-1.02, -153.75] [-0.82, -152.75]
1.284651e+10 [-1.23, -62.20] [-1.03, -61.20] [-0.83, -60.20]
1.333711e+10 [-1.25, 19.93] [-1.05, 20.93] [-0.85, 21.93]
1.384643e+10 [-1.25, 91.63] [-1.05, 92.63] [-0.85, 93.63]
1.437521e+10 [-1.41, 151.87] [-1.21, 152.87] [-1.01, 153.87]
1.492419e+10 [-1.40, -157.51] [-1.20, -156.51] [-1.00, -155.51]
1.549412e+10 [-1.30, -120.73] [-1.10, -119.73] [-0.90, -118.73]
1.608583e+10 [-1.36, -96.07] [-1.16, -95.07] [-0.96, -94.07]
1.670013e+10 [-1.41, -84.24] [-1.21, -83.24] [-1.01, -82.24]
1.733789e+10 [-1.47, -85.78] [-1.27, -84.78] [-1.07, -83.78]
1.800000e+10 [-1.54, -100.88] [-1.34, -99.88] [-1.14, -98.88]
