FUNIT: Hz
UNIT: dB
1.662368e+08 [-53.82, -133.30] [-53.62, -132.30] [-53.42, -131.30]
1.725852e+08 [-53.51, -141.98] [-53.31, -140.98] [-53.11, -139.98]
1.791760e+08 [-53.21, -151.36] [-53.01, -150.36] [-52.81, -149.36]
1.860186e+08 [-52.90, -159.70] [-52.70, -158.70] [-52.50, -157.70]
1.931224e+08 [-52.70, -169.61] [-52.50, -168.61] [-52.30, -167.61]
2.004975e+08 [-52.33, -179.31] [-52.13, -178.31] [-51.93, -177.31]
2.081543e+08 [-51.99, 171.10] [-51.79, 172.10] [-51.59, 173.10]
2.161035e+08 [-51.76, 160.44] [-51.56, 161.44] [-51.36, 162.44]
2.243562e+08 [-51.46, 149.27] [-51.26, 150.27] [-51.06, 151.27]
2.329241e+08 [-51.06, 137.36] [-50.86, 138.36] [-50.66, 139.36]
2.418192e+08 [-50.79, 125.50] [-50.59, 126.50] [-50.39, 127.50]
2.510540e+08 [-50.53, 113.73] [-50.33, 114.73] [-50.13, 115.73]
2.606415e+08 [-50.14, 100.84] [-49.94, 101.84] [-49.74, 102.84]
2.705951e+08 [-49.87, 87.42] [-49.67, 88.42] [-49.47, 89.42]
2.809288e+08 [-49.56, 73.92] [-49.36, 74.92] [-49.16, 75.92]
2.916571e+08 [-49.25, 59.20] [-49.05, 60.20] [-48.85, 61.20]
3.027952e+08 [-48.96, 44.88] [-48.76, 45.88] [-48.56, 46.88]
3.143586e+08 [-48.64, 29.19] [-48.44, 30.19] [-48.24, 31.19]
3.263636e+08 [-48.32, 13.09] [-48.12, 14.09] [-47.92, 15.09]
3.388271e+08 [-48.07, -3.29] [-47.87, -2.29] [-47.67, -1.29]
3.517665e+08 [-47.74, -20.50] [-47.54, -19.50] [-47.34, -18.50]
3.652000e+08 [-47.41, -38.60] [-47.21, -37.60] [-47.01, -36.60]
3.791466e+08 [-47.12, -56.79] [-46.92, -55.79] [-46.72, -54.79]
3.936258e+08 [-46.82, -76.32] [-46.62, -75.32] [-46.42, -74.32]
