FUNIT: Hz
UNIT: dB
1.662368e+08 [-61.21, -148.71] [-61.01, -147.71] [-60.81, -146.71]
1.725852e+08 [-61.19, -155.37] [-60.99, -154.37] [-60.79, -153.37]
1.791760e+08 [-60.65, -164.03] [-60.45, -163.03] [-60.25, -162.03]
1.860186e+08 [-60.26, -176.83] [-60.06, -175.83] [-59.86, -174.83]
1.931224e+08 [-60.06, 172.79] [-59.86, 173.79] [-59.66, 174.79]
2.004975e+08 [-59.72, 163.58] [-59.52, 164.58] [-59.32, 165.58]
2.081543e+08 [-59.32, 149.71] [-59.12, 150.71] [-58.92, 151.71]
2.161035e+08 [-59.30, 140.70] [-59.10, 141.70] [-58.90, 142.70]
2.243562e+08 [-58.87, 131.86] [-58.67, 132.86] [-58.47, 133.86]
2.329241e+08 [-58.41, 116.41] [-58.21, 117.41] [-58.01, 118.41]
2.418192e+08 [-57.97, 106.29] [-57.77, 107.29] [-57.57, 108.29]
2.510540e+08 [-57.72, 92.70] [-57.52, 93.70] [-57.32, 94.70]
2.606415e+08 [-57.29, 78.29] [-57.09, 79.29] [-56.89, 80.29]
2.705951e+08 [-57.20, 63.17] [-57.00, 64.17] [-56.80, 65.17]
2.809288e+08 [-56.79, 50.36] [-56.59, 51.36] [-56.39, 52.36]
2.916571e+08 [-56.41, 34.30] [-56.21, 35.30] [-56.01, 36.30]
3.027952e+08 [-56.19, 18.73] [-55.99, 19.73] [-55.79, 20.73]
3.143586e+08 [-55.86, 2.09] [-55.66, 3.09] [-55.46, 4.09]
3.263636e+08 [-55.70, -14.27] [-55.50, -13.27] [-55.30, -12.27]
3.388271e+08 [-55.29, -32.17] [-55.09, -31.17] [-54.89, -30.17]
3.517665e+08 [-54.91, -49.97] [-54.71, -48.97] [-54.51, -47.97]
3.652000e+08 [-54.59, -69.86] [-54.39, -68.86] [-54.19, -67.86]
3.791466e+08 [-54.36, -90.38] [-54.16, -89.38] [-53.96, -88.38]
3.936258e+08 [-54.02, -110.41] [-53.82, -109.41] [-53.62, -108.41]
4.086579e+08 [-53.69, -131.02] [-53.49, -130.02] [-53.29, -129.02]
4.242641e+08 [-53.33, -153.76] [-53.13, -152.76] [-52.93, -151.76]
4.404662e+08 [-52.99, -177.08] [-52.79, -176.08] [-52.59, -175.08]
4.572871e+08 [-52.75, 159.68] [-52.55, 160.68] [-52.35, 161.68]
4.747504e+08 [-52.40, 134.87] [-52.20, 135.87] [-52.00, 136.87]
4.928806e+08 [-52.07, 109.35] [-51.87, 110.35] [-51.67, 111.35]
5.117031e+08 [-51.86, 82.21] [-51.66, 83.21] [-51.46, 84.21]
5.312445e+08 [-51.48, 54.80] [-51.28, 55.80] [-51.08, 56.80]
5.515321e+08 [-51.20, 25.82] [-51.00, 26.82] [-50.80, 27.82]
5.725945e+08 [-50.91, -3.69] [-50.71, -2.69] [-50.51, -1.69]
5.944612e+08 [-50.58, -34.76] [-50.38, -33.76] [-50.18, -32.76]
6.171630e+08 [-50.27, -66.86] [-50.07, -65.86] [-49.87, -64.86]
6.407317e+08 [-49.99, -100.24] [-49.79, -99.24] [-49.59, -98.24]
6.652006e+08 [-49.65, -134.96] [-49.45, -133.96] [-49.25, -132.96]
6.906038e+08 [-49.31, -170.89] [-49.11, -169.89] [-48.91, -168.89]
7.169772e+08 [-49.05, 151.74] [-48.85, 152.74] [-48.65, 153.74]
7.443577e+08 [-48.71, 113.06] [-48.51, 114.06] [-48.31, 115.06]
7.727839e+08 [-48.45, 72.66] [-48.25, 73.66] [-48.05, 74.66]
8.022956e+08 [-48.12, 31.02] [-47.92, 32.02] [-47.72, 33.02]
8.329344e+08 [-47.85, -12.43] [-47.65, -11.43] [-47.45, -10.43]
8.647432e+08 [-47.52, -57.34] [-47.32, -56.34] [-47.12, -55.34]
8.977667e+08 [-47.22, -104.28] [-47.02, -103.28] [-46.82, -102.28]
9.320514e+08 [-46.92, -152.92] [-46.72, -151.92] [-46.52, -150.92]
9.676454e+08 [-46.62, 156.76] [-46.42, 157.76] [-46.22, 158.76]
1.004599e+09 [-46.31, 104.52] [-46.11, 105.52] [-45.91, 106.52]
1.042963e+09 [-46.03, 50.04] [-45.83, 51.04] [-45.63, 52.04]
1.082793e+09 [-45.76, -6.33] [-45.56, -5.33] [-45.36, -4.33]
1.124143e+09 [-45.45, -65.01] [-45.25, -64.01] [-45.05, -63.01]
1.167073e+09 [-45.17, -125.67] [-44.97, -124.67] [-44.77, -123.67]
1.211642e+09 [-44.89, 171.18] [-44.69, 172.18] [-44.49, 173.18]
1.257913e+09 [-44.60, 105.59] [-44.40, 106.59] [-44.20, 107.59]
1.305952e+09 [-44.32, 37.64] [-44.12, 38.64] [-43.92, 39.64]
1.355825e+09 [-44.06, -33.02] [-43.86, -32.02] [-43.66, -31.02]
1.407602e+09 [-43.78, -106.38] [-43.58, -105.38] [-43.38, -104.38]
1.461357e+09 [-43.52, 177.38] [-43.32, 178.38] [-43.12, 179.38]
1.517164e+09 [-43.25, 98.36] [-43.05, 99.36] [-42.85, 100.36]
1.575103e+09 [-43.00, 16.27] [-42.80, 17.27] [-42.60, 18.27]
1.635254e+09 [-42.75, -68.85] [-42.55, -67.85] [-42.35, -66.85]
1.697703e+09 [-42.49, -157.28] [-42.29, -156.28] [-42.09, -155.28]
1.762536e+09 [-42.24, 110.88] [-42.04, 111.88] [-41.84, 112.88]
1.829845e+09 [-41.99, 15.44] [-41.79, 16.44] [-41.59, 17.44]
1.899725e+09 [-41.74, -83.63] [-41.54, -82.63] [-41.34, -81.63]
1.972273e+09 [-41.53, 173.47] [-41.33, 174.47] [-41.13, 175.47]
2.047592e+09 [-41.32, 66.66] [-41.12, 67.66] [-40.92, 68.66]
2.125787e+09 [-41.13, -44.05] [-40.93, -43.05] [-40.73, -42.05]
2.206969e+09 [-40.90, -159.02] [-40.70, -158.02] [-40.50, -157.02]
2.291250e+09 [-40.69, 81.99] [-40.49, 82.99] [-40.29, 83.99]
2.378751e+09 [-40.48, -42.55] [-40.28, -41.55] [-40.08, -40.55]
2.469592e+09 [-40.31, -171.63] [-40.11, -170.63] [-39.91, -169.63]
2.563903e+09 [-40.00, 55.31] [-39.80, 56.31] [-39.60, 57.31]
2.661816e+09 [-39.88, -81.78] [-39.68, -80.78] [-39.48, -79.78]
2.763468e+09 [-39.77, 131.79] [-39.57, 132.79] [-39.37, 133.79]
2.869001e+09 [-39.64, -17.76] [-39.44, -16.76] [-39.24, -15.76]
2.978565e+09 [-39.49, -173.29] [-39.29, -172.29] [-39.09, -171.29]
3.092313e+09 [-39.36, 25.15] [-39.16, 26.15] [-38.96, 27.15]
3.210405e+09 [-39.28, -142.33] [-39.08, -141.33] [-38.88, -140.33]
3.333007e+09 [-39.15, 43.56] [-38.95, 44.56] [-38.75, 45.56]
3.460290e+09 [-39.07, -137.48] [-38.87, -136.48] [-38.67, -135.48]
3.592435e+09 [-39.02, 34.97] [-38.82, 35.97] [-38.62, 36.97]
3.729626e+09 [-38.93, -160.17] [-38.73, -159.17] [-38.53, -158.17]
3.872056e+09 [-38.89, -2.62] [-38.69, -1.62] [-38.49, -0.62]
4.019925e+09 [-38.86, 146.72] [-38.66, 147.72] [-38.46, 148.72]
4.173442e+09 [-38.85, -71.48] [-38.65, -70.48] [-38.45, -69.48]
4.332821e+09 [-38.86, 61.44] [-38.66, 62.44] [-38.46, 63.44]
4.498286e+09 [-38.84, -174.32] [-38.64, -173.32] [-38.44, -172.32]
4.670071e+09 [-38.90, -59.24] [-38.70, -58.24] [-38.50, -57.24]
4.848415e+09 [-38.92, 46.36] [-38.72, 47.36] [-38.52, 48.36]
5.033571e+09 [-39.04, 141.94] [-38.84, 142.94] [-38.64, 143.94]
5.225797e+09 [-39.07, -132.24] [-38.87, -131.24] [-38.67, -130.24]
5.425364e+09 [-39.16, -57.57] [-38.96, -56.57] [-38.76, -55.57]
5.632553e+09 [-39.31, 6.21] [-39.11, 7.21] [-38.91, 8.21]
5.847653e+09 [-39.42, 59.11] [-39.22, 60.11] [-39.02, 61.11]
6.070969e+09 [-39.47, 99.36] [-39.27, 100.36] [-39.07, 101.36]
6.302812e+09 [-39.56, 129.13] [-39.36, 130.13] [-39.16, 131.13]
6.543509e+09 [-39.58, 144.07] [-39.38, 145.07] [-39.18, 146.07]
6.793398e+09 [-39.58, 147.04] [-39.38, 148.04] [-39.18, 149.04]
7.052830e+09 [-39.64, 135.45] [-39.44, 136.45] [-39.24, 137.45]
7.322170e+09 [-39.64, 110.14] [-39.44, 111.14] [-39.24, 112.14]
7.601795e+09 [-39.64, 70.03] [-39.44, 71.03] [-39.24, 72.03]
7.892099e+09 [-39.66, 14.59] [-39.46, 15.59] [-39.26, 16.59]
8.193489e+09 [-39.67, -57.08] [-39.47, -56.08] [-39.27, -55.08]
8.506389e+09 [-39.73, -144.80] [-39.53, -143.80] [-39.33, -142.80]
8.831239e+09 [-39.77, 110.50] [-39.57, 111.50] [-39.37, 112.50]
9.168493e+09 [-39.80, -12.20] [-39.60, -11.20] [-39.40, -10.20]
9.518628e+09 [-39.85, -152.97] [-39.65, -151.97] [-39.45, -150.97]
9.882133e+09 [-39.98, 44.45] [-39.78, 45.45] [-39.58, 46.45]
1.025952e+10 [-40.19, -137.85] [-39.99, -136.85] [-39.79, -135.85]
1.065132e+10 [-40.27, 22.77] [-40.07, 23.77] [-39.87, 24.77]
1.105808e+10 [-40.48, 159.81] [-40.28, 160.81] [-40.08, 161.81]
1.148038e+10 [-40.58, -85.38] [-40.38, -84.38] [-40.18, -83.38]
1.191880e+10 [-40.52, 6.25] [-40.32, 7.25] [-40.12, 8.25]
1.237396e+10 [-40.69, 73.24] [-40.49, 74.24] [-40.29, 75.24]
1.284651e+10 [-40.69, 115.30] [-40.49, 116.30] [-40.29, 117.30]
1.333711e+10 [-40.79, 131.44] [-40.59, 132.44] [-40.39, 133.44]
1.384643e+10 [-40.92, 120.67] [-40.72, 121.67] [-40.52, 122.67]
1.437521e+10 [-40.92, 82.80] [-40.72, 83.80] [-40.52, 84.80]
1.492419e+10 [-40.98, 15.37] [-40.78, 16.37] [-40.58, 17.37]
1.549412e+10 [-40.90, -85.26] [-40.70, -84.26] [-40.50, -83.26]
1.608583e+10 [-41.18, 144.07] [-40.98, 145.07] [-40.78, 146.07]
1.670013e+10 [-41.15, -20.10] [-40.95, -19.10] [-40.75, -18.10]
1.733789e+10 [-41.50, 141.42] [-41.30, 142.42] [-41.10, 143.42]
1.800000e+10 [-41.41, -88.94] [-41.21, -87.94] [-41.01, -86.94]
