FUNIT: Hz
UNIT: dB
1.791760e+08 [-0.40, -89.68] [-0.20, -88.68] [-0.00, -87.68]
1.860186e+08 [-0.39, -106.84] [-0.19, -105.84] [0.01, -104.84]
1.931224e+08 [-0.40, -124.48] [-0.20, -123.48] [0.00, -122.48]
2.004975e+08 [-0.40, -143.00] [-0.20, -142.00] [0.00, -141.00]
2.081543e+08 [-0.40, -162.13] [-0.20, -161.13] [0.00, -160.13]
2.161035e+08 [-0.41, 177.94] [-0.21, 178.94] [-0.01, 179.94]
2.243562e+08 [-0.42, 157.39] [-0.22, 158.39] [-0.02, 159.39]
2.329241e+08 [-0.43, 135.91] [-0.23, 136.91] [-0.03, 137.91]
2.418192e+08 [-0.43, 113.71] [-0.23, 114.71] [-0.03, 115.71]
2.510540e+08 [-0.43, 90.61] [-0.23, 91.61] [-0.03, 92.61]
2.606415e+08 [-0.44, 66.64] [-0.24, 67.64] [-0.04, 68.64]
2.705951e+08 [-0.44, 41.77] [-0.24, 42.77] [-0.04, 43.77]
2.809288e+08 [-0.44, 15.89] [-0.24, 16.89] [-0.04, 17.89]
2.916571e+08 [-0.45, -10.91] [-0.25, -9.91] [-0.05, -8.91]
3.027952e+08 [-0.45, -38.72] [-0.25, -37.72] [-0.05, -36.72]
3.143586e+08 [-0.46, -67.61] [-0.26, -66.61] [-0.06, -65.61]
3.263636e+08 [-0.47, -97.62] [-0.27, -96.62] [-0.07, -95.62]
3.388271e+08 [-0.47, -128.81] [-0.27, -127.81] [-0.07, -126.81]
3.517665e+08 [-0.48, -161.17] [-0.28, -160.17] [-0.08, -159.17]
3.652000e+08 [-0.48, 165.26] [-0.28, 166.26] [-0.08, 167.26]
3.791466e+08 [-0.49, 130.43] [-0.29, 131.43] [-0.09, 132.43]
3.936258e+08 [-0.49, 94.23] [-0.29, 95.23] [-0.09, 96.23]
4.086579e+08 [-0.50, 56.70] [-0.30, 57.70] [-0.10, 58.70]
4.242641e+08 [-0.51, 17.66] [-0.31, 18.66] [-0.11, 19.66]
4.404662e+08 [-0.51, -22.80] [-0.31, -21.80] [-0.11, -20.80]
4.572871e+08 [-0.52, -64.82] [-0.32, -63.82] [-0.12, -62.82]
4.747504e+08 [-0.52, -108.47] [-0.32, -107.47] [-0.12, -106.47]
4.928806e+08 [-0.53, -153.80] [-0.33, -152.80] [-0.13, -151.80]
5.117031e+08 [-0.54, 159.19] [-0.34, 160.19] [-0.14, 161.19]
5.312445e+08 [-0.55, 110.37] [-0.35, 111.37] [-0.15, 112.37]
5.515321e+08 [-0.56, 59.64] [-0.36, 60.64] [-0.16, 61.64]
5.725945e+08 [-0.56, 7.03] [-0.36, 8.03] [-0.16, 9.03]
5.944612e+08 [-0.57, -47.58] [-0.37, -46.58] [-0.17, -45.58]
6.171630e+08 [-0.57, -104.30] [-0.37, -103.30] [-0.17, -102.30]
6.407317e+08 [-0.58, -163.19] [-0.38, -162.19] [-0.18, -161.19]
6.652006e+08 [-0.59, 135.66] [-0.39, 136.66] [-0.19, 137.66]
6.906038e+08 [-0.60, 72.19] [-0.40, 73.19] [-0.20, 74.19]
7.169772e+08 [-0.60, 6.30] [-0.40, 7.30] [-0.20, 8.30]
7.443577e+08 [-0.61, -62.11] [-0.41, -61.11] [-0.21, -60.11]
7.727839e+08 [-0.62, -133.12] [-0.42, -132.12] [-0.22, -131.12]
8.022956e+08 [-0.63, 153.15] [-0.43, 154.15] [-0.23, 155.15]
8.329344e+08 [-0.63, 76.63] [-0.43, 77.63] [-0.23, 78.63]
8.647432e+08 [-0.64, -2.87] [-0.44, -1.87] [-0.24, -0.87]
8.977667e+08 [-0.65, -85.36] [-0.45, -84.36] [-0.25, -83.36]
9.320514e+08 [-0.66, -171.01] [-0.46, -170.01] [-0.26, -169.01]
9.676454e+08 [-0.67, 100.07] [-0.47, 101.07] [-0.27, 102.07]
1.004599e+09 [-0.68, 7.75] [-0.48, 8.75] [-0.28, 9.75]
1.042963e+09 [-0.69, -88.06] [-0.49, -87.06] [-0.29, -86.06]
1.082793e+09 [-0.70, 172.40] [-0.50, 173.40] [-0.30, 174.40]
1.124143e+09 [-0.71, 69.13] [-0.51, 70.13] [-0.31, 71.13]
1.167073e+09 [-0.71, -38.13] [-0.51, -37.13] [-0.31, -36.13]
1.211642e+09 [-0.73, -149.47] [-0.53, -148.47] [-0.33, -147.47]
1.257913e+09 [-0.74, 94.97] [-0.54, 95.97] [-0.34, 96.97]
1.305952e+09 [-0.74, -25.05] [-0.54, -24.05] [-0.34, -23.05]
1.355825e+09 [-0.76, -149.62] [-0.56, -148.62] [-0.36, -147.62]
1.407602e+09 [-0.77, 81.07] [-0.57, 82.07] [-0.37, 83.07]
1.461357e+09 [-0.78, -53.24] [-0.58, -52.24] [-0.38, -51.24]
1.517164e+09 [-0.79, 167.36] [-0.59, 168.36] [-0.39, 169.36]
1.575103e+09 [-0.80, 22.61] [-0.60, 23.61] [-0.40, 24.61]
1.635254e+09 [-0.81, -127.61] [-0.61, -126.61] [-0.41, -125.61]
1.697703e+09 [-0.82, 76.37] [-0.62, 77.37] [-0.42, 78.37]
1.762536e+09 [-0.83, -85.55] [-0.63, -84.55] [-0.43, -83.55]
1.829845e+09 [-0.84, 106.35] [-0.64, 107.35] [-0.44, 108.35]
1.899725e+09 [-0.85, -68.18] [-0.65, -67.18] [-0.45, -66.18]
1.972273e+09 [-0.87, 110.58] [-0.67, 111.58] [-0.47, 112.58]
2.047592e+09 [-0.88, -77.57] [-0.68, -76.57] [-0.48, -75.57]
2.125787e+09 [-0.89, 87.13] [-0.69, 88.13] [-0.49, 89.13]
2.206969e+09 [-0.90, -115.61] [-0.70, -114.61] [-0.50, -113.61]
2.291250e+09 [-0.92, 33.83] [-0.72, 34.83] [-0.52, 35.83]
2.378751e+09 [-0.92, 175.33] [-0.72, 176.33] [-0.52, 177.33]
2.469592e+09 [-0.93, -51.58] [-0.73, -50.58] [-0.53, -49.58]
2.563903e+09 [-0.96, 72.88] [-0.76, 73.88] [-0.56, 74.88]
2.661816e+09 [-0.97, -171.74] [-0.77, -170.74] [-0.57, -169.74]
