FUNIT: Hz
UNIT: dB
0.0 [-0.2, -1.0] [0.0, 0.0] [0.2, +1.0]
1.662368e+08 [-0.58, 119.42] [-0.38, 120.42] [-0.18, 121.42]
1.725852e+08 [-0.59, 96.69] [-0.39, 97.69] [-0.19, 98.69]
1.791760e+08 [-0.61, 72.82] [-0.41, 73.82] [-0.21, 74.82]
1.860186e+08 [-0.60, 48.22] [-0.40, 49.22] [-0.20, 50.22]
1.931224e+08 [-0.62, 22.71] [-0.42, 23.71] [-0.22, 24.71]
2.004975e+08 [-0.64, -3.89] [-0.44, -2.89] [-0.24, -1.89]
2.081543e+08 [-0.66, -31.46] [-0.46, -30.46] [-0.26, -29.46]
2.161035e+08 [-0.65, -60.00] [-0.45, -59.00] [-0.25, -58.00]
2.243562e+08 [-0.66, -89.77] [-0.46, -88.77] [-0.26, -87.77]
2.329241e+08 [-0.65, -120.50] [-0.45, -119.50] [-0.25, -118.50]
2.418192e+08 [-0.69, -152.59] [-0.49, -151.59] [-0.29, -150.59]
2.510540e+08 [-0.70, 174.20] [-0.50, 175.20] [-0.30, 176.20]
2.606415e+08 [-0.68, 139.64] [-0.48, 140.64] [-0.28, 141.64]
2.705951e+08 [-0.70, 103.89] [-0.50, 104.89] [-0.30, 105.89]
2.809288e+08 [-0.71, 66.71] [-0.51, 67.71] [-0.31, 68.71]
2.916571e+08 [-0.75, 28.12] [-0.55, 29.12] [-0.35, 30.12]
3.027952e+08 [-0.74, -12.01] [-0.54, -11.01] [-0.34, -10.01]
3.143586e+08 [-0.74, -53.53] [-0.54, -52.53] [-0.34, -51.53]
3.263636e+08 [-0.77, -96.82] [-0.57, -95.82] [-0.37, -94.82]
3.388271e+08 [-0.78, -141.61] [-0.58, -140.61] [-0.38, -139.61]
3.517665e+08 [-0.81, 171.94] [-0.61, 172.94] [-0.41, 173.94]
3.652000e+08 [-0.81, 123.75] [-0.61, 124.75] [-0.41, 125.75]
3.791466e+08 [-0.81, 73.63] [-0.61, 74.63] [-0.41, 75.63]
3.936258e+08 [-0.82, 21.47] [-0.62, 22.47] [-0.42, 23.47]
4.086579e+08 [-0.85, -32.70] [-0.65, -31.70] [-0.45, -30.70]
4.242641e+08 [-0.86, -88.75] [-0.66, -87.75] [-0.46, -86.75]
4.404662e+08 [-0.87, -146.96] [-0.67, -145.96] [-0.47, -144.96]
4.572871e+08 [-0.90, 152.52] [-0.70, 153.52] [-0.50, 154.52]
4.747504e+08 [-0.90, 89.72] [-0.70, 90.72] [-0.50, 91.72]
4.928806e+08 [-0.93, 24.72] [-0.73, 25.72] [-0.53, 26.72]
5.117031e+08 [-0.93, -42.94] [-0.73, -41.94] [-0.53, -40.94]
5.312445e+08 [-0.94, -113.22] [-0.74, -112.22] [-0.54, -111.22]
5.515321e+08 [-0.95, 173.67] [-0.75, 174.67] [-0.55, 175.67]
5.725945e+08 [-0.98, 97.98] [-0.78, 98.98] [-0.58, 99.98]
5.944612e+08 [-1.00, 19.36] [-0.80, 20.36] [-0.60, 21.36]
6.171630e+08 [-1.02, -62.27] [-0.82, -61.27] [-0.62, -60.27]
6.407317e+08 [-1.04, -146.99] [-0.84, -145.99] [-0.64, -144.99]
6.652006e+08 [-1.05, 125.12] [-0.85, 126.12] [-0.65, 127.12]
6.906038e+08 [-1.05, 33.80] [-0.85, 34.80] [-0.65, 35.80]
7.169772e+08 [-1.08, -61.07] [-0.88, -60.07] [-0.68, -59.07]
7.443577e+08 [-1.10, -159.44] [-0.90, -158.44] [-0.70, -157.44]
7.727839e+08 [-1.12, 98.29] [-0.92, 99.29] [-0.72, 100.29]
8.022956e+08 [-1.15, -7.84] [-0.95, -6.84] [-0.75, -5.84]
