FUNIT: Hz
UNIT: dB
1.601219e+08 [-41.77, 137.02] [-41.57, 138.02] [-41.37, 139.02]
1.662368e+08 [-41.84, 73.75] [-41.64, 74.75] [-41.44, 75.75]
1.725852e+08 [-42.02, 8.71] [-41.82, 9.71] [-41.62, 10.71]
1.791760e+08 [-42.16, -58.73] [-41.96, -57.73] [-41.76, -56.73]
1.860186e+08 [-42.13, -128.80] [-41.93, -127.80] [-41.73, -126.80]
1.931224e+08 [-42.08, 157.71] [-41.88, 158.71] [-41.68, 159.71]
2.004975e+08 [-41.99, 79.96] [-41.79, 80.96] [-41.59, 81.96]
2.081543e+08 [-42.04, -1.01] [-41.84, -0.01] [-41.64, 0.99]
2.161035e+08 [-42.23, -83.89] [-42.03, -82.89] [-41.83, -81.89]
2.243562e+08 [-42.46, -168.64] [-42.26, -167.64] [-42.06, -166.64]
2.329241e+08 [-42.32, 105.00] [-42.12, 106.00] [-41.92, 107.00]
2.418192e+08 [-42.06, 14.15] [-41.86, 15.15] [-41.66, 16.15]
2.510540e+08 [-41.85, -82.10] [-41.65, -81.10] [-41.45, -80.10]
2.606415e+08 [-42.15, 176.67] [-41.95, 177.67] [-41.75, 178.67]
2.705951e+08 [-42.67, 73.36] [-42.47, 74.36] [-42.27, 75.36]
2.809288e+08 [-42.64, -31.83] [-42.44, -30.83] [-42.24, -29.83]
2.916571e+08 [-42.05, -140.85] [-41.85, -139.85] [-41.65, -138.85]
3.027952e+08 [-41.72, 103.96] [-41.52, 104.96] [-41.32, 105.96]
3.143586e+08 [-42.36, -15.02] [-42.16, -14.02] [-41.96, -13.02]
3.263636e+08 [-42.93, -137.62] [-42.73, -136.62] [-42.53, -135.62]
3.388271e+08 [-42.29, 93.06] [-42.09, 94.06] [-41.89, 95.06]
3.517665e+08 [-41.79, -44.70] [-41.59, -43.70] [-41.39, -42.70]
3.652000e+08 [-42.85, 174.79] [-42.65, 175.79] [-42.45, 176.79]
3.791466e+08 [-43.26, 31.44] [-43.06, 32.44] [-42.86, 33.44]
3.936258e+08 [-41.89, -119.12] [-41.69, -118.12] [-41.49, -117.12]
4.086579e+08 [-41.94, 87.47] [-41.74, 88.47] [-41.54, 89.47]
4.242641e+08 [-43.08, -67.06] [-42.88, -66.06] [-42.68, -65.06]
4.404662e+08 [-42.14, 119.85] [-41.94, 120.85] [-41.74, 121.85]
4.572871e+08 [-42.01, -58.28] [-41.81, -57.28] [-41.61, -56.28]
4.747504e+08 [-43.22, 129.92] [-43.02, 130.92] [-42.82, 131.92]
4.928806e+08 [-41.97, -66.06] [-41.77, -65.06] [-41.57, -64.06]
5.117031e+08 [-42.20, 100.87] [-42.00, 101.87] [-41.80, 102.87]
5.312445e+08 [-42.91, -96.50] [-42.71, -95.50] [-42.51, -94.50]
5.515321e+08 [-41.89, 40.91] [-41.69, 41.91] [-41.49, 42.91]
5.725945e+08 [-42.39, -161.15] [-42.19, -160.15] [-41.99, -159.15]
5.944612e+08 [-42.43, -40.04] [-42.23, -39.04] [-42.03, -38.04]
6.171630e+08 [-42.10, 93.41] [-41.90, 94.41] [-41.70, 95.41]
6.407317e+08 [-42.74, -157.52] [-42.54, -156.52] [-42.34, -155.52]
6.652006e+08 [-41.96, -47.15] [-41.76, -46.15] [-41.56, -45.15]
6.906038e+08 [-43.20, 42.61] [-43.00, 43.61] [-42.80, 44.61]
7.169772e+08 [-41.92, 134.80] [-41.72, 135.80] [-41.52, 136.80]
7.443577e+08 [-43.17, -144.22] [-42.97, -143.22] [-42.77, -142.22]
7.727839e+08 [-42.19, -79.67] [-41.99, -78.67] [-41.79, -77.67]
8.022956e+08 [-42.99, -36.14] [-42.79, -35.14] [-42.59, -34.14]
8.329344e+08 [-43.19, 20.43] [-42.99, 21.43] [-42.79, 22.43]
8.647432e+08 [-42.59, 41.23] [-42.39, 42.23] [-42.19, 43.23]
8.977667e+08 [-43.41, 63.81] [-43.21, 64.81] [-43.01, 65.81]
9.320514e+08 [-43.48, 77.11] [-43.28, 78.11] [-43.08, 79.11]
9.676454e+08 [-43.23, 56.48] [-43.03, 57.48] [-42.83, 58.48]
1.004599e+09 [-43.89, 37.20] [-43.69, 38.20] [-43.49, 39.20]
1.042963e+09 [-44.63, 0.87] [-44.43, 1.87] [-44.23, 2.87]
1.082793e+09 [-43.95, -47.94] [-43.75, -46.94] [-43.55, -45.94]
1.124143e+09 [-43.16, -124.95] [-42.96, -123.95] [-42.76, -122.95]
