FUNIT: Hz
UNIT: dB
1.186424e+08 [-0.57, 159.40] [-0.37, 160.40] [-0.17, 161.40]
1.231732e+08 [-0.58, 138.11] [-0.38, 139.11] [-0.18, 140.11]
1.278771e+08 [-0.65, 116.04] [-0.45, 117.04] [-0.25, 118.04]
1.327605e+08 [-0.59, 92.94] [-0.39, 93.94] [-0.19, 94.94]
1.378305e+08 [-0.63, 68.92] [-0.43, 69.92] [-0.23, 70.92]
1.430941e+08 [-0.63, 44.51] [-0.43, 45.51] [-0.23, 46.51]
1.485587e+08 [-0.63, 18.75] [-0.43, 19.75] [-0.23, 20.75]
1.542320e+08 [-0.61, -8.10] [-0.41, -7.10] [-0.21, -6.10]
1.601219e+08 [-0.65, -35.81] [-0.45, -34.81] [-0.25, -33.81]
1.662368e+08 [-0.64, -64.52] [-0.44, -63.52] [-0.24, -62.52]
1.725852e+08 [-0.66, -94.25] [-0.46, -93.25] [-0.26, -92.25]
1.791760e+08 [-0.68, -125.43] [-0.48, -124.43] [-0.28, -123.43]
1.860186e+08 [-0.67, -157.60] [-0.47, -156.60] [-0.27, -155.60]
1.931224e+08 [-0.69, 169.03] [-0.49, 170.03] [-0.29, 171.03]
2.004975e+08 [-0.71, 134.28] [-0.51, 135.28] [-0.31, 136.28]
2.081543e+08 [-0.72, 98.26] [-0.52, 99.26] [-0.32, 100.26]
2.161035e+08 [-0.72, 60.94] [-0.52, 61.94] [-0.32, 62.94]
2.243562e+08 [-0.74, 22.02] [-0.54, 23.02] [-0.34, 24.02]
2.329241e+08 [-0.72, -18.14] [-0.52, -17.14] [-0.32, -16.14]
2.418192e+08 [-0.76, -60.07] [-0.56, -59.07] [-0.36, -58.07]
2.510540e+08 [-0.78, -103.50] [-0.58, -102.50] [-0.38, -101.50]
2.606415e+08 [-0.76, -148.64] [-0.56, -147.64] [-0.36, -146.64]
2.705951e+08 [-0.79, 164.63] [-0.59, 165.63] [-0.39, 166.63]
2.809288e+08 [-0.79, 116.02] [-0.59, 117.02] [-0.39, 118.02]
2.916571e+08 [-0.83, 65.57] [-0.63, 66.57] [-0.43, 67.57]
3.027952e+08 [-0.83, 13.14] [-0.63, 14.14] [-0.43, 15.14]
3.143586e+08 [-0.83, -41.10] [-0.63, -40.10] [-0.43, -39.10]
3.263636e+08 [-0.85, -97.67] [-0.65, -96.67] [-0.45, -95.67]
3.388271e+08 [-0.86, -156.30] [-0.66, -155.30] [-0.46, -154.30]
3.517665e+08 [-0.90, 142.93] [-0.70, 143.93] [-0.50, 144.93]
3.652000e+08 [-0.90, 79.90] [-0.70, 80.90] [-0.50, 81.90]
3.791466e+08 [-0.91, 14.42] [-0.71, 15.42] [-0.51, 16.42]
3.936258e+08 [-0.92, -53.75] [-0.72, -52.75] [-0.52, -51.75]
4.086579e+08 [-0.94, -124.47] [-0.74, -123.47] [-0.54, -122.47]
4.242641e+08 [-0.96, 162.22] [-0.76, 163.22] [-0.56, 164.22]
4.404662e+08 [-0.96, 86.14] [-0.76, 87.14] [-0.56, 88.14]
4.572871e+08 [-1.00, 7.01] [-0.80, 8.01] [-0.60, 9.01]
4.747504e+08 [-0.99, -75.08] [-0.79, -74.08] [-0.59, -73.08]
4.928806e+08 [-1.02, -160.24] [-0.82, -159.24] [-0.62, -158.24]
5.117031e+08 [-1.05, 111.30] [-0.85, 112.30] [-0.65, 113.30]
5.312445e+08 [-1.06, 19.57] [-0.86, 20.57] [-0.66, 21.57]
5.515321e+08 [-1.07, -75.91] [-0.87, -74.91] [-0.67, -73.91]
5.725945e+08 [-1.10, -174.86] [-0.90, -173.86] [-0.70, -172.86]
5.944612e+08 [-1.10, 82.36] [-0.90, 83.36] [-0.70, 84.36]
6.171630e+08 [-1.13, -24.34] [-0.93, -23.34] [-0.73, -22.34]
6.407317e+08 [-1.14, -135.14] [-0.94, -134.14] [-0.74, -133.14]
6.652006e+08 [-1.17, 109.86] [-0.97, 110.86] [-0.77, 111.86]
6.906038e+08 [-1.18, -9.40] [-0.98, -8.40] [-0.78, -7.40]
7.169772e+08 [-1.22, -133.39] [-1.02, -132.39] [-0.82, -131.39]
7.443577e+08 [-1.22, 98.08] [-1.02, 99.08] [-0.82, 100.08]
7.727839e+08 [-1.25, -35.54] [-1.05, -34.54] [-0.85, -33.54]
8.022956e+08 [-1.26, -174.21] [-1.06, -173.21] [-0.86, -172.21]
8.329344e+08 [-1.29, 41.83] [-1.09, 42.83] [-0.89, 43.83]
8.647432e+08 [-1.32, -107.66] [-1.12, -106.66] [-0.92, -105.66]
8.977667e+08 [-1.35, 97.42] [-1.15, 98.42] [-0.95, 99.42]
9.320514e+08 [-1.36, -63.80] [-1.16, -62.80] [-0.96, -61.80]
9.676454e+08 [-1.38, 128.97] [-1.18, 129.97] [-0.98, 130.97]
1.004599e+09 [-1.41, -44.64] [-1.21, -43.64] [-1.01, -42.64]
1.042963e+09 [-1.44, 135.18] [-1.24, 136.18] [-1.04, 137.18]
1.082793e+09 [-1.47, -51.97] [-1.27, -50.97] [-1.07, -49.97]
1.124143e+09 [-1.48, 113.78] [-1.28, 114.78] [-1.08, 115.78]
1.167073e+09 [-1.51, -87.84] [-1.31, -86.84] [-1.11, -85.84]
1.211642e+09 [-1.53, 62.73] [-1.33, 63.73] [-1.13, 64.73]
1.257913e+09 [-1.57, -154.48] [-1.37, -153.48] [-1.17, -152.48]
1.305952e+09 [-1.60, -20.26] [-1.40, -19.26] [-1.20, -18.26]
1.355825e+09 [-1.61, 105.46] [-1.41, 106.46] [-1.21, 107.46]
1.407602e+09 [-1.66, -137.64] [-1.46, -136.64] [-1.26, -135.64]
1.461357e+09 [-1.68, -30.21] [-1.48, -29.21] [-1.28, -28.21]
1.517164e+09 [-1.71, 67.66] [-1.51, 68.66] [-1.31, 69.66]
1.575103e+09 [-1.73, 155.57] [-1.53, 156.57] [-1.33, 157.57]
1.635254e+09 [-1.77, -126.95] [-1.57, -125.95] [-1.37, -124.95]
1.697703e+09 [-1.79, -60.36] [-1.59, -59.36] [-1.39, -58.36]
