FUNIT: Hz
UNIT: dB
1.662368e+08 [-52.64, -39.96] [-52.44, -38.96] [-52.24, -37.96]
1.725852e+08 [-52.37, -59.14] [-52.17, -58.14] [-51.97, -57.14]
1.791760e+08 [-52.16, -78.88] [-51.96, -77.88] [-51.76, -76.88]
1.860186e+08 [-51.92, -98.88] [-51.72, -97.88] [-51.52, -96.88]
1.931224e+08 [-51.66, -119.31] [-51.46, -118.31] [-51.26, -117.31]
2.004975e+08 [-51.34, -140.36] [-51.14, -139.36] [-50.94, -138.36]
2.081543e+08 [-51.01, -163.01] [-50.81, -162.01] [-50.61, -161.01]
2.161035e+08 [-50.62, 173.69] [-50.42, 174.69] [-50.22, 175.69]
2.243562e+08 [-50.28, 149.38] [-50.08, 150.38] [-49.88, 151.38]
2.329241e+08 [-49.98, 124.05] [-49.78, 125.05] [-49.58, 126.05]
2.418192e+08 [-49.76, 97.87] [-49.56, 98.87] [-49.36, 99.87]
2.510540e+08 [-49.47, 70.76] [-49.27, 71.76] [-49.07, 72.76]
2.606415e+08 [-49.12, 42.61] [-48.92, 43.61] [-48.72, 44.61]
2.705951e+08 [-48.86, 13.55] [-48.66, 14.55] [-48.46, 15.55]
2.809288e+08 [-48.57, -16.54] [-48.37, -15.54] [-48.17, -14.54]
2.916571e+08 [-48.25, -47.76] [-48.05, -46.76] [-47.85, -45.76]
3.027952e+08 [-47.91, -80.95] [-47.71, -79.95] [-47.51, -78.95]
3.143586e+08 [-47.65, -115.03] [-47.45, -114.03] [-47.25, -113.03]
3.263636e+08 [-47.47, -150.29] [-47.27, -149.29] [-47.07, -148.29]
3.388271e+08 [-47.18, 174.04] [-46.98, 175.04] [-46.78, 176.04]
3.517665e+08 [-46.77, 136.27] [-46.57, 137.27] [-46.37, 138.27]
3.652000e+08 [-46.43, 95.82] [-46.23, 96.82] [-46.03, 97.82]
3.791466e+08 [-46.36, 54.66] [-46.16, 55.66] [-45.96, 56.66]
3.936258e+08 [-46.12, 13.70] [-45.92, 14.70] [-45.72, 15.70]
4.086579e+08 [-45.63, -30.21] [-45.43, -29.21] [-45.23, -28.21]
4.242641e+08 [-45.38, -77.72] [-45.18, -76.72] [-44.98, -75.72]
4.404662e+08 [-45.40, -124.52] [-45.20, -123.52] [-45.00, -122.52]
4.572871e+08 [-44.95, -172.07] [-44.75, -171.07] [-44.55, -170.07]
4.747504e+08 [-44.51, 134.89] [-44.31, 135.89] [-44.11, 136.89]
4.928806e+08 [-44.60, 81.67] [-44.40, 82.67] [-44.20, 83.67]
5.117031e+08 [-44.21, 28.43] [-44.01, 29.43] [-43.81, 30.43]
5.312445e+08 [-43.86, -30.58] [-43.66, -29.58] [-43.46, -28.58]
5.515321e+08 [-43.90, -89.36] [-43.70, -88.36] [-43.50, -87.36]
5.725945e+08 [-43.46, -150.29] [-43.26, -149.29] [-43.06, -148.29]
5.944612e+08 [-43.35, 144.61] [-43.15, 145.61] [-42.95, 146.61]
6.171630e+08 [-43.11, 79.39] [-42.91, 80.39] [-42.71, 81.39]
6.407317e+08 [-42.90, 9.28] [-42.70, 10.28] [-42.50, 11.28]
6.652006e+08 [-42.71, -61.27] [-42.51, -60.27] [-42.31, -59.27]
6.906038e+08 [-42.58, -136.43] [-42.38, -135.43] [-42.18, -134.43]
7.169772e+08 [-42.33, 147.96] [-42.13, 148.96] [-41.93, 149.96]
7.443577e+08 [-42.29, 66.07] [-42.09, 67.07] [-41.89, 68.07]
7.727839e+08 [-41.94, -14.51] [-41.74, -13.51] [-41.54, -12.51]
8.022956e+08 [-42.12, -102.89] [-41.92, -101.89] [-41.72, -100.89]
8.329344e+08 [-41.55, 169.53] [-41.35, 170.53] [-41.15, 171.53]
8.647432e+08 [-41.99, 76.33] [-41.79, 77.33] [-41.59, 78.33]
8.977667e+08 [-41.36, -21.26] [-41.16, -20.26] [-40.96, -19.26]
9.320514e+08 [-41.62, -117.93] [-41.42, -116.93] [-41.22, -115.93]
9.676454e+08 [-41.66, 135.02] [-41.46, 136.02] [-41.26, 137.02]
1.004599e+09 [-41.18, 29.52] [-40.98, 30.52] [-40.78, 31.52]
1.042963e+09 [-41.54, -80.80] [-41.34, -79.80] [-41.14, -78.80]
1.082793e+09 [-41.44, 161.22] [-41.24, 162.22] [-41.04, 163.22]
