# Version 1.00
#
freq[Hz];Trc1_S21[dB];
2.243562072410370E+008;-5.438454207336340E-001;
2.329241139757013E+008;-5.549627367558455E-001;
2.418192192609057E+008;-5.616387694887830E-001;
2.510540184347519E+008;-5.741039255817165E-001;
2.606414840180006E+008;-5.864112083718133E-001;
2.705950839371309E+008;-5.970274990763119E-001;
2.809288004433170E+008;-6.069341284691697E-001;
2.916571497539004E+008;-6.185365893267784E-001;
3.027952024439460E+008;-6.301551955251287E-001;
3.143586046165293E+008;-6.432126842341612E-001;
3.263635998814921E+008;-6.547502541455266E-001;
3.388270521735421E+008;-6.679591932616731E-001;
3.517664694417494E+008;-6.772199644503171E-001;
3.652000282437178E+008;-6.910489532260603E-001;
3.791465992789793E+008;-7.049445284702947E-001;
3.936257738974798E+008;-7.219668520348512E-001;
4.086578916203936E+008;-7.347254205191495E-001;
4.242640687119258E+008;-7.442934161568064E-001;
4.404662278422399E+008;-7.592160807401974E-001;
4.572871288831783E+008;-7.740860387270475E-001;
4.747504008800356E+008;-7.894378932595580E-001;
4.928805752442984E+008;-8.016223036393297E-001;
5.117031202139767E+008;-8.177321924141963E-001;
5.312444766299368E+008;-8.335668187398229E-001;
5.515320950784909E+008;-8.510055774038985E-001;
5.725944744524199E+008;-8.647868478593758E-001;
5.944612019845973E+008;-8.779057932626523E-001;
6.171629948104519E+008;-8.965127088762198E-001;
6.407317431176524E+008;-9.150052583035052E-001;
6.652005549436301E+008;-9.349919359098139E-001;
6.906038026838671E+008;-9.525954023486279E-001;
7.169771713762831E+008;-9.679133633024122E-001;
7.443577088295471E+008;-9.855373458800570E-001;
7.727838776657330E+008;-1.008803780944133E+000;
8.022956093504235E+008;-1.026058725716510E+000;
8.329343602861624E+008;-1.045072345522352E+000;
8.647431700480518E+008;-1.064188332721760E+000;
8.977667218432996E+008;-1.088335610787257E+000;
9.320514052796482E+008;-1.106378414337159E+000;
9.676453815308577E+008;-1.124003562421195E+000;
1.004598650990784E+009;-1.153717782559858E+000;
1.042963123511089E+009;-1.171656735744661E+000;
1.082792691321250E+009;-1.195359538762733E+000;
1.124143304733295E+009;-1.220162010510347E+000;
1.167073050737623E+009;-1.239871317594195E+000;
1.211642234600307E+009;-1.267941015430410E+000;
1.257913464576497E+009;-1.287458874647098E+000;
1.305951739858941E+009;-1.314664989360784E+000;
1.355824541885154E+009;-1.341278573870999E+000;
1.407601929131501E+009;-1.359231579727302E+000;
1.461356635527369E+009;-1.390398749906805E+000;
1.517164172627645E+009;-1.417592496428395E+000;
1.575102935687062E+009;-1.442022984376217E+000;
1.635254313785392E+009;-1.469109671938663E+000;
1.697702804158197E+009;-1.502713468773061E+000;
1.762536130893741E+009;-1.532749269520385E+000;
1.829845368162803E+009;-1.568927174602838E+000;
1.899725068154491E+009;-1.592377838145352E+000;
1.972273393897780E+009;-1.623505318434223E+000;
2.047592257155356E+009;-1.658692422689999E+000;
2.125787461583465E+009;-1.687464108205325E+000;
2.206968851358869E+009;-1.728437514629167E+000;
2.291250465481706E+009;-1.757977940922409E+000;
2.378750697970985E+009;-1.786014576088000E+000;
2.469592464177779E+009;-1.811957568041770E+000;
2.563903373449715E+009;-1.863902088320344E+000;
2.661815908389335E+009;-1.902585046488088E+000;
2.763467610958116E+009;-1.933261907833622E+000;
2.869001275687604E+009;-1.972712171674370E+000;
2.978565150269043E+009;-2.012954951782831E+000;
3.092313143803313E+009;-2.050839812208858E+000;
3.210405043003673E+009;-2.091402185898637E+000;
3.333006736655056E+009;-2.151123887804146E+000;
3.460290448645197E+009;-2.181345934557629E+000;
3.592434979894962E+009;-2.210242545277596E+000;
3.729625959527711E+009;-2.247414016486302E+000;
3.872056105630537E+009;-2.297269509164667E+000;
4.019925495973672E+009;-2.344162193580671E+000;
4.173441849068368E+009;-2.383087466916148E+000;
4.332820815958047E+009;-2.440568593292754E+000;
4.498286283152621E+009;-2.479935792104079E+000;
4.670070687131537E+009;-2.538718249208920E+000;
4.848415340857322E+009;-2.593705048162361E+000;
5.033570772758309E+009;-2.634457226892085E+000;
5.225797078656734E+009;-2.701568141383905E+000;
5.425364287136548E+009;-2.758879082427895E+000;
5.632552738864227E+009;-2.796054230803246E+000;
5.847653480395394E+009;-2.852662635368715E+000;
6.070968673020469E+009;-2.912595990016341E+000;
6.302812017223670E+009;-2.976019077126436E+000;
6.543509193351618E+009;-3.038652368678337E+000;
