FUNIT: Hz
UNIT: dB
9.320514e+08 -1.60 -1.40 -1.20
9.676454e+08 -1.62 -1.42 -1.22
1.004599e+09 -1.66 -1.46 -1.26
1.042963e+09 -1.68 -1.48 -1.28
1.082793e+09 -1.71 -1.51 -1.31
1.124143e+09 -1.74 -1.54 -1.34
1.167073e+09 -1.76 -1.56 -1.36
1.211642e+09 -1.80 -1.60 -1.40
1.257913e+09 -1.82 -1.62 -1.42
1.305952e+09 -1.86 -1.66 -1.46
1.355825e+09 -1.89 -1.69 -1.49
1.407602e+09 -1.92 -1.72 -1.52
1.461357e+09 -1.95 -1.75 -1.55
1.517164e+09 -1.99 -1.79 -1.59
1.575103e+09 -2.02 -1.82 -1.62
1.635254e+09 -2.06 -1.86 -1.66
1.697703e+09 -2.09 -1.89 -1.69
1.762536e+09 -2.13 -1.93 -1.73
1.829845e+09 -2.18 -1.98 -1.78
1.899725e+09 -2.21 -2.01 -1.81
1.972273e+09 -2.24 -2.04 -1.84
2.047592e+09 -2.29 -2.09 -1.89
2.125787e+09 -2.33 -2.13 -1.93
2.206969e+09 -2.37 -2.17 -1.97
2.291250e+09 -2.41 -2.21 -2.01
2.378751e+09 -2.44 -2.24 -2.04
2.469592e+09 -2.48 -2.28 -2.08
2.563903e+09 -2.54 -2.34 -2.14
2.661816e+09 -2.59 -2.39 -2.19
2.763468e+09 -2.62 -2.42 -2.22
2.869001e+09 -2.69 -2.49 -2.29
2.978565e+09 -2.73 -2.53 -2.33
3.092313e+09 -2.79 -2.59 -2.39
3.210405e+09 -2.82 -2.62 -2.42
3.333007e+09 -2.88 -2.68 -2.48
3.460290e+09 -2.93 -2.73 -2.53
3.592435e+09 -2.97 -2.77 -2.57
3.729626e+09 -3.01 -2.81 -2.61
3.872056e+09 -3.08 -2.88 -2.68
4.019925e+09 -3.14 -2.94 -2.74
4.173442e+09 -3.19 -2.99 -2.79
4.332821e+09 -3.25 -3.05 -2.85
4.498286e+09 -3.31 -3.11 -2.91
4.670071e+09 -3.37 -3.17 -2.97
4.848415e+09 -3.44 -3.24 -3.04
5.033571e+09 -3.50 -3.30 -3.10
5.225797e+09 -3.57 -3.37 -3.17
5.425364e+09 -3.65 -3.45 -3.25
5.632553e+09 -3.70 -3.50 -3.30
5.847653e+09 -3.76 -3.56 -3.36
6.070969e+09 -3.85 -3.65 -3.45
6.302812e+09 -3.92 -3.72 -3.52
6.543509e+09 -4.01 -3.81 -3.61
6.793398e+09 -4.08 -3.88 -3.68
7.052830e+09 -4.18 -3.98 -3.78
7.322170e+09 -4.27 -4.07 -3.87
7.601795e+09 -4.33 -4.13 -3.93
7.892099e+09 -4.45 -4.25 -4.05
8.193489e+09 -4.57 -4.37 -4.17
8.506389e+09 -4.66 -4.46 -4.26
8.831239e+09 -4.70 -4.50 -4.30
9.168493e+09 -4.75 -4.55 -4.35
9.518628e+09 -4.83 -4.63 -4.43
9.882133e+09 -4.91 -4.71 -4.51
1.025952e+10 -5.00 -4.80 -4.60
1.065132e+10 -5.12 -4.92 -4.72
1.105808e+10 -5.25 -5.05 -4.85
1.148038e+10 -5.42 -5.22 -5.02
1.191880e+10 -5.53 -5.33 -5.13
1.237396e+10 -5.61 -5.41 -5.21
1.284651e+10 -5.79 -5.59 -5.39
1.333711e+10 -5.83 -5.63 -5.43
1.384643e+10 -5.91 -5.71 -5.51
1.437521e+10 -5.96 -5.76 -5.56
1.492419e+10 -6.08 -5.88 -5.68
1.549412e+10 -6.22 -6.02 -5.82
1.608583e+10 -6.30 -6.10 -5.90
1.670013e+10 -6.45 -6.25 -6.05
1.733789e+10 -6.67 -6.47 -6.27
1.800000e+10 -6.73 -6.53 -6.33
