FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.62, 97.63] [-0.42, 98.63] [-0.22, 99.63]
1.791760e+08 [-0.65, 60.25] [-0.45, 61.25] [-0.25, 62.25]
1.860186e+08 [-0.66, 21.41] [-0.46, 22.41] [-0.26, 23.41]
1.931224e+08 [-0.70, -18.79] [-0.50, -17.79] [-0.30, -16.79]
2.004975e+08 [-0.70, -60.74] [-0.50, -59.74] [-0.30, -58.74]
2.081543e+08 [-0.69, -104.17] [-0.49, -103.17] [-0.29, -102.17]
2.161035e+08 [-0.71, -149.29] [-0.51, -148.29] [-0.31, -147.29]
2.243562e+08 [-0.71, 163.91] [-0.51, 164.91] [-0.31, 165.91]
2.329241e+08 [-0.76, 115.29] [-0.56, 116.29] [-0.36, 117.29]
2.418192e+08 [-0.75, 64.81] [-0.55, 65.81] [-0.35, 66.81]
2.510540e+08 [-0.77, 12.51] [-0.57, 13.51] [-0.37, 14.51]
2.606415e+08 [-0.78, -42.09] [-0.58, -41.09] [-0.38, -40.09]
2.705951e+08 [-0.78, -98.39] [-0.58, -97.39] [-0.38, -96.39]
2.809288e+08 [-0.82, -157.08] [-0.62, -156.08] [-0.42, -155.08]
2.916571e+08 [-0.82, 142.09] [-0.62, 143.09] [-0.42, 144.09]
3.027952e+08 [-0.82, 78.83] [-0.62, 79.83] [-0.42, 80.83]
3.143586e+08 [-0.83, 13.23] [-0.63, 14.23] [-0.43, 15.23]
3.263636e+08 [-0.85, -54.92] [-0.65, -53.92] [-0.45, -52.92]
3.388271e+08 [-0.84, -125.65] [-0.64, -124.65] [-0.44, -123.65]
3.517665e+08 [-0.87, 160.96] [-0.67, 161.96] [-0.47, 162.96]
3.652000e+08 [-0.89, 84.73] [-0.69, 85.73] [-0.49, 86.73]
3.791466e+08 [-0.90, 5.73] [-0.70, 6.73] [-0.50, 7.73]
3.936258e+08 [-0.92, -76.51] [-0.72, -75.51] [-0.52, -74.51]
4.086579e+08 [-0.92, -161.74] [-0.72, -160.74] [-0.52, -159.74]
4.242641e+08 [-0.94, 109.73] [-0.74, 110.73] [-0.54, 111.73]
4.404662e+08 [-0.95, 17.73] [-0.75, 18.73] [-0.55, 19.73]
4.572871e+08 [-0.97, -77.65] [-0.77, -76.65] [-0.57, -75.65]
4.747504e+08 [-0.99, -176.68] [-0.79, -175.68] [-0.59, -174.68]
4.928806e+08 [-1.00, 80.48] [-0.80, 81.48] [-0.60, 82.48]
5.117031e+08 [-1.02, -26.28] [-0.82, -25.28] [-0.62, -24.28]
5.312445e+08 [-1.04, -137.14] [-0.84, -136.14] [-0.64, -135.14]
5.515321e+08 [-1.06, 107.70] [-0.86, 108.70] [-0.66, 109.70]
5.725945e+08 [-1.07, -11.68] [-0.87, -10.68] [-0.67, -9.68]
