FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.64, -97.72] [-0.44, -96.72] [-0.24, -95.72]
1.791760e+08 [-0.67, -128.85] [-0.47, -127.85] [-0.27, -126.85]
1.860186e+08 [-0.67, -161.21] [-0.47, -160.21] [-0.27, -159.21]
1.931224e+08 [-0.72, 165.35] [-0.52, 166.35] [-0.32, 167.35]
2.004975e+08 [-0.71, 130.43] [-0.51, 131.43] [-0.31, 132.43]
2.081543e+08 [-0.70, 94.29] [-0.50, 95.29] [-0.30, 96.29]
2.161035e+08 [-0.73, 56.74] [-0.53, 57.74] [-0.33, 58.74]
2.243562e+08 [-0.72, 17.77] [-0.52, 18.77] [-0.32, 19.77]
2.329241e+08 [-0.77, -22.68] [-0.57, -21.68] [-0.37, -20.68]
2.418192e+08 [-0.77, -64.69] [-0.57, -63.69] [-0.37, -62.69]
2.510540e+08 [-0.78, -108.23] [-0.58, -107.23] [-0.38, -106.23]
2.606415e+08 [-0.80, -153.66] [-0.60, -152.66] [-0.40, -151.66]
2.705951e+08 [-0.79, 159.51] [-0.59, 160.51] [-0.39, 161.51]
2.809288e+08 [-0.84, 110.64] [-0.64, 111.64] [-0.44, 112.64]
2.916571e+08 [-0.83, 60.01] [-0.63, 61.01] [-0.43, 62.01]
3.027952e+08 [-0.84, 7.39] [-0.64, 8.39] [-0.44, 9.39]
3.143586e+08 [-0.84, -47.19] [-0.64, -46.19] [-0.44, -45.19]
3.263636e+08 [-0.87, -103.89] [-0.67, -102.89] [-0.47, -101.89]
3.388271e+08 [-0.86, -162.78] [-0.66, -161.78] [-0.46, -160.78]
3.517665e+08 [-0.88, 136.17] [-0.68, 137.17] [-0.48, 138.17]
3.652000e+08 [-0.91, 72.72] [-0.71, 73.72] [-0.51, 74.72]
3.791466e+08 [-0.91, 6.99] [-0.71, 7.99] [-0.51, 8.99]
3.936258e+08 [-0.93, -61.43] [-0.73, -60.43] [-0.53, -59.43]
4.086579e+08 [-0.93, -132.38] [-0.73, -131.38] [-0.53, -130.38]
4.242641e+08 [-0.96, 153.95] [-0.76, 154.95] [-0.56, 155.95]
4.404662e+08 [-0.96, 77.47] [-0.76, 78.47] [-0.56, 79.47]
4.572871e+08 [-0.99, -1.88] [-0.79, -0.88] [-0.59, 0.12]
4.747504e+08 [-1.00, -84.33] [-0.80, -83.33] [-0.60, -82.33]
4.928806e+08 [-1.01, -169.95] [-0.81, -168.95] [-0.61, -167.95]
5.117031e+08 [-1.04, 101.33] [-0.84, 102.33] [-0.64, 103.33]
5.312445e+08 [-1.05, 9.13] [-0.85, 10.13] [-0.65, 11.13]
5.515321e+08 [-1.06, -86.72] [-0.86, -85.72] [-0.66, -84.72]
5.725945e+08 [-1.08, 173.98] [-0.88, 174.98] [-0.68, 175.98]
5.944612e+08 [-1.10, 70.77] [-0.90, 71.77] [-0.70, 72.77]
6.171630e+08 [-1.12, -36.30] [-0.92, -35.30] [-0.72, -34.30]
6.407317e+08 [-1.13, -147.51] [-0.93, -146.51] [-0.73, -145.51]
6.652006e+08 [-1.15, 96.92] [-0.95, 97.92] [-0.75, 98.92]
6.906038e+08 [-1.17, -22.95] [-0.97, -21.95] [-0.77, -20.95]
7.169772e+08 [-1.19, -147.40] [-0.99, -146.40] [-0.79, -145.40]
7.443577e+08 [-1.22, 83.45] [-1.02, 84.45] [-0.82, 85.45]
7.727839e+08 [-1.23, -50.71] [-1.03, -49.71] [-0.83, -48.71]
8.022956e+08 [-1.25, 170.09] [-1.05, 171.09] [-0.85, 172.09]
8.329344e+08 [-1.26, 25.64] [-1.06, 26.64] [-0.86, 27.64]
8.647432e+08 [-1.29, -124.54] [-1.09, -123.54] [-0.89, -122.54]
8.977667e+08 [-1.30, 79.65] [-1.10, 80.65] [-0.90, 81.65]
9.320514e+08 [-1.34, -82.08] [-1.14, -81.08] [-0.94, -80.08]
9.676454e+08 [-1.35, 109.93] [-1.15, 110.93] [-0.95, 111.93]
1.004599e+09 [-1.38, -64.27] [-1.18, -63.27] [-0.98, -62.27]
1.042963e+09 [-1.40, 114.72] [-1.20, 115.72] [-1.00, 116.72]
1.082793e+09 [-1.41, -73.21] [-1.21, -72.21] [-1.01, -71.21]
1.124143e+09 [-1.44, 91.72] [-1.24, 92.72] [-1.04, 93.72]
1.167073e+09 [-1.46, -110.88] [-1.26, -109.88] [-1.06, -108.88]
1.211642e+09 [-1.48, 38.89] [-1.28, 39.89] [-1.08, 40.89]
1.257913e+09 [-1.51, -179.47] [-1.31, -178.47] [-1.11, -177.47]
1.305952e+09 [-1.55, -46.08] [-1.35, -45.08] [-1.15, -44.08]
1.355825e+09 [-1.57, 78.68] [-1.37, 79.68] [-1.17, 80.68]
1.407602e+09 [-1.58, -165.55] [-1.38, -164.55] [-1.18, -163.55]
1.461357e+09 [-1.62, -59.14] [-1.42, -58.14] [-1.22, -57.14]
1.517164e+09 [-1.64, 37.57] [-1.44, 38.57] [-1.24, 39.57]
1.575103e+09 [-1.67, 124.19] [-1.47, 125.19] [-1.27, 126.19]
1.635254e+09 [-1.70, -159.53] [-1.50, -158.53] [-1.30, -157.53]
1.697703e+09 [-1.72, -94.16] [-1.52, -93.16] [-1.32, -92.16]
1.762536e+09 [-1.76, -39.92] [-1.56, -38.92] [-1.36, -37.92]
1.829845e+09 [-1.79, 2.67] [-1.59, 3.67] [-1.39, 4.67]
1.899725e+09 [-1.83, 33.33] [-1.63, 34.33] [-1.43, 35.33]
1.972273e+09 [-1.85, 50.77] [-1.65, 51.77] [-1.45, 52.77]
2.047592e+09 [-1.89, 55.48] [-1.69, 56.48] [-1.49, 57.48]
2.125787e+09 [-1.92, 46.63] [-1.72, 47.63] [-1.52, 48.63]
2.206969e+09 [-1.98, 23.78] [-1.78, 24.78] [-1.58, 25.78]
2.291250e+09 [-2.01, -13.64] [-1.81, -12.64] [-1.61, -11.64]
2.378751e+09 [-2.02, -66.41] [-1.82, -65.41] [-1.62, -64.41]
2.469592e+09 [-2.06, -134.93] [-1.86, -133.93] [-1.66, -132.93]
2.563903e+09 [-2.10, 140.74] [-1.90, 141.74] [-1.70, 142.74]
2.661816e+09 [-2.13, 38.82] [-1.93, 39.82] [-1.73, 40.82]
2.763468e+09 [-2.16, -80.86] [-1.96, -79.86] [-1.76, -78.86]
2.869001e+09 [-2.20, 140.99] [-2.00, 141.99] [-1.80, 142.99]
2.978565e+09 [-2.26, -15.34] [-2.06, -14.34] [-1.86, -13.34]
3.092313e+09 [-2.27, 167.96] [-2.07, 168.96] [-1.87, 169.96]
3.210405e+09 [-2.36, -29.55] [-2.16, -28.55] [-1.96, -27.55]
3.333007e+09 [-2.50, 112.93] [-2.30, 113.93] [-2.10, 114.93]
3.460290e+09 [-2.45, -127.54] [-2.25, -126.54] [-2.05, -125.54]
3.592435e+09 [-2.48, -30.58] [-2.28, -29.58] [-2.08, -28.58]
3.729626e+09 [-2.53, 41.91] [-2.33, 42.91] [-2.13, 43.91]
3.872056e+09 [-2.59, 90.90] [-2.39, 91.90] [-2.19, 92.90]
4.019925e+09 [-2.65, 113.01] [-2.45, 114.01] [-2.25, 115.01]
4.173442e+09 [-2.63, 108.78] [-2.43, 109.78] [-2.23, 110.78]
4.332821e+09 [-2.88, 77.85] [-2.68, 78.85] [-2.48, 79.85]
4.498286e+09 [-2.80, 16.98] [-2.60, 17.98] [-2.40, 18.98]
4.670071e+09 [-2.82, -73.30] [-2.62, -72.30] [-2.42, -71.30]
4.848415e+09 [-2.89, 165.63] [-2.69, 166.63] [-2.49, 167.63]
5.033571e+09 [-2.92, 11.96] [-2.72, 12.96] [-2.52, 13.96]
5.225797e+09 [-2.97, -174.92] [-2.77, -173.92] [-2.57, -172.92]
5.425364e+09 [-3.18, -36.07] [-2.98, -35.07] [-2.78, -34.07]
5.632553e+09 [-3.14, 66.34] [-2.94, 67.34] [-2.74, 68.34]
5.847653e+09 [-3.18, 132.26] [-2.98, 133.26] [-2.78, 134.26]
6.070969e+09 [-3.40, 159.27] [-3.20, 160.27] [-3.00, 161.27]
6.302812e+09 [-3.43, 144.99] [-3.23, 145.99] [-3.03, 146.99]
