FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.60, 120.66] [-0.40, 121.66] [-0.20, 122.66]
1.791760e+08 [-0.62, 84.12] [-0.42, 85.12] [-0.22, 86.12]
1.860186e+08 [-0.63, 46.19] [-0.43, 47.19] [-0.23, 48.19]
1.931224e+08 [-0.68, 6.91] [-0.48, 7.91] [-0.28, 8.91]
2.004975e+08 [-0.67, -34.08] [-0.47, -33.08] [-0.27, -32.08]
2.081543e+08 [-0.67, -76.47] [-0.47, -75.47] [-0.27, -74.47]
2.161035e+08 [-0.69, -120.51] [-0.49, -119.51] [-0.29, -118.51]
2.243562e+08 [-0.68, -166.28] [-0.48, -165.28] [-0.28, -164.28]
2.329241e+08 [-0.73, 146.22] [-0.53, 147.22] [-0.33, 148.22]
2.418192e+08 [-0.73, 96.90] [-0.53, 97.90] [-0.33, 98.90]
2.510540e+08 [-0.75, 45.83] [-0.55, 46.83] [-0.35, 47.83]
2.606415e+08 [-0.76, -7.49] [-0.56, -6.49] [-0.36, -5.49]
2.705951e+08 [-0.77, -62.52] [-0.57, -61.52] [-0.37, -60.52]
2.809288e+08 [-0.83, -119.77] [-0.63, -118.77] [-0.43, -117.77]
2.916571e+08 [-0.81, -179.04] [-0.61, -178.04] [-0.41, -177.04]
3.027952e+08 [-0.80, 119.19] [-0.60, 120.19] [-0.40, 121.19]
3.143586e+08 [-0.80, 55.04] [-0.60, 56.04] [-0.40, 57.04]
3.263636e+08 [-0.83, -11.54] [-0.63, -10.54] [-0.43, -9.54]
3.388271e+08 [-0.82, -80.63] [-0.62, -79.63] [-0.42, -78.63]
3.517665e+08 [-0.85, -152.33] [-0.65, -151.33] [-0.45, -150.33]
3.652000e+08 [-0.88, 133.22] [-0.68, 134.22] [-0.48, 135.22]
3.791466e+08 [-0.88, 56.07] [-0.68, 57.07] [-0.48, 58.07]
3.936258e+08 [-0.91, -24.27] [-0.71, -23.27] [-0.51, -22.27]
4.086579e+08 [-0.93, -107.43] [-0.73, -106.43] [-0.53, -105.43]
4.242641e+08 [-0.93, 166.21] [-0.73, 167.21] [-0.53, 168.21]
4.404662e+08 [-0.94, 76.24] [-0.74, 77.24] [-0.54, 78.24]
4.572871e+08 [-0.97, -16.85] [-0.77, -15.85] [-0.57, -14.85]
4.747504e+08 [-0.98, -113.58] [-0.78, -112.58] [-0.58, -111.58]
4.928806e+08 [-0.99, 145.94] [-0.79, 146.94] [-0.59, 147.94]
5.117031e+08 [-1.02, 41.66] [-0.82, 42.66] [-0.62, 43.66]
5.312445e+08 [-1.04, -66.64] [-0.84, -65.64] [-0.64, -64.64]
5.515321e+08 [-1.07, -179.03] [-0.87, -178.03] [-0.67, -177.03]
5.725945e+08 [-1.09, 64.40] [-0.89, 65.40] [-0.69, 66.40]
5.944612e+08 [-1.10, -56.64] [-0.90, -55.64] [-0.70, -54.64]
6.171630e+08 [-1.12, 177.54] [-0.92, 178.54] [-0.72, 179.54]
6.407317e+08 [-1.14, 46.97] [-0.94, 47.97] [-0.74, 48.97]
6.652006e+08 [-1.17, -88.46] [-0.97, -87.46] [-0.77, -86.46]
6.906038e+08 [-1.18, 130.80] [-0.98, 131.80] [-0.78, 132.80]
7.169772e+08 [-1.21, -15.26] [-1.01, -14.26] [-0.81, -13.26]
7.443577e+08 [-1.25, -166.84] [-1.05, -165.84] [-0.85, -164.84]
7.727839e+08 [-1.27, 35.70] [-1.07, 36.70] [-0.87, 37.70]
8.022956e+08 [-1.29, -127.81] [-1.09, -126.81] [-0.89, -125.81]
8.329344e+08 [-1.31, 62.52] [-1.11, 63.52] [-0.91, 64.52]
8.647432e+08 [-1.34, -113.59] [-1.14, -112.59] [-0.94, -111.59]
8.977667e+08 [-1.39, 63.57] [-1.19, 64.57] [-0.99, 65.57]
9.320514e+08 [-1.40, -126.32] [-1.20, -125.32] [-1.00, -124.32]
9.676454e+08 [-1.45, 36.56] [-1.25, 37.56] [-1.05, 38.56]
1.004599e+09 [-1.46, -167.90] [-1.26, -166.90] [-1.06, -165.90]
1.042963e+09 [-1.49, -20.47] [-1.29, -19.47] [-1.09, -18.47]
1.082793e+09 [-1.53, 119.15] [-1.33, 120.15] [-1.13, 121.15]
1.124143e+09 [-1.58, -109.76] [-1.38, -108.76] [-1.18, -107.76]
1.167073e+09 [-1.61, 12.59] [-1.41, 13.59] [-1.21, 14.59]
1.211642e+09 [-1.64, 125.71] [-1.44, 126.71] [-1.24, 127.71]
1.257913e+09 [-1.71, -130.39] [-1.51, -129.39] [-1.31, -128.39]
