FUNIT: Hz
UNIT: dB
1.662368e+08 [-40.70, -127.00] [-40.50, -126.00] [-40.30, -125.00]
1.725852e+08 [-40.70, -161.61] [-40.50, -160.61] [-40.30, -159.61]
1.791760e+08 [-40.73, 163.12] [-40.53, 164.12] [-40.33, 165.12]
1.860186e+08 [-40.79, 126.21] [-40.59, 127.21] [-40.39, 128.21]
1.931224e+08 [-40.77, 88.28] [-40.57, 89.28] [-40.37, 90.28]
2.004975e+08 [-40.79, 49.36] [-40.59, 50.36] [-40.39, 51.36]
2.081543e+08 [-40.73, 8.04] [-40.53, 9.04] [-40.33, 10.04]
2.161035e+08 [-40.75, -34.05] [-40.55, -33.05] [-40.35, -32.05]
2.243562e+08 [-40.76, -78.34] [-40.56, -77.34] [-40.36, -76.34]
2.329241e+08 [-40.77, -123.48] [-40.57, -122.48] [-40.37, -121.48]
2.418192e+08 [-40.76, -171.12] [-40.56, -170.12] [-40.36, -169.12]
2.510540e+08 [-40.77, 140.16] [-40.57, 141.16] [-40.37, 142.16]
2.606415e+08 [-40.77, 89.33] [-40.57, 90.33] [-40.37, 91.33]
2.705951e+08 [-40.82, 36.47] [-40.62, 37.47] [-40.42, 38.47]
2.809288e+08 [-40.85, -17.99] [-40.65, -16.99] [-40.45, -15.99]
2.916571e+08 [-40.83, -74.32] [-40.63, -73.32] [-40.43, -72.32]
3.027952e+08 [-40.76, -133.37] [-40.56, -132.37] [-40.36, -131.37]
3.143586e+08 [-40.82, 165.45] [-40.62, 166.45] [-40.42, 167.45]
3.263636e+08 [-40.81, 102.27] [-40.61, 103.27] [-40.41, 104.27]
3.388271e+08 [-40.84, 36.47] [-40.64, 37.47] [-40.44, 38.47]
3.517665e+08 [-40.82, -31.90] [-40.62, -30.90] [-40.42, -29.90]
3.652000e+08 [-40.85, -102.54] [-40.65, -101.54] [-40.45, -100.54]
3.791466e+08 [-40.87, -175.93] [-40.67, -174.93] [-40.47, -173.93]
3.936258e+08 [-40.85, 107.87] [-40.65, 108.87] [-40.45, 109.87]
4.086579e+08 [-40.86, 28.88] [-40.66, 29.88] [-40.46, 30.88]
4.242641e+08 [-40.86, -53.33] [-40.66, -52.33] [-40.46, -51.33]
4.404662e+08 [-40.89, -138.88] [-40.69, -137.88] [-40.49, -136.88]
4.572871e+08 [-40.91, 132.69] [-40.71, 133.69] [-40.51, 134.69]
4.747504e+08 [-40.90, 41.12] [-40.70, 42.12] [-40.50, 43.12]
4.928806e+08 [-40.88, -54.17] [-40.68, -53.17] [-40.48, -52.17]
5.117031e+08 [-40.90, -153.50] [-40.70, -152.50] [-40.50, -151.50]
5.312445e+08 [-40.90, 103.73] [-40.70, 104.73] [-40.50, 105.73]
5.515321e+08 [-40.93, -2.87] [-40.73, -1.87] [-40.53, -0.87]
