FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.71, 142.75] [-0.51, 143.75] [-0.31, 144.75]
1.791760e+08 [-0.73, 107.05] [-0.53, 108.05] [-0.33, 109.05]
1.860186e+08 [-0.74, 70.03] [-0.54, 71.03] [-0.34, 72.03]
1.931224e+08 [-0.75, 31.60] [-0.55, 32.60] [-0.35, 33.60]
2.004975e+08 [-0.75, -8.37] [-0.55, -7.37] [-0.35, -6.37]
2.081543e+08 [-0.77, -49.79] [-0.57, -48.79] [-0.37, -47.79]
2.161035e+08 [-0.78, -92.82] [-0.58, -91.82] [-0.38, -90.82]
2.243562e+08 [-0.79, -137.44] [-0.59, -136.44] [-0.39, -135.44]
2.329241e+08 [-0.81, 176.16] [-0.61, 177.16] [-0.41, 178.16]
2.418192e+08 [-0.81, 128.00] [-0.61, 129.00] [-0.41, 130.00]
2.510540e+08 [-0.84, 78.00] [-0.64, 79.00] [-0.44, 80.00]
2.606415e+08 [-0.85, 26.11] [-0.65, 27.11] [-0.45, 28.11]
2.705951e+08 [-0.87, -27.76] [-0.67, -26.76] [-0.47, -25.76]
2.809288e+08 [-0.89, -83.67] [-0.69, -82.67] [-0.49, -81.67]
2.916571e+08 [-0.90, -141.72] [-0.70, -140.72] [-0.50, -139.72]
3.027952e+08 [-0.92, 158.04] [-0.72, 159.04] [-0.52, 160.04]
3.143586e+08 [-0.93, 95.50] [-0.73, 96.50] [-0.53, 97.50]
3.263636e+08 [-0.94, 30.49] [-0.74, 31.49] [-0.54, 32.49]
3.388271e+08 [-0.95, -36.96] [-0.75, -35.96] [-0.55, -34.96]
3.517665e+08 [-0.98, -106.99] [-0.78, -105.99] [-0.58, -104.99]
3.652000e+08 [-0.99, -179.64] [-0.79, -178.64] [-0.59, -177.64]
3.791466e+08 [-1.00, 104.93] [-0.80, 105.93] [-0.60, 106.93]
3.936258e+08 [-1.03, 26.56] [-0.83, 27.56] [-0.63, 28.56]
4.086579e+08 [-1.04, -54.83] [-0.84, -53.83] [-0.64, -52.83]
4.242641e+08 [-1.07, -139.23] [-0.87, -138.23] [-0.67, -137.23]
4.404662e+08 [-1.08, 133.24] [-0.88, 134.24] [-0.68, 135.24]
4.572871e+08 [-1.09, 42.19] [-0.89, 43.19] [-0.69, 44.19]
4.747504e+08 [-1.12, -52.27] [-0.92, -51.27] [-0.72, -50.27]
4.928806e+08 [-1.14, -150.35] [-0.94, -149.35] [-0.74, -148.35]
5.117031e+08 [-1.15, 107.83] [-0.95, 108.83] [-0.75, 109.83]
5.312445e+08 [-1.17, 2.14] [-0.97, 3.14] [-0.77, 4.14]
5.515321e+08 [-1.19, -107.60] [-0.99, -106.60] [-0.79, -105.60]
5.725945e+08 [-1.22, 138.52] [-1.02, 139.52] [-0.82, 140.52]
5.944612e+08 [-1.24, 20.24] [-1.04, 21.24] [-0.84, 22.24]
6.171630e+08 [-1.25, -102.50] [-1.05, -101.50] [-0.85, -100.50]
6.407317e+08 [-1.28, 129.99] [-1.08, 130.99] [-0.88, 131.99]
6.652006e+08 [-1.31, -2.34] [-1.11, -1.34] [-0.91, -0.34]
6.906038e+08 [-1.32, -139.70] [-1.12, -138.70] [-0.92, -137.70]
7.169772e+08 [-1.35, 77.65] [-1.15, 78.65] [-0.95, 79.65]
7.443577e+08 [-1.37, -70.34] [-1.17, -69.34] [-0.97, -68.34]
7.727839e+08 [-1.40, 135.90] [-1.20, 136.90] [-1.00, 137.90]
8.022956e+08 [-1.42, -23.67] [-1.22, -22.67] [-1.02, -21.67]
8.329344e+08 [-1.44, 170.60] [-1.24, 171.60] [-1.04, 172.60]
8.647432e+08 [-1.47, -1.36] [-1.27, -0.36] [-1.07, 0.64]
8.977667e+08 [-1.50, -179.95] [-1.30, -178.95] [-1.10, -177.95]
9.320514e+08 [-1.51, -5.32] [-1.31, -4.32] [-1.11, -3.32]
9.676454e+08 [-1.55, 162.17] [-1.35, 163.17] [-1.15, 164.17]
1.004599e+09 [-1.57, -37.58] [-1.37, -36.58] [-1.17, -35.58]
1.042963e+09 [-1.60, 115.00] [-1.40, 116.00] [-1.20, 117.00]
1.082793e+09 [-1.62, -100.34] [-1.42, -99.34] [-1.22, -98.34]
1.124143e+09 [-1.65, 36.04] [-1.45, 37.04] [-1.25, 38.04]
1.167073e+09 [-1.68, 163.92] [-1.48, 164.92] [-1.28, 165.92]
1.211642e+09 [-1.71, -77.01] [-1.51, -76.01] [-1.31, -75.01]
1.257913e+09 [-1.73, 32.81] [-1.53, 33.81] [-1.33, 34.81]
1.305952e+09 [-1.77, 133.05] [-1.57, 134.05] [-1.37, 135.05]
1.355825e+09 [-1.80, -136.64] [-1.60, -135.64] [-1.40, -134.64]
1.407602e+09 [-1.83, -56.58] [-1.63, -55.58] [-1.43, -54.58]
1.461357e+09 [-1.87, 12.83] [-1.67, 13.83] [-1.47, 14.83]
1.517164e+09 [-1.90, 71.16] [-1.70, 72.16] [-1.50, 73.16]
1.575103e+09 [-1.93, 117.90] [-1.73, 118.90] [-1.53, 119.90]
1.635254e+09 [-1.96, 152.68] [-1.76, 153.68] [-1.56, 154.68]
1.697703e+09 [-1.99, 175.08] [-1.79, 176.08] [-1.59, 177.08]
1.762536e+09 [-2.05, -175.49] [-1.85, -174.49] [-1.65, -173.49]
1.829845e+09 [-2.09, -179.41] [-1.89, -178.41] [-1.69, -177.41]
1.899725e+09 [-2.13, 162.88] [-1.93, 163.88] [-1.73, 164.88]
1.972273e+09 [-2.17, 130.76] [-1.97, 131.76] [-1.77, 132.76]
2.047592e+09 [-2.21, 83.66] [-2.01, 84.66] [-1.81, 85.66]
2.125787e+09 [-2.23, 20.83] [-2.03, 21.83] [-1.83, 22.83]
2.206969e+09 [-2.31, -58.02] [-2.11, -57.02] [-1.91, -56.02]
2.291250e+09 [-2.35, -153.45] [-2.15, -152.45] [-1.95, -151.45]
2.378751e+09 [-2.37, 93.43] [-2.17, 94.43] [-1.97, 95.43]
2.469592e+09 [-2.41, -37.43] [-2.21, -36.43] [-2.01, -35.43]
2.563903e+09 [-2.45, 172.55] [-2.25, 173.55] [-2.05, 174.55]
2.661816e+09 [-2.52, 3.30] [-2.32, 4.30] [-2.12, 5.30]
2.763468e+09 [-2.57, 173.83] [-2.37, 174.83] [-2.17, 175.83]
2.869001e+09 [-2.58, -37.16] [-2.38, -36.16] [-2.18, -35.16]
2.978565e+09 [-2.66, 91.01] [-2.46, 92.01] [-2.26, 93.01]
3.092313e+09 [-2.73, -164.17] [-2.53, -163.17] [-2.33, -162.17]
3.210405e+09 [-2.78, -82.45] [-2.58, -81.45] [-2.38, -80.45]
3.333007e+09 [-2.95, -25.43] [-2.75, -24.43] [-2.55, -23.43]
3.460290e+09 [-3.07, 6.14] [-2.87, 7.14] [-2.67, 8.14]
3.592435e+09 [-3.28, 12.17] [-3.08, 13.17] [-2.88, 14.17]
3.729626e+09 [-3.31, -6.86] [-3.11, -5.86] [-2.91, -4.86]
3.872056e+09 [-3.21, -56.76] [-3.01, -55.76] [-2.81, -54.76]
4.019925e+09 [-3.15, -135.50] [-2.95, -134.50] [-2.75, -133.50]
4.173442e+09 [-3.18, 113.80] [-2.98, 114.80] [-2.78, 115.80]
4.332821e+09 [-3.36, -28.31] [-3.16, -27.31] [-2.96, -26.31]
4.498286e+09 [-3.25, 158.37] [-3.05, 159.37] [-2.85, 160.37]
4.670071e+09 [-3.31, -50.78] [-3.11, -49.78] [-2.91, -48.78]
4.848415e+09 [-3.55, 65.17] [-3.35, 66.17] [-3.15, 67.17]
5.033571e+09 [-3.46, 144.19] [-3.26, 145.19] [-3.06, 146.19]
5.225797e+09 [-3.69, -174.87] [-3.49, -173.87] [-3.29, -172.87]
5.425364e+09 [-3.66, -174.08] [-3.46, -173.08] [-3.26, -172.08]
5.632553e+09 [-3.78, 146.43] [-3.58, 147.43] [-3.38, 148.43]
5.847653e+09 [-3.84, 63.98] [-3.64, 64.98] [-3.44, 65.98]
6.070969e+09 [-3.95, -62.47] [-3.75, -61.47] [-3.55, -60.47]
6.302812e+09 [-4.05, 123.45] [-3.85, 124.45] [-3.65, 125.45]
6.543509e+09 [-4.12, -97.61] [-3.92, -96.61] [-3.72, -95.61]
6.793398e+09 [-4.19, -7.86] [-3.99, -6.86] [-3.79, -5.86]
7.052830e+09 [-4.40, 28.91] [-4.20, 29.91] [-4.00, 30.91]
7.322170e+09 [-4.53, 14.03] [-4.33, 15.03] [-4.13, 16.03]
7.601795e+09 [-4.48, -56.47] [-4.28, -55.47] [-4.08, -54.47]
7.892099e+09 [-4.49, 173.90] [-4.29, 174.90] [-4.09, 175.90]
8.193489e+09 [-4.51, -15.31] [-4.31, -14.31] [-4.11, -13.31]
8.506389e+09 [-4.69, 91.93] [-4.49, 92.93] [-4.29, 93.93]
8.831239e+09 [-4.75, 136.62] [-4.55, 137.62] [-4.35, 138.62]
9.168493e+09 [-4.84, 112.01] [-4.64, 113.01] [-4.44, 114.01]
9.518628e+09 [-4.81, 18.45] [-4.61, 19.45] [-4.41, 20.45]
9.882133e+09 [-5.03, -147.35] [-4.83, -146.35] [-4.63, -145.35]
1.025952e+10 [-5.11, -28.01] [-4.91, -27.01] [-4.71, -26.01]
1.065132e+10 [-5.35, 12.58] [-5.15, 13.58] [-4.95, 14.58]
1.105808e+10 [-6.44, -29.10] [-6.24, -28.10] [-6.04, -27.10]
1.148038e+10 [-6.23, -150.31] [-6.03, -149.31] [-5.83, -148.31]
1.191880e+10 [-5.71, -0.48] [-5.51, 0.52] [-5.31, 1.52]
1.237396e+10 [-5.89, 57.37] [-5.69, 58.37] [-5.49, 59.37]
1.284651e+10 [-6.25, 20.80] [-6.05, 21.80] [-5.85, 22.80]
1.333711e+10 [-6.30, -112.54] [-6.10, -111.54] [-5.90, -110.54]
1.384643e+10 [-6.20, 10.89] [-6.00, 11.89] [-5.80, 12.89]
1.437521e+10 [-6.40, 23.57] [-6.20, 24.57] [-6.00, 25.57]
1.492419e+10 [-6.51, -63.55] [-6.31, -62.55] [-6.11, -61.55]
1.549412e+10 [-7.05, 89.94] [-6.85, 90.94] [-6.65, 91.94]
1.608583e+10 [-6.76, 122.88] [-6.56, 123.88] [-6.36, 124.88]
1.670013e+10 [-7.10, 33.82] [-6.90, 34.82] [-6.70, 35.82]
1.733789e+10 [-7.36, 172.81] [-7.16, 173.81] [-6.96, 174.81]
1.800000e+10 [-8.34, -175.96] [-8.14, -174.96] [-7.94, -173.96]
