FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.71, 54.61] [-0.51, 55.61] [-0.31, 56.61]
1.791760e+08 [-0.72, 15.56] [-0.52, 16.56] [-0.32, 17.56]
1.860186e+08 [-0.73, -24.96] [-0.53, -23.96] [-0.33, -22.96]
1.931224e+08 [-0.74, -67.06] [-0.54, -66.06] [-0.34, -65.06]
2.004975e+08 [-0.75, -110.76] [-0.55, -109.76] [-0.35, -108.76]
2.081543e+08 [-0.77, -156.07] [-0.57, -155.07] [-0.37, -154.07]
2.161035e+08 [-0.77, 156.83] [-0.57, 157.83] [-0.37, 158.83]
2.243562e+08 [-0.78, 107.97] [-0.58, 108.97] [-0.38, 109.97]
2.329241e+08 [-0.79, 57.18] [-0.59, 58.18] [-0.39, 59.18]
2.418192e+08 [-0.80, 4.49] [-0.60, 5.49] [-0.40, 6.49]
2.510540e+08 [-0.83, -50.22] [-0.63, -49.22] [-0.43, -48.22]
2.606415e+08 [-0.83, -107.02] [-0.63, -106.02] [-0.43, -105.02]
2.705951e+08 [-0.85, -165.98] [-0.65, -164.98] [-0.45, -163.98]
2.809288e+08 [-0.86, 132.84] [-0.66, 133.84] [-0.46, 134.84]
2.916571e+08 [-0.87, 69.28] [-0.67, 70.28] [-0.47, 71.28]
3.027952e+08 [-0.89, 3.29] [-0.69, 4.29] [-0.49, 5.29]
3.143586e+08 [-0.90, -65.19] [-0.70, -64.19] [-0.50, -63.19]
3.263636e+08 [-0.91, -136.30] [-0.71, -135.30] [-0.51, -134.30]
3.388271e+08 [-0.92, 149.89] [-0.72, 150.89] [-0.52, 151.89]
3.517665e+08 [-0.94, 73.25] [-0.74, 74.25] [-0.54, 75.25]
3.652000e+08 [-0.96, -6.27] [-0.76, -5.27] [-0.56, -4.27]
3.791466e+08 [-0.97, -88.88] [-0.77, -87.88] [-0.57, -86.88]
3.936258e+08 [-0.99, -174.64] [-0.79, -173.64] [-0.59, -172.64]
4.086579e+08 [-1.01, 96.32] [-0.81, 97.32] [-0.61, 98.32]
4.242641e+08 [-1.02, 3.90] [-0.82, 4.90] [-0.62, 5.90]
4.404662e+08 [-1.04, -92.00] [-0.84, -91.00] [-0.64, -90.00]
4.572871e+08 [-1.06, 168.41] [-0.86, 169.41] [-0.66, 170.41]
4.747504e+08 [-1.08, 65.01] [-0.88, 66.01] [-0.68, 67.01]
4.928806e+08 [-1.09, -42.33] [-0.89, -41.33] [-0.69, -40.33]
5.117031e+08 [-1.11, -153.83] [-0.91, -152.83] [-0.71, -151.83]
5.312445e+08 [-1.12, 90.48] [-0.92, 91.48] [-0.72, 92.48]
5.515321e+08 [-1.14, -29.62] [-0.94, -28.62] [-0.74, -27.62]
5.725945e+08 [-1.16, -154.29] [-0.96, -153.29] [-0.76, -152.29]
5.944612e+08 [-1.19, 76.23] [-0.99, 77.23] [-0.79, 78.23]
6.171630e+08 [-1.20, -58.14] [-1.00, -57.14] [-0.80, -56.14]
6.407317e+08 [-1.22, 162.29] [-1.02, 163.29] [-0.82, 164.29]
6.652006e+08 [-1.24, 17.43] [-1.04, 18.43] [-0.84, 19.43]
6.906038e+08 [-1.26, -132.95] [-1.06, -131.95] [-0.86, -130.95]
7.169772e+08 [-1.29, 70.92] [-1.09, 71.92] [-0.89, 72.92]
7.443577e+08 [-1.31, -91.13] [-1.11, -90.13] [-0.91, -89.13]
7.727839e+08 [-1.33, 100.58] [-1.13, 101.58] [-0.93, 102.58]
8.022956e+08 [-1.35, -74.11] [-1.15, -73.11] [-0.95, -72.11]
8.329344e+08 [-1.38, 104.51] [-1.18, 105.51] [-0.98, 106.51]
8.647432e+08 [-1.40, -83.77] [-1.20, -82.77] [-1.00, -81.77]
8.977667e+08 [-1.42, 80.76] [-1.22, 81.76] [-1.02, 82.76]
9.320514e+08 [-1.45, -122.19] [-1.25, -121.19] [-1.05, -120.19]
9.676454e+08 [-1.47, 27.10] [-1.27, 28.10] [-1.07, 29.10]
1.004599e+09 [-1.51, 168.38] [-1.31, 169.38] [-1.11, 170.38]
1.042963e+09 [-1.53, -58.67] [-1.33, -57.67] [-1.13, -56.67]
1.082793e+09 [-1.55, 65.58] [-1.35, 66.58] [-1.15, 67.58]
1.124143e+09 [-1.58, -179.18] [-1.38, -178.18] [-1.18, -177.18]
1.167073e+09 [-1.61, -73.27] [-1.41, -72.27] [-1.21, -71.27]
1.211642e+09 [-1.64, 22.89] [-1.44, 23.89] [-1.24, 24.89]
1.257913e+09 [-1.66, 109.08] [-1.46, 110.08] [-1.26, 111.08]
1.305952e+09 [-1.69, -175.24] [-1.49, -174.24] [-1.29, -173.24]
1.355825e+09 [-1.73, -110.42] [-1.53, -109.42] [-1.33, -108.42]
1.407602e+09 [-1.75, -56.87] [-1.55, -55.87] [-1.35, -54.87]
1.461357e+09 [-1.79, -15.03] [-1.59, -14.03] [-1.39, -13.03]
1.517164e+09 [-1.82, 14.72] [-1.62, 15.72] [-1.42, 16.72]
1.575103e+09 [-1.85, 31.74] [-1.65, 32.74] [-1.45, 33.74]
1.635254e+09 [-1.89, 35.85] [-1.69, 36.85] [-1.49, 37.85]
1.697703e+09 [-1.93, 26.20] [-1.73, 27.20] [-1.53, 28.20]
1.762536e+09 [-1.97, 2.70] [-1.77, 3.70] [-1.57, 4.70]
1.829845e+09 [-2.01, -35.86] [-1.81, -34.86] [-1.61, -33.86]
1.899725e+09 [-2.04, -89.17] [-1.84, -88.17] [-1.64, -87.17]
1.972273e+09 [-2.08, -158.74] [-1.88, -157.74] [-1.68, -156.74]
2.047592e+09 [-2.12, 115.71] [-1.92, 116.71] [-1.72, 117.71]
2.125787e+09 [-2.18, 12.89] [-1.98, 13.89] [-1.78, 14.89]
2.206969e+09 [-2.20, -107.50] [-2.00, -106.50] [-1.80, -105.50]
2.291250e+09 [-2.24, 113.90] [-2.04, 114.90] [-1.84, 115.90]
2.378751e+09 [-2.28, -44.02] [-2.08, -43.02] [-1.88, -42.02]
2.469592e+09 [-2.33, 138.50] [-2.13, 139.50] [-1.93, 140.50]
2.563903e+09 [-2.38, -59.58] [-2.18, -58.58] [-1.98, -57.58]
2.661816e+09 [-2.44, 81.01] [-2.24, 82.01] [-2.04, 83.01]
2.763468e+09 [-2.46, -160.50] [-2.26, -159.50] [-2.06, -158.50]
2.869001e+09 [-2.55, -65.24] [-2.35, -64.24] [-2.15, -63.24]
2.978565e+09 [-2.58, 6.32] [-2.38, 7.32] [-2.18, 8.32]
3.092313e+09 [-2.63, 53.35] [-2.43, 54.35] [-2.23, 55.35]
3.210405e+09 [-2.67, 74.61] [-2.47, 75.61] [-2.27, 76.61]
3.333007e+09 [-2.74, 69.28] [-2.54, 70.28] [-2.34, 71.28]
3.460290e+09 [-2.78, 36.16] [-2.58, 37.16] [-2.38, 38.16]
3.592435e+09 [-2.82, -25.72] [-2.62, -24.72] [-2.42, -23.72]
3.729626e+09 [-2.85, -117.30] [-2.65, -116.30] [-2.45, -115.30]
3.872056e+09 [-2.93, 119.70] [-2.73, 120.70] [-2.53, 121.70]
4.019925e+09 [-3.04, -35.58] [-2.84, -34.58] [-2.64, -33.58]
4.173442e+09 [-3.16, 136.52] [-2.96, 137.52] [-2.76, 138.52]
4.332821e+09 [-3.19, -86.39] [-2.99, -85.39] [-2.79, -84.39]
4.498286e+09 [-3.34, 14.44] [-3.14, 15.44] [-2.94, 16.44]
4.670071e+09 [-3.30, 78.77] [-3.10, 79.77] [-2.90, 80.77]
4.848415e+09 [-3.41, 102.75] [-3.21, 103.75] [-3.01, 104.75]
5.033571e+09 [-3.50, 87.11] [-3.30, 88.11] [-3.10, 89.11]
5.225797e+09 [-3.51, 30.24] [-3.31, 31.24] [-3.11, 32.24]
5.425364e+09 [-3.66, -71.08] [-3.46, -70.08] [-3.26, -69.08]
5.632553e+09 [-3.75, 142.92] [-3.55, 143.92] [-3.35, 144.92]
5.847653e+09 [-3.81, -49.99] [-3.61, -48.99] [-3.41, -47.99]
6.070969e+09 [-3.89, 68.77] [-3.69, 69.77] [-3.49, 70.77]
6.302812e+09 [-4.05, 136.84] [-3.85, 137.84] [-3.65, 138.84]
6.543509e+09 [-4.15, 152.55] [-3.95, 153.55] [-3.75, 154.55]
6.793398e+09 [-4.28, 113.71] [-4.08, 114.71] [-3.88, 115.71]
7.052830e+09 [-4.45, 18.53] [-4.25, 19.53] [-4.05, 20.53]
7.322170e+09 [-4.73, -134.47] [-4.53, -133.47] [-4.33, -132.47]
7.601795e+09 [-4.81, 12.51] [-4.61, 13.51] [-4.41, 14.51]
7.892099e+09 [-4.70, 96.56] [-4.50, 97.56] [-4.30, 98.56]
8.193489e+09 [-4.48, 112.10] [-4.28, 113.10] [-4.08, 114.10]
8.506389e+09 [-4.62, 59.18] [-4.42, 60.18] [-4.22, 61.18]
8.831239e+09 [-4.57, -63.29] [-4.37, -62.29] [-4.17, -61.29]
9.168493e+09 [-4.67, 99.32] [-4.47, 100.32] [-4.27, 101.32]
9.518628e+09 [-4.78, -173.31] [-4.58, -172.31] [-4.38, -171.31]
9.882133e+09 [-5.13, -165.65] [-4.93, -164.65] [-4.73, -163.65]
1.025952e+10 [-5.14, 119.80] [-4.94, 120.80] [-4.74, 121.80]
1.065132e+10 [-5.36, -39.06] [-5.16, -38.06] [-4.96, -37.06]
1.105808e+10 [-5.88, 73.26] [-5.68, 74.26] [-5.48, 75.26]
1.148038e+10 [-6.41, 96.28] [-6.21, 97.28] [-6.01, 98.28]
1.191880e+10 [-5.99, 21.29] [-5.79, 22.29] [-5.59, 23.29]
1.237396e+10 [-6.24, -157.85] [-6.04, -156.85] [-5.84, -155.85]
1.284651e+10 [-6.41, -70.96] [-6.21, -69.96] [-6.01, -68.96]
1.333711e+10 [-6.84, -98.33] [-6.64, -97.33] [-6.44, -96.33]
1.384643e+10 [-6.57, 124.54] [-6.37, 125.54] [-6.17, 126.54]
1.437521e+10 [-6.91, -127.68] [-6.71, -126.68] [-6.51, -125.68]
1.492419e+10 [-7.10, -138.95] [-6.90, -137.95] [-6.70, -136.95]
1.549412e+10 [-7.34, 82.47] [-7.14, 83.47] [-6.94, 84.47]
1.608583e+10 [-7.90, 172.49] [-7.70, 173.49] [-7.50, 174.49]
1.670013e+10 [-8.86, 124.61] [-8.66, 125.61] [-8.46, 126.61]
1.733789e+10 [-10.52, -66.16] [-10.32, -65.16] [-10.12, -64.16]
1.800000e+10 [-11.46, -22.93] [-11.26, -21.93] [-11.06, -20.93]
