FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.81, 151.18] [-0.61, 152.18] [-0.41, 153.18]
1.791760e+08 [-0.83, 102.04] [-0.63, 103.04] [-0.43, 104.04]
1.860186e+08 [-0.85, 51.15] [-0.65, 52.15] [-0.45, 53.15]
1.931224e+08 [-0.86, -1.84] [-0.66, -0.84] [-0.46, 0.16]
2.004975e+08 [-0.88, -56.79] [-0.68, -55.79] [-0.48, -54.79]
2.081543e+08 [-0.89, -113.73] [-0.69, -112.73] [-0.49, -111.73]
2.161035e+08 [-0.90, -172.97] [-0.70, -171.97] [-0.50, -170.97]
2.243562e+08 [-0.91, 125.63] [-0.71, 126.63] [-0.51, 127.63]
2.329241e+08 [-0.93, 61.80] [-0.73, 62.80] [-0.53, 63.80]
2.418192e+08 [-0.94, -4.47] [-0.74, -3.47] [-0.54, -2.47]
2.510540e+08 [-0.97, -73.19] [-0.77, -72.19] [-0.57, -71.19]
2.606415e+08 [-0.98, -144.65] [-0.78, -143.65] [-0.58, -142.65]
2.705951e+08 [-1.00, 141.24] [-0.80, 142.24] [-0.60, 143.24]
2.809288e+08 [-1.02, 64.31] [-0.82, 65.31] [-0.62, 66.31]
2.916571e+08 [-1.04, -15.58] [-0.84, -14.58] [-0.64, -13.58]
3.027952e+08 [-1.06, -98.52] [-0.86, -97.52] [-0.66, -96.52]
3.143586e+08 [-1.07, 175.43] [-0.87, 176.43] [-0.67, 177.43]
3.263636e+08 [-1.08, 86.00] [-0.88, 87.00] [-0.68, 88.00]
3.388271e+08 [-1.09, -6.78] [-0.89, -5.78] [-0.69, -4.78]
3.517665e+08 [-1.13, -103.15] [-0.93, -102.15] [-0.73, -101.15]
3.652000e+08 [-1.14, 156.88] [-0.94, 157.88] [-0.74, 158.88]
3.791466e+08 [-1.16, 53.00] [-0.96, 54.00] [-0.76, 55.00]
3.936258e+08 [-1.18, -54.76] [-0.98, -53.76] [-0.78, -52.76]
4.086579e+08 [-1.20, -166.70] [-1.00, -165.70] [-0.80, -164.70]
4.242641e+08 [-1.23, 77.10] [-1.03, 78.10] [-0.83, 79.10]
4.404662e+08 [-1.25, -43.41] [-1.05, -42.41] [-0.85, -41.41]
4.572871e+08 [-1.26, -168.64] [-1.06, -167.64] [-0.86, -166.64]
4.747504e+08 [-1.29, 61.33] [-1.09, 62.33] [-0.89, 63.33]
4.928806e+08 [-1.31, -73.59] [-1.11, -72.59] [-0.91, -71.59]
5.117031e+08 [-1.33, 146.28] [-1.13, 147.28] [-0.93, 148.28]
5.312445e+08 [-1.35, 0.83] [-1.15, 1.83] [-0.95, 2.83]
5.515321e+08 [-1.38, -150.17] [-1.18, -149.17] [-0.98, -148.17]
5.725945e+08 [-1.40, 53.09] [-1.20, 54.09] [-1.00, 55.09]
5.944612e+08 [-1.43, -109.71] [-1.23, -108.71] [-1.03, -107.71]
6.171630e+08 [-1.44, 81.40] [-1.24, 82.40] [-1.04, 83.40]
6.407317e+08 [-1.47, -94.07] [-1.27, -93.07] [-1.07, -92.07]
6.652006e+08 [-1.50, 83.86] [-1.30, 84.86] [-1.10, 85.86]
6.906038e+08 [-1.52, -105.20] [-1.32, -104.20] [-1.12, -103.20]
7.169772e+08 [-1.55, 58.51] [-1.35, 59.51] [-1.15, 60.51]
