FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.72, -62.72] [-0.52, -61.72] [-0.32, -60.72]
1.791760e+08 [-0.74, -106.25] [-0.54, -105.25] [-0.34, -104.25]
1.860186e+08 [-0.75, -151.37] [-0.55, -150.37] [-0.35, -149.37]
1.931224e+08 [-0.76, 161.73] [-0.56, 162.73] [-0.36, 163.73]
2.004975e+08 [-0.77, 113.00] [-0.57, 114.00] [-0.37, 115.00]
2.081543e+08 [-0.79, 62.46] [-0.59, 63.46] [-0.39, 64.46]
2.161035e+08 [-0.79, 9.96] [-0.59, 10.96] [-0.39, 11.96]
2.243562e+08 [-0.80, -44.47] [-0.60, -43.47] [-0.40, -42.47]
2.329241e+08 [-0.82, -101.10] [-0.62, -100.10] [-0.42, -99.10]
2.418192e+08 [-0.82, -159.83] [-0.62, -158.83] [-0.42, -157.83]
2.510540e+08 [-0.85, 139.20] [-0.65, 140.20] [-0.45, 141.20]
2.606415e+08 [-0.86, 75.88] [-0.66, 76.88] [-0.46, 77.88]
2.705951e+08 [-0.87, 10.15] [-0.67, 11.15] [-0.47, 12.15]
2.809288e+08 [-0.90, -58.07] [-0.70, -57.07] [-0.50, -56.07]
2.916571e+08 [-0.91, -128.88] [-0.71, -127.88] [-0.51, -126.88]
3.027952e+08 [-0.93, 157.63] [-0.73, 158.63] [-0.53, 159.63]
3.143586e+08 [-0.94, 81.31] [-0.74, 82.31] [-0.54, 83.31]
3.263636e+08 [-0.95, 2.01] [-0.75, 3.01] [-0.55, 4.01]
3.388271e+08 [-0.96, -80.27] [-0.76, -79.27] [-0.56, -78.27]
3.517665e+08 [-0.99, -165.65] [-0.79, -164.65] [-0.59, -163.65]
3.652000e+08 [-1.00, 105.69] [-0.80, 106.69] [-0.60, 107.69]
3.791466e+08 [-1.02, 13.62] [-0.82, 14.62] [-0.62, 15.62]
3.936258e+08 [-1.03, -81.95] [-0.83, -80.95] [-0.63, -79.95]
4.086579e+08 [-1.05, 178.76] [-0.85, 179.76] [-0.65, 180.76]
4.242641e+08 [-1.08, 75.73] [-0.88, 76.73] [-0.68, 77.73]
4.404662e+08 [-1.10, -31.00] [-0.90, -30.00] [-0.70, -29.00]
4.572871e+08 [-1.10, -142.08] [-0.90, -141.08] [-0.70, -140.08]
4.747504e+08 [-1.13, 102.64] [-0.93, 103.64] [-0.73, 104.64]
4.928806e+08 [-1.14, -16.98] [-0.94, -15.98] [-0.74, -14.98]
5.117031e+08 [-1.17, -141.27] [-0.97, -140.27] [-0.77, -139.27]
5.312445e+08 [-1.18, 89.84] [-0.98, 90.84] [-0.78, 91.84]
5.515321e+08 [-1.20, -44.05] [-1.00, -43.05] [-0.80, -42.05]
5.725945e+08 [-1.22, 176.98] [-1.02, 177.98] [-0.82, 178.98]
5.944612e+08 [-1.25, 32.65] [-1.05, 33.65] [-0.85, 34.65]
6.171630e+08 [-1.26, -117.08] [-1.06, -116.08] [-0.86, -115.08]
6.407317e+08 [-1.29, 87.31] [-1.09, 88.31] [-0.89, 89.31]
6.652006e+08 [-1.31, -74.09] [-1.11, -73.09] [-0.91, -72.09]
6.906038e+08 [-1.33, 118.35] [-1.13, 119.35] [-0.93, 120.35]
7.169772e+08 [-1.36, -55.77] [-1.16, -54.77] [-0.96, -53.77]
7.443577e+08 [-1.38, 123.70] [-1.18, 124.70] [-0.98, 125.70]
7.727839e+08 [-1.41, -63.86] [-1.21, -62.86] [-1.01, -61.86]
8.022956e+08 [-1.42, 101.39] [-1.22, 102.39] [-1.02, 103.39]
8.329344e+08 [-1.44, -100.81] [-1.24, -99.81] [-1.04, -98.81]
8.647432e+08 [-1.47, 49.39] [-1.27, 50.39] [-1.07, 51.39]
8.977667e+08 [-1.52, -168.55] [-1.32, -167.55] [-1.12, -166.55]
9.320514e+08 [-1.52, -34.70] [-1.32, -33.70] [-1.12, -32.70]
9.676454e+08 [-1.54, 90.40] [-1.34, 91.40] [-1.14, 92.40]
1.004599e+09 [-1.58, -153.30] [-1.38, -152.30] [-1.18, -151.30]
1.042963e+09 [-1.60, -46.40] [-1.40, -45.40] [-1.20, -44.40]
1.082793e+09 [-1.62, 50.85] [-1.42, 51.85] [-1.22, 52.85]
1.124143e+09 [-1.66, 138.04] [-1.46, 139.04] [-1.26, 140.04]
1.167073e+09 [-1.68, -145.18] [-1.48, -144.18] [-1.28, -143.18]
1.211642e+09 [-1.71, -79.17] [-1.51, -78.17] [-1.31, -77.17]
1.257913e+09 [-1.74, -24.46] [-1.54, -23.46] [-1.34, -22.46]
1.305952e+09 [-1.78, 18.57] [-1.58, 19.57] [-1.38, 20.57]
1.355825e+09 [-1.80, 49.54] [-1.60, 50.54] [-1.40, 51.54]
1.407602e+09 [-1.83, 67.97] [-1.63, 68.97] [-1.43, 69.97]
1.461357e+09 [-1.87, 73.38] [-1.67, 74.38] [-1.47, 75.38]
1.517164e+09 [-1.90, 65.33] [-1.70, 66.33] [-1.50, 67.33]
1.575103e+09 [-1.93, 43.13] [-1.73, 44.13] [-1.53, 45.13]
1.635254e+09 [-1.96, 6.26] [-1.76, 7.26] [-1.56, 8.26]
1.697703e+09 [-2.00, -45.72] [-1.80, -44.72] [-1.60, -43.72]
1.762536e+09 [-2.04, -113.43] [-1.84, -112.43] [-1.64, -111.43]
1.829845e+09 [-2.10, 162.61] [-1.90, 163.61] [-1.70, 164.61]
1.899725e+09 [-2.11, 61.70] [-1.91, 62.70] [-1.71, 63.70]
1.972273e+09 [-2.18, -56.78] [-1.98, -55.78] [-1.78, -54.78]
2.047592e+09 [-2.19, 166.36] [-1.99, 167.36] [-1.79, 168.36]
2.125787e+09 [-2.23, 10.49] [-2.03, 11.49] [-1.83, 12.49]
2.206969e+09 [-2.30, -165.11] [-2.10, -164.11] [-1.90, -163.11]
2.291250e+09 [-2.34, -0.89] [-2.14, 0.11] [-1.94, 1.11]
2.378751e+09 [-2.38, 141.97] [-2.18, 142.97] [-1.98, 143.97]
2.469592e+09 [-2.44, -97.07] [-2.24, -96.07] [-2.04, -95.07]
2.563903e+09 [-2.46, 0.70] [-2.26, 1.70] [-2.06, 2.70]
2.661816e+09 [-2.54, 74.82] [-2.34, 75.82] [-2.14, 76.82]
2.763468e+09 [-2.58, 124.39] [-2.38, 125.39] [-2.18, 126.39]
