FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.64, 56.80] [-0.44, 57.80] [-0.24, 58.80]
1.791760e+08 [-0.67, 17.81] [-0.47, 18.81] [-0.27, 19.81]
1.860186e+08 [-0.67, -22.67] [-0.47, -21.67] [-0.27, -20.67]
1.931224e+08 [-0.72, -64.55] [-0.52, -63.55] [-0.32, -62.55]
2.004975e+08 [-0.71, -108.26] [-0.51, -107.26] [-0.31, -106.26]
2.081543e+08 [-0.71, -153.52] [-0.51, -152.52] [-0.31, -151.52]
2.161035e+08 [-0.73, 159.45] [-0.53, 160.45] [-0.33, 161.45]
2.243562e+08 [-0.73, 110.70] [-0.53, 111.70] [-0.33, 112.70]
2.329241e+08 [-0.77, 60.03] [-0.57, 61.03] [-0.37, 62.03]
2.418192e+08 [-0.77, 7.48] [-0.57, 8.48] [-0.37, 9.48]
2.510540e+08 [-0.78, -47.07] [-0.58, -46.07] [-0.38, -45.07]
2.606415e+08 [-0.79, -103.94] [-0.59, -102.94] [-0.39, -101.94]
2.705951e+08 [-0.79, -162.59] [-0.59, -161.59] [-0.39, -160.59]
2.809288e+08 [-0.84, 136.21] [-0.64, 137.21] [-0.44, 138.21]
2.916571e+08 [-0.83, 72.82] [-0.63, 73.82] [-0.43, 74.82]
3.027952e+08 [-0.83, 6.96] [-0.63, 7.96] [-0.43, 8.96]
3.143586e+08 [-0.84, -61.42] [-0.64, -60.42] [-0.44, -59.42]
3.263636e+08 [-0.87, -132.42] [-0.67, -131.42] [-0.47, -130.42]
3.388271e+08 [-0.86, 153.90] [-0.66, 154.90] [-0.46, 155.90]
3.517665e+08 [-0.88, 77.48] [-0.68, 78.48] [-0.48, 79.48]
3.652000e+08 [-0.91, -1.93] [-0.71, -0.93] [-0.51, 0.07]
3.791466e+08 [-0.90, -84.27] [-0.70, -83.27] [-0.50, -82.27]
3.936258e+08 [-0.93, -169.99] [-0.73, -168.99] [-0.53, -167.99]
4.086579e+08 [-0.93, 101.18] [-0.73, 102.18] [-0.53, 103.18]
4.242641e+08 [-0.96, 8.96] [-0.76, 9.96] [-0.56, 10.96]
4.404662e+08 [-0.96, -86.83] [-0.76, -85.83] [-0.56, -84.83]
4.572871e+08 [-0.99, 173.80] [-0.79, 174.80] [-0.59, 175.80]
4.747504e+08 [-1.00, 70.55] [-0.80, 71.55] [-0.60, 72.55]
4.928806e+08 [-1.00, -36.66] [-0.80, -35.66] [-0.60, -34.66]
5.117031e+08 [-1.04, -147.82] [-0.84, -146.82] [-0.64, -145.82]
5.312445e+08 [-1.04, 96.78] [-0.84, 97.78] [-0.64, 98.78]
5.515321e+08 [-1.06, -23.24] [-0.86, -22.24] [-0.66, -21.24]
5.725945e+08 [-1.08, -147.68] [-0.88, -146.68] [-0.68, -145.68]
5.944612e+08 [-1.10, 83.12] [-0.90, 84.12] [-0.70, 85.12]
6.171630e+08 [-1.12, -50.99] [-0.92, -49.99] [-0.72, -48.99]
6.407317e+08 [-1.13, 169.71] [-0.93, 170.71] [-0.73, 171.71]
6.652006e+08 [-1.17, 25.10] [-0.97, 26.10] [-0.77, 27.10]
6.906038e+08 [-1.16, -125.00] [-0.96, -124.00] [-0.76, -123.00]
