FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.75, 68.53] [-0.55, 69.53] [-0.35, 70.53]
1.791760e+08 [-0.76, 30.10] [-0.56, 31.10] [-0.36, 32.10]
1.860186e+08 [-0.78, -9.93] [-0.58, -8.93] [-0.38, -7.93]
1.931224e+08 [-0.79, -51.48] [-0.59, -50.48] [-0.39, -49.48]
2.004975e+08 [-0.81, -94.54] [-0.61, -93.54] [-0.41, -92.54]
2.081543e+08 [-0.81, -139.31] [-0.61, -138.31] [-0.41, -137.31]
2.161035e+08 [-0.83, 174.30] [-0.63, 175.30] [-0.43, 176.30]
2.243562e+08 [-0.83, 126.03] [-0.63, 127.03] [-0.43, 128.03]
2.329241e+08 [-0.85, 75.95] [-0.65, 76.95] [-0.45, 77.95]
2.418192e+08 [-0.86, 23.94] [-0.66, 24.94] [-0.46, 25.94]
2.510540e+08 [-0.87, -29.98] [-0.67, -28.98] [-0.47, -27.98]
2.606415e+08 [-0.89, -85.98] [-0.69, -84.98] [-0.49, -83.98]
2.705951e+08 [-0.91, -144.17] [-0.71, -143.17] [-0.51, -142.17]
2.809288e+08 [-0.92, 155.51] [-0.72, 156.51] [-0.52, 157.51]
2.916571e+08 [-0.93, 92.86] [-0.73, 93.86] [-0.53, 94.86]
3.027952e+08 [-0.94, 27.76] [-0.74, 28.76] [-0.54, 29.76]
3.143586e+08 [-0.96, -39.77] [-0.76, -38.77] [-0.56, -37.77]
3.263636e+08 [-0.98, -109.96] [-0.78, -108.96] [-0.58, -107.96]
3.388271e+08 [-1.00, 177.30] [-0.80, 178.30] [-0.60, 179.30]
3.517665e+08 [-1.01, 101.74] [-0.81, 102.74] [-0.61, 103.74]
3.652000e+08 [-1.02, 23.25] [-0.82, 24.25] [-0.62, 25.25]
3.791466e+08 [-1.04, -58.20] [-0.84, -57.20] [-0.64, -56.20]
3.936258e+08 [-1.07, -142.82] [-0.87, -141.82] [-0.67, -140.82]
4.086579e+08 [-1.09, 129.51] [-0.89, 130.51] [-0.69, 131.51]
4.242641e+08 [-1.09, 38.35] [-0.89, 39.35] [-0.69, 40.35]
4.404662e+08 [-1.11, -56.26] [-0.91, -55.26] [-0.71, -54.26]
4.572871e+08 [-1.12, -154.50] [-0.92, -153.50] [-0.72, -152.50]
4.747504e+08 [-1.14, 103.48] [-0.94, 104.48] [-0.74, 105.48]
4.928806e+08 [-1.17, -2.40] [-0.97, -1.40] [-0.77, -0.40]
5.117031e+08 [-1.18, -112.31] [-0.98, -111.31] [-0.78, -110.31]
5.312445e+08 [-1.21, 133.56] [-1.01, 134.56] [-0.81, 135.56]
5.515321e+08 [-1.24, 15.21] [-1.04, 16.21] [-0.84, 17.21]
5.725945e+08 [-1.24, -107.71] [-1.04, -106.71] [-0.84, -105.71]
5.944612e+08 [-1.26, 124.54] [-1.06, 125.54] [-0.86, 126.54]
6.171630e+08 [-1.29, -8.07] [-1.09, -7.07] [-0.89, -6.07]
6.407317e+08 [-1.31, -145.65] [-1.11, -144.65] [-0.91, -143.65]
6.652006e+08 [-1.33, 71.48] [-1.13, 72.48] [-0.93, 73.48]
6.906038e+08 [-1.35, -76.80] [-1.15, -75.80] [-0.95, -74.80]
7.169772e+08 [-1.37, 129.26] [-1.17, 130.26] [-0.97, 131.26]
7.443577e+08 [-1.39, -30.65] [-1.19, -29.65] [-0.99, -28.65]
7.727839e+08 [-1.43, 163.36] [-1.23, 164.36] [-1.03, 165.36]
8.022956e+08 [-1.43, -8.83] [-1.23, -7.83] [-1.03, -6.83]
8.329344e+08 [-1.47, 172.25] [-1.27, 173.25] [-1.07, 174.25]
8.647432e+08 [-1.49, -13.44] [-1.29, -12.44] [-1.09, -11.44]
8.977667e+08 [-1.52, 153.79] [-1.32, 154.79] [-1.12, 155.79]
9.320514e+08 [-1.55, -46.38] [-1.35, -45.38] [-1.15, -44.38]
9.676454e+08 [-1.56, 105.75] [-1.36, 106.75] [-1.16, 107.75]
1.004599e+09 [-1.62, -109.74] [-1.42, -108.74] [-1.22, -107.74]
1.042963e+09 [-1.63, 26.21] [-1.43, 27.21] [-1.23, 28.21]
1.082793e+09 [-1.65, 153.72] [-1.45, 154.72] [-1.25, 155.72]
1.124143e+09 [-1.68, -87.68] [-1.48, -86.68] [-1.28, -85.68]
1.167073e+09 [-1.71, 21.87] [-1.51, 22.87] [-1.31, 23.87]
1.211642e+09 [-1.77, 121.56] [-1.57, 122.56] [-1.37, 123.56]
1.257913e+09 [-1.76, -148.47] [-1.56, -147.47] [-1.36, -146.47]
1.305952e+09 [-1.81, -68.96] [-1.61, -67.96] [-1.41, -66.96]
1.355825e+09 [-1.87, -0.13] [-1.67, 0.87] [-1.47, 1.87]
1.407602e+09 [-1.84, 57.88] [-1.64, 58.88] [-1.44, 59.88]
1.461357e+09 [-1.92, 103.95] [-1.72, 104.95] [-1.52, 105.95]
1.517164e+09 [-1.95, 138.41] [-1.75, 139.41] [-1.55, 140.41]
1.575103e+09 [-1.96, 159.96] [-1.76, 160.96] [-1.56, 161.96]
1.635254e+09 [-2.01, 168.94] [-1.81, 169.94] [-1.61, 170.94]
1.697703e+09 [-2.06, 164.67] [-1.86, 165.67] [-1.66, 166.67]
1.762536e+09 [-2.07, 146.24] [-1.87, 147.24] [-1.67, 148.24]
1.829845e+09 [-2.15, 113.68] [-1.95, 114.68] [-1.75, 115.68]
1.899725e+09 [-2.15, 65.64] [-1.95, 66.64] [-1.75, 67.64]
1.972273e+09 [-2.24, 2.35] [-2.04, 3.35] [-1.84, 4.35]
2.047592e+09 [-2.24, -77.44] [-2.04, -76.44] [-1.84, -75.44]
2.125787e+09 [-2.33, -173.76] [-2.13, -172.76] [-1.93, -171.76]
2.206969e+09 [-2.31, 72.63] [-2.11, 73.63] [-1.91, 74.63]
2.291250e+09 [-2.43, -59.20] [-2.23, -58.20] [-2.03, -57.20]
2.378751e+09 [-2.41, 149.97] [-2.21, 150.97] [-2.01, 151.97]
2.469592e+09 [-2.48, -19.98] [-2.28, -18.98] [-2.08, -17.98]
2.563903e+09 [-2.53, 149.53] [-2.33, 150.53] [-2.13, 151.53]
2.661816e+09 [-2.58, -61.60] [-2.38, -60.60] [-2.18, -59.60]
2.763468e+09 [-2.66, 64.90] [-2.46, 65.90] [-2.26, 66.90]
2.869001e+09 [-2.67, 169.06] [-2.47, 170.06] [-2.27, 171.06]
2.978565e+09 [-2.73, -110.27] [-2.53, -109.27] [-2.33, -108.27]
3.092313e+09 [-2.84, -54.01] [-2.64, -53.01] [-2.44, -52.01]
3.210405e+09 [-2.88, -23.26] [-2.68, -22.26] [-2.48, -21.26]
3.333007e+09 [-2.88, -18.33] [-2.68, -17.33] [-2.48, -16.33]
3.460290e+09 [-2.97, -41.06] [-2.77, -40.06] [-2.57, -39.06]
