FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.75, -89.41] [-0.55, -88.41] [-0.35, -87.41]
1.791760e+08 [-0.78, -133.97] [-0.58, -132.97] [-0.38, -131.97]
1.860186e+08 [-0.78, -180.21] [-0.58, -179.21] [-0.38, -178.21]
1.931224e+08 [-0.83, 131.90] [-0.63, 132.90] [-0.43, 133.90]
2.004975e+08 [-0.82, 81.95] [-0.62, 82.95] [-0.42, 83.95]
2.081543e+08 [-0.82, 30.18] [-0.62, 31.18] [-0.42, 32.18]
2.161035e+08 [-0.85, -23.53] [-0.65, -22.53] [-0.45, -21.53]
2.243562e+08 [-0.84, -79.27] [-0.64, -78.27] [-0.44, -77.27]
2.329241e+08 [-0.90, -137.19] [-0.70, -136.19] [-0.50, -135.19]
2.418192e+08 [-0.90, 162.73] [-0.70, 163.73] [-0.50, 164.73]
2.510540e+08 [-0.91, 100.39] [-0.71, 101.39] [-0.51, 102.39]
2.606415e+08 [-0.92, 35.47] [-0.72, 36.47] [-0.52, 37.47]
2.705951e+08 [-0.92, -31.64] [-0.72, -30.64] [-0.52, -29.64]
2.809288e+08 [-0.97, -101.59] [-0.77, -100.59] [-0.57, -99.59]
2.916571e+08 [-0.96, -174.04] [-0.76, -173.04] [-0.56, -172.04]
3.027952e+08 [-0.97, 110.66] [-0.77, 111.66] [-0.57, 112.66]
3.143586e+08 [-0.99, 32.55] [-0.79, 33.55] [-0.59, 34.55]
3.263636e+08 [-1.01, -48.57] [-0.81, -47.57] [-0.61, -46.57]
3.388271e+08 [-1.00, -132.79] [-0.80, -131.79] [-0.60, -130.79]
3.517665e+08 [-1.03, 139.79] [-0.83, 140.79] [-0.63, 141.79]
3.652000e+08 [-1.06, 49.02] [-0.86, 50.02] [-0.66, 51.02]
3.791466e+08 [-1.06, -45.07] [-0.86, -44.07] [-0.66, -43.07]
3.936258e+08 [-1.08, -143.00] [-0.88, -142.00] [-0.68, -141.00]
4.086579e+08 [-1.09, 115.45] [-0.89, 116.45] [-0.69, 117.45]
4.242641e+08 [-1.12, 10.02] [-0.92, 11.02] [-0.72, 12.02]
4.404662e+08 [-1.13, -99.42] [-0.93, -98.42] [-0.73, -97.42]
4.572871e+08 [-1.15, 147.03] [-0.95, 148.03] [-0.75, 149.03]
4.747504e+08 [-1.17, 29.00] [-0.97, 30.00] [-0.77, 31.00]
4.928806e+08 [-1.18, -93.52] [-0.98, -92.52] [-0.78, -91.52]
5.117031e+08 [-1.21, 139.48] [-1.01, 140.48] [-0.81, 141.48]
5.312445e+08 [-1.23, 7.50] [-1.03, 8.50] [-0.83, 9.50]
5.515321e+08 [-1.25, -129.62] [-1.05, -128.62] [-0.85, -127.62]
5.725945e+08 [-1.26, 88.22] [-1.06, 89.22] [-0.86, 90.22]
5.944612e+08 [-1.29, -59.49] [-1.09, -58.49] [-0.89, -57.49]
6.171630e+08 [-1.32, 147.25] [-1.12, 148.25] [-0.92, 149.25]
6.407317e+08 [-1.32, -11.95] [-1.12, -10.95] [-0.92, -9.95]
6.652006e+08 [-1.36, -177.26] [-1.16, -176.26] [-0.96, -175.26]
6.906038e+08 [-1.37, 11.13] [-1.17, 12.13] [-0.97, 13.13]
7.169772e+08 [-1.39, -166.97] [-1.19, -165.97] [-0.99, -164.97]
7.443577e+08 [-1.42, 8.17] [-1.22, 9.17] [-1.02, 10.17]
7.727839e+08 [-1.43, 176.15] [-1.23, 177.15] [-1.03, 178.15]
8.022956e+08 [-1.46, -23.08] [-1.26, -22.08] [-1.06, -21.08]
8.329344e+08 [-1.48, 130.13] [-1.28, 131.13] [-1.08, 132.13]
8.647432e+08 [-1.51, -84.77] [-1.31, -83.77] [-1.11, -82.77]
8.977667e+08 [-1.53, 52.21] [-1.33, 53.21] [-1.13, 54.21]
9.320514e+08 [-1.58, -179.35] [-1.38, -178.35] [-1.18, -177.35]
9.676454e+08 [-1.58, -59.69] [-1.38, -58.69] [-1.18, -57.69]
1.004599e+09 [-1.61, 50.95] [-1.41, 51.95] [-1.21, 52.95]
1.042963e+09 [-1.64, 151.83] [-1.44, 152.83] [-1.24, 153.83]
1.082793e+09 [-1.66, -117.14] [-1.46, -116.14] [-1.26, -115.14]
1.124143e+09 [-1.69, -36.36] [-1.49, -35.36] [-1.29, -34.36]
1.167073e+09 [-1.71, 33.71] [-1.51, 34.71] [-1.31, 35.71]
1.211642e+09 [-1.74, 92.80] [-1.54, 93.80] [-1.34, 94.80]
1.257913e+09 [-1.77, 140.31] [-1.57, 141.31] [-1.37, 142.31]
1.305952e+09 [-1.81, 175.94] [-1.61, 176.94] [-1.41, 177.94]
1.355825e+09 [-1.84, -160.82] [-1.64, -159.82] [-1.44, -158.82]
1.407602e+09 [-1.86, -150.36] [-1.66, -149.36] [-1.46, -148.36]
1.461357e+09 [-1.89, -153.31] [-1.69, -152.31] [-1.49, -151.31]
1.517164e+09 [-1.92, -170.17] [-1.72, -169.17] [-1.52, -168.17]
1.575103e+09 [-1.95, 158.59] [-1.75, 159.59] [-1.55, 160.59]
1.635254e+09 [-1.99, 112.46] [-1.79, 113.46] [-1.59, 114.46]
1.697703e+09 [-2.02, 50.80] [-1.82, 51.80] [-1.62, 52.80]
