FUNIT: Hz
UNIT: dB
1000000000.0 0.18371884253
1014630474.01 0.18371884253
1029474998.8 0.171982785728
1044536706.02 0.163801563768
1059818773.15 0.156822885642
1075324424.17 0.134276277413
1091056930.22 0.10533893086
1107019610.28 0.0278210962629
1123215831.92 -0.0706838845575
1139649011.97 0.0141161027719
1156322617.22 0.0934904751934
1173240165.22 0.157069202598
1190405224.97 0.173283350978
1207821417.68 0.181994597975
1225492417.55 0.186248887333
1243421952.52 0.179401657075
1261613805.08 0.173941836537
1280071813.08 0.160579849562
1298799870.47 0.175801776636
1317801928.23 0.172457105266
1337081995.09 0.171324012213
1356644138.48 0.180408495654
1376492485.29 0.177758658998
1396631222.83 0.171519670363
1417064599.64 0.152410642053
1437796926.45 0.203253298741
1458832577.02 0.2073406662
1480175989.12 0.193090014844
1501831665.47 0.217485221627
1523804174.63 0.184641792266
1546098152.01 0.2222035464
1568718300.84 0.196171792923
1591669393.18 0.229425168503
1614956270.87 0.186574316822
1638583846.63 0.206935440012
1662557105.02 0.204954511844
1686881103.54 0.210369280675
1711560973.69 0.242212162233
1736601922.04 0.227973549188
1762009231.33 0.22645460129
1787788261.61 0.221468410122
1813944451.31 0.231983814535
1840483318.47 0.216010832629
1867410461.83 0.218649937627
1894731562.07 0.211308205198
1922452382.95 0.217675152657
1950578772.58 0.230905120478
1979116664.63 0.197330892638
2008072079.56 -0.0487732450364
2037451125.94 0.0147539892867
2067260001.7 0.0689465528676
2097504995.43 0.10211924591
2128192487.76 0.115312498231
2159328952.65 0.133805923828
2190920958.78 0.122618794425
2222975170.94 0.19138389981
2255498351.41 0.139329289605
2288497361.43 0.171224596555
2321979162.61 0.152475997631
2355950818.41 0.145564306421
2390419495.63 0.170703938297
2425392465.95 0.167598439572
2460877107.4 0.159560291967
2496880905.97 0.136150424733
2533411457.18 0.0899683065913
2570476467.67 0.114440771128
2608083756.84 0.0995117077699
2646241258.47 0.170187407435
2684957022.44 0.139163774828
2724239216.38 0.180654772506
2764096127.45 0.140945618342
2804536164.01 0.169009185971
2845567857.48 0.212771163051
2887199864.08 0.194745155228
2929440966.66 0.183069562495
2972300076.6 0.192006055956
3015786235.63 0.189958247532
3059908617.79 0.190925921111
3104676531.31 0.203312740373
3150099420.62 0.149907224948
3196186868.34 0.132950209299
3242948597.26 0.108169999154
3290394472.44 0.181965189798
3338534503.27 0.183479101624
3387378845.56 0.203913048744
3436937803.74 0.230116883684
3487221832.96 0.195048220277
3538241541.37 0.226853498714
3590007692.3 0.259093144846
3642531206.56 0.221067355855
3695823164.72 0.24658719685
3749894809.49 0.140677147224
3804757548.06 0.214341142654
3860422954.5 0.236602965732
3916902772.22 0.255257779362
3974208916.44 0.326456332474
4032353476.72 0.340313069645
4091348719.48 0.308200908996
4151207090.6 0.460551355732
4211941218.07 0.442830415391
4273563914.61 0.428769685275
4336088180.41 0.405931456562
4399527205.86 0.330512657782
4463894374.32 0.482611823049
4529203264.97 0.446095984743
4595467655.64 0.246059632173
4662701525.76 0.170322050769
4730919059.27 0.377846137236
4800134647.63 0.102354056473
4870362892.85 0.408854149706
4941618610.6 0.278832647401
5013916833.27 0.310494021267
5087272813.21 0.227075621157
5161702025.91 0.19705331334
5237220173.27 0.232729867661
5313843186.92 0.161130750113
5391587231.58 0.236965110069
5470468708.47 0.153594246929
5550504258.75 0.314742979383
5631710767.08 0.0782448933668
5714105365.11 0.039067610379
5797705435.17 -0.0502957763092
5882528613.88 -0.115320060893
5968592795.91 -0.236442628048
6055916137.71 -0.595759722812
6144517061.39 -0.632275735343
6234414258.59 -0.683084460804
6325626694.4 -0.710758595835
6418173611.37 -0.771924364363
6512074533.61 -0.589060252181
6607349270.86 -0.42652356164
6704017922.67 -0.362715623285
6802100882.68 -0.332402029952
6901618842.88 -0.186356479138
7002592798.02 -0.177564067681
7105044049.98 -0.197216022884
7208994212.33 0.058947151075
7314465214.82 -0.0493381148252
7421479308.07 -0.331147485476
7530059068.24 0.183890134246
7640227401.76 0.206190145799
7752007550.23 0.109342200819
7865423095.25 -0.0994432103798
7980497963.46 0.191536120791
8097256431.53 -0.342914327747
8215723131.34 0.123364934536
8335923055.12 0.206719097771
8457881560.77 0.0766936800613
8581624377.16 0.167507840564
8707177609.61 0.221685561902
8834567745.36 -0.012946434744
8963821659.19 -0.238563972659
9094966619.04 -0.0499725414298
9228030291.82 -0.390441580937
9363040749.21 -0.512154509785
9500026473.59 -0.193624599563
9639016364.04 -0.397588919242
9780039742.48 0.179579253219
9923126359.79 0.0961801386799
10068306402.1 0.239518887541
10215610497.3 0.165644422957
10365069721.2 -0.216045560495
10516715604.5 -0.0839379041079
10670580138.8 -0.0439350351036
10826695784.3 -0.220566386608
10985095475.6 -0.415687604849
11145812629.5 -0.220918210591
11308881151.5 -0.388985814866
11474335443.4 0.115797222719
11642210409.9 -0.0797161249341
11812541466.8 0.406348042487
11985364547.7 -0.693544720767
12160716112.3 0.348204432968
12338633153.4 0.379891453907
12519153205.1 0.347729490879
12702314350.8 0.631129603642
12888155230.8 0.482919810314
13076715051.0 0.732650920278
13268033590.7 0.36066215023
13462151211.4 0.476343319613
13659108864.9 -0.124424519269
13858948102.2 0.353220650539
14061711082.3 0.427808665889
14267440580.8 0.737845909865
14476179999.5 0.634253375155
14687973374.8 0.273342754978
14902865387.6 0.50506284177
15120901372.4 0.214503670048
15342127327.0 -0.439310495925
15566589922.2 -1.34409442047
15794336511.5 0.252091570367
16025415141.4 1.143136382
16259874561.2 0.722535263662
16497764233.5 1.03235003562
16739134344.4 2.5989686331
16984035814.4 2.1644698329
17232520309.1 2.18126329522
17484640249.6 2.76787289164
17740448824.5 3.01526444359
18000000000.0 3.38477135292
