FUNIT: Hz
UNIT: dB
1.186424e+08 [-0.55, 110.26] [-0.35, 111.26] [-0.15, 112.26]
1.231732e+08 [-0.55, 87.12] [-0.35, 88.12] [-0.15, 89.12]
1.278771e+08 [-0.55, 63.13] [-0.35, 64.13] [-0.15, 65.13]
1.327605e+08 [-0.57, 38.02] [-0.37, 39.02] [-0.17, 40.02]
1.378305e+08 [-0.59, 12.05] [-0.39, 13.05] [-0.19, 14.05]
1.430941e+08 [-0.59, -14.88] [-0.39, -13.88] [-0.19, -12.88]
1.485587e+08 [-0.60, -42.81] [-0.40, -41.81] [-0.20, -40.81]
1.542320e+08 [-0.59, -71.85] [-0.39, -70.85] [-0.19, -69.85]
1.601219e+08 [-0.60, -102.08] [-0.40, -101.08] [-0.20, -100.08]
1.662368e+08 [-0.61, -133.39] [-0.41, -132.39] [-0.21, -131.39]
1.725852e+08 [-0.63, -165.89] [-0.43, -164.89] [-0.23, -163.89]
1.791760e+08 [-0.64, 160.40] [-0.44, 161.40] [-0.24, 162.40]
1.860186e+08 [-0.64, 125.34] [-0.44, 126.34] [-0.24, 127.34]
1.931224e+08 [-0.65, 89.08] [-0.45, 90.08] [-0.25, 91.08]
2.004975e+08 [-0.66, 51.27] [-0.46, 52.27] [-0.26, 53.27]
2.081543e+08 [-0.66, 12.10] [-0.46, 13.10] [-0.26, 14.10]
2.161035e+08 [-0.68, -28.63] [-0.48, -27.63] [-0.28, -26.63]
2.243562e+08 [-0.70, -70.79] [-0.50, -69.79] [-0.30, -68.79]
2.329241e+08 [-0.70, -114.71] [-0.50, -113.71] [-0.30, -112.71]
2.418192e+08 [-0.71, -160.20] [-0.51, -159.20] [-0.31, -158.20]
2.510540e+08 [-0.72, 152.55] [-0.52, 153.55] [-0.32, 154.55]
2.606415e+08 [-0.73, 103.50] [-0.53, 104.50] [-0.33, 105.50]
2.705951e+08 [-0.74, 52.58] [-0.54, 53.58] [-0.34, 54.58]
2.809288e+08 [-0.75, -0.35] [-0.55, 0.65] [-0.35, 1.65]
2.916571e+08 [-0.76, -55.22] [-0.56, -54.22] [-0.36, -53.22]
3.027952e+08 [-0.77, -112.19] [-0.57, -111.19] [-0.37, -110.19]
3.143586e+08 [-0.79, -171.35] [-0.59, -170.35] [-0.39, -169.35]
3.263636e+08 [-0.80, 127.23] [-0.60, 128.23] [-0.40, 129.23]
3.388271e+08 [-0.81, 63.45] [-0.61, 64.45] [-0.41, 65.45]
3.517665e+08 [-0.83, -2.76] [-0.63, -1.76] [-0.43, -0.76]
3.652000e+08 [-0.83, -71.50] [-0.63, -70.50] [-0.43, -69.50]
3.791466e+08 [-0.86, -142.83] [-0.66, -141.83] [-0.46, -140.83]
