FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.75, 1.36] [-0.55, 2.36] [-0.35, 3.36]
1.791760e+08 [-0.76, -39.64] [-0.56, -38.64] [-0.36, -37.64]
1.860186e+08 [-0.77, -82.34] [-0.57, -81.34] [-0.37, -80.34]
1.931224e+08 [-0.78, -126.68] [-0.58, -125.68] [-0.38, -124.68]
2.004975e+08 [-0.80, -172.59] [-0.60, -171.59] [-0.40, -170.59]
2.081543e+08 [-0.81, 139.64] [-0.61, 140.64] [-0.41, 141.64]
2.161035e+08 [-0.83, 90.17] [-0.63, 91.17] [-0.43, 92.17]
2.243562e+08 [-0.82, 38.67] [-0.62, 39.67] [-0.42, 40.67]
2.329241e+08 [-0.85, -14.73] [-0.65, -13.73] [-0.45, -12.73]
2.418192e+08 [-0.86, -70.20] [-0.66, -69.20] [-0.46, -68.20]
2.510540e+08 [-0.87, -127.74] [-0.67, -126.74] [-0.47, -125.74]
2.606415e+08 [-0.89, 172.54] [-0.69, 173.54] [-0.49, 174.54]
2.705951e+08 [-0.91, 110.48] [-0.71, 111.48] [-0.51, 112.48]
2.809288e+08 [-0.92, 46.13] [-0.72, 47.13] [-0.52, 48.13]
2.916571e+08 [-0.94, -20.65] [-0.74, -19.65] [-0.54, -18.65]
3.027952e+08 [-0.95, -90.05] [-0.75, -89.05] [-0.55, -88.05]
3.143586e+08 [-0.97, -162.06] [-0.77, -161.06] [-0.57, -160.06]
3.263636e+08 [-0.98, 123.11] [-0.78, 124.11] [-0.58, 125.11]
3.388271e+08 [-0.99, 45.47] [-0.79, 46.47] [-0.59, 47.47]
3.517665e+08 [-1.00, -35.20] [-0.80, -34.20] [-0.60, -33.20]
3.652000e+08 [-1.02, -118.91] [-0.82, -117.91] [-0.62, -116.91]
3.791466e+08 [-1.04, 154.19] [-0.84, 155.19] [-0.64, 156.19]
3.936258e+08 [-1.07, 63.93] [-0.87, 64.93] [-0.67, 65.93]
4.086579e+08 [-1.10, -29.63] [-0.90, -28.63] [-0.70, -27.63]
4.242641e+08 [-1.12, -126.78] [-0.92, -125.78] [-0.72, -124.78]
4.404662e+08 [-1.12, 132.39] [-0.92, 133.39] [-0.72, 134.39]
4.572871e+08 [-1.13, 27.55] [-0.93, 28.55] [-0.73, 29.55]
4.747504e+08 [-1.15, -81.30] [-0.95, -80.30] [-0.75, -79.30]
4.928806e+08 [-1.18, 165.78] [-0.98, 166.78] [-0.78, 167.78]
5.117031e+08 [-1.20, 48.53] [-1.00, 49.53] [-0.80, 50.53]
5.312445e+08 [-1.23, -73.20] [-1.03, -72.20] [-0.83, -71.20]
5.515321e+08 [-1.25, 160.52] [-1.05, 161.52] [-0.85, 162.52]
5.725945e+08 [-1.27, 29.35] [-1.07, 30.35] [-0.87, 31.35]
5.944612e+08 [-1.29, -106.87] [-1.09, -105.87] [-0.89, -104.87]
6.171630e+08 [-1.31, 111.76] [-1.11, 112.76] [-0.91, 113.76]
6.407317e+08 [-1.34, -35.04] [-1.14, -34.04] [-0.94, -33.04]
6.652006e+08 [-1.37, 172.57] [-1.17, 173.57] [-0.97, 174.57]
6.906038e+08 [-1.39, 14.35] [-1.19, 15.35] [-0.99, 16.35]
7.169772e+08 [-1.42, -149.86] [-1.22, -148.86] [-1.02, -147.86]
7.443577e+08 [-1.45, 39.62] [-1.25, 40.62] [-1.05, 41.62]
7.727839e+08 [-1.48, -137.41] [-1.28, -136.41] [-1.08, -135.41]
8.022956e+08 [-1.51, 38.91] [-1.31, 39.91] [-1.11, 40.91]
8.329344e+08 [-1.54, -151.89] [-1.34, -150.89] [-1.14, -149.89]
8.647432e+08 [-1.57, 10.01] [-1.37, 11.01] [-1.17, 12.01]
8.977667e+08 [-1.61, 164.35] [-1.41, 165.35] [-1.21, 166.35]
9.320514e+08 [-1.64, -49.09] [-1.44, -48.09] [-1.24, -47.09]
9.676454e+08 [-1.68, 89.38] [-1.48, 90.38] [-1.28, 91.38]
1.004599e+09 [-1.71, -140.72] [-1.51, -139.72] [-1.31, -138.72]
1.042963e+09 [-1.75, -19.64] [-1.55, -18.64] [-1.35, -17.64]
1.082793e+09 [-1.80, 92.41] [-1.60, 93.41] [-1.40, 94.41]
1.124143e+09 [-1.84, -165.02] [-1.64, -164.02] [-1.44, -163.02]
1.167073e+09 [-1.87, -72.27] [-1.67, -71.27] [-1.47, -70.27]
1.211642e+09 [-1.93, 10.23] [-1.73, 11.23] [-1.53, 12.23]
1.257913e+09 [-1.97, 82.31] [-1.77, 83.31] [-1.57, 84.31]
1.305952e+09 [-2.01, 143.19] [-1.81, 144.19] [-1.61, 145.19]
1.355825e+09 [-2.08, -167.17] [-1.88, -166.17] [-1.68, -165.17]
1.407602e+09 [-2.11, -129.41] [-1.91, -128.41] [-1.71, -127.41]
1.461357e+09 [-2.17, -103.97] [-1.97, -102.97] [-1.77, -101.97]
1.517164e+09 [-2.22, -91.32] [-2.02, -90.32] [-1.82, -89.32]
1.575103e+09 [-2.27, -91.94] [-2.07, -90.94] [-1.87, -89.94]
1.635254e+09 [-2.34, -106.16] [-2.14, -105.16] [-1.94, -104.16]
1.697703e+09 [-2.38, -134.78] [-2.18, -133.78] [-1.98, -132.78]
1.762536e+09 [-2.46, -178.00] [-2.26, -177.00] [-2.06, -176.00]
1.829845e+09 [-2.49, 123.20] [-2.29, 124.20] [-2.09, 125.20]
1.899725e+09 [-2.54, 48.53] [-2.34, 49.53] [-2.14, 50.53]
1.972273e+09 [-2.58, -42.90] [-2.38, -41.90] [-2.18, -40.90]
2.047592e+09 [-2.61, -151.43] [-2.41, -150.43] [-2.21, -149.43]
2.125787e+09 [-2.63, 82.10] [-2.43, 83.10] [-2.23, 84.10]
2.206969e+09 [-2.66, -63.13] [-2.46, -62.13] [-2.26, -61.13]
2.291250e+09 [-2.68, 132.46] [-2.48, 133.46] [-2.28, 134.46]
