FUNIT: Hz
UNIT: dB
1.662368e+08 [-43.37, 74.06] [-43.17, 75.06] [-42.97, 76.06]
1.725852e+08 [-43.27, -18.83] [-43.07, -17.83] [-42.87, -16.83]
1.791760e+08 [-43.07, -112.67] [-42.87, -111.67] [-42.67, -110.67]
1.860186e+08 [-42.79, 150.86] [-42.59, 151.86] [-42.39, 152.86]
1.931224e+08 [-42.76, 51.57] [-42.56, 52.57] [-42.36, 53.57]
2.004975e+08 [-42.89, -49.30] [-42.69, -48.30] [-42.49, -47.30]
2.081543e+08 [-42.86, -154.69] [-42.66, -153.69] [-42.46, -152.69]
2.161035e+08 [-42.91, 90.63] [-42.71, 91.63] [-42.51, 92.63]
2.243562e+08 [-43.32, -32.32] [-43.12, -31.32] [-42.92, -30.32]
2.329241e+08 [-43.58, -161.76] [-43.38, -160.76] [-43.18, -159.76]
2.418192e+08 [-43.63, 62.93] [-43.43, 63.93] [-43.23, 64.93]
2.510540e+08 [-43.66, -75.09] [-43.46, -74.09] [-43.26, -73.09]
2.606415e+08 [-43.65, 140.49] [-43.45, 141.49] [-43.25, 142.49]
2.705951e+08 [-43.93, -12.14] [-43.73, -11.14] [-43.53, -10.14]
2.809288e+08 [-43.80, -170.11] [-43.60, -169.11] [-43.40, -168.11]
2.916571e+08 [-43.80, 32.29] [-43.60, 33.29] [-43.40, 34.29]
3.027952e+08 [-43.55, -120.66] [-43.35, -119.66] [-43.15, -118.66]
3.143586e+08 [-43.41, 77.70] [-43.21, 78.70] [-43.01, 79.70]
3.263636e+08 [-44.25, -96.60] [-44.05, -95.60] [-43.85, -94.60]
3.388271e+08 [-45.15, 77.67] [-44.95, 78.67] [-44.75, 79.67]
3.517665e+08 [-44.92, -112.26] [-44.72, -111.26] [-44.52, -110.26]
3.652000e+08 [-45.07, 52.51] [-44.87, 53.51] [-44.67, 54.51]
3.791466e+08 [-44.47, -160.39] [-44.27, -159.39] [-44.07, -158.39]
3.936258e+08 [-44.19, -31.27] [-43.99, -30.27] [-43.79, -29.27]
4.086579e+08 [-43.62, 112.82] [-43.42, 113.82] [-43.22, 114.82]
4.242641e+08 [-43.11, -110.41] [-42.91, -109.41] [-42.71, -108.41]
4.404662e+08 [-44.22, 13.38] [-44.02, 14.38] [-43.82, 15.38]
4.572871e+08 [-42.96, 139.06] [-42.76, 140.06] [-42.56, 141.06]
4.747504e+08 [-43.05, -98.53] [-42.85, -97.53] [-42.65, -96.53]
4.928806e+08 [-43.97, 3.72] [-43.77, 4.72] [-43.57, 5.72]
5.117031e+08 [-44.12, 79.53] [-43.92, 80.53] [-43.72, 81.53]
5.312445e+08 [-43.26, 156.13] [-43.06, 157.13] [-42.86, 158.13]
5.515321e+08 [-44.10, -144.82] [-43.90, -143.82] [-43.70, -142.82]
5.725945e+08 [-42.83, -78.94] [-42.63, -77.94] [-42.43, -76.94]
5.944612e+08 [-43.62, -19.55] [-43.42, -18.55] [-43.22, -17.55]
6.171630e+08 [-44.99, -8.06] [-44.79, -7.06] [-44.59, -6.06]
6.407317e+08 [-44.74, -9.55] [-44.54, -8.55] [-44.34, -7.55]
6.652006e+08 [-44.54, -29.42] [-44.34, -28.42] [-44.14, -27.42]
6.906038e+08 [-43.79, -18.88] [-43.59, -17.88] [-43.39, -16.88]
7.169772e+08 [-45.88, -36.18] [-45.68, -35.18] [-45.48, -34.18]
7.443577e+08 [-45.32, -66.83] [-45.12, -65.83] [-44.92, -64.83]
7.727839e+08 [-47.60, -134.26] [-47.40, -133.26] [-47.20, -132.26]
8.022956e+08 [-45.58, 178.90] [-45.38, 179.90] [-45.18, 180.90]
8.329344e+08 [-45.06, 84.79] [-44.86, 85.79] [-44.66, 86.79]
8.647432e+08 [-45.63, -16.69] [-45.43, -15.69] [-45.23, -14.69]
8.977667e+08 [-44.62, -143.59] [-44.42, -142.59] [-44.22, -141.59]
9.320514e+08 [-47.31, 70.07] [-47.11, 71.07] [-46.91, 72.07]
9.676454e+08 [-45.77, -100.64] [-45.57, -99.64] [-45.37, -98.64]
1.004599e+09 [-44.00, 60.61] [-43.80, 61.61] [-43.60, 62.61]
1.042963e+09 [-44.92, -148.63] [-44.72, -147.63] [-44.52, -146.63]
1.082793e+09 [-46.59, 10.10] [-46.39, 11.10] [-46.19, 12.10]
1.124143e+09 [-45.62, 146.76] [-45.42, 147.76] [-45.22, 148.76]
1.167073e+09 [-50.00, -120.27] [-49.80, -119.27] [-49.60, -118.27]
1.211642e+09 [-47.77, -136.21] [-47.57, -135.21] [-47.37, -134.21]
1.257913e+09 [-44.99, -58.11] [-44.79, -57.11] [-44.59, -56.11]
1.305952e+09 [-55.82, 35.36] [-55.62, 36.36] [-55.42, 37.36]
1.355825e+09 [-46.25, -141.02] [-46.05, -140.02] [-45.85, -139.02]
1.407602e+09 [-46.32, -32.66] [-46.12, -31.66] [-45.92, -30.66]
1.461357e+09 [-44.89, 5.82] [-44.69, 6.82] [-44.49, 7.82]
1.517164e+09 [-52.70, 28.90] [-52.50, 29.90] [-52.30, 30.90]
1.575103e+09 [-56.23, 126.79] [-56.03, 127.79] [-55.83, 128.79]
1.635254e+09 [-52.79, -139.94] [-52.59, -138.94] [-52.39, -137.94]
1.697703e+09 [-42.00, 99.85] [-41.80, 100.85] [-41.60, 101.85]
1.762536e+09 [-43.27, -58.42] [-43.07, -57.42] [-42.87, -56.42]
1.829845e+09 [-51.77, -6.38] [-51.57, -5.38] [-51.37, -4.38]
1.899725e+09 [-40.76, -63.81] [-40.56, -62.81] [-40.36, -61.81]
1.972273e+09 [-42.27, 38.61] [-42.07, 39.61] [-41.87, 40.61]
2.047592e+09 [-49.02, 53.76] [-48.82, 54.76] [-48.62, 55.76]
2.125787e+09 [-39.43, -84.41] [-39.23, -83.41] [-39.03, -82.41]
2.206969e+09 [-56.84, 131.66] [-56.64, 132.66] [-56.44, 133.66]
2.291250e+09 [-35.28, 52.65] [-35.08, 53.65] [-34.88, 54.65]
2.378751e+09 [-37.93, 137.78] [-37.73, 138.78] [-37.53, 139.78]
2.469592e+09 [-34.17, 45.43] [-33.97, 46.43] [-33.77, 47.43]
2.563903e+09 [-35.62, 93.34] [-35.42, 94.34] [-35.22, 95.34]
2.661816e+09 [-30.12, -32.50] [-29.92, -31.50] [-29.72, -30.50]
2.763468e+09 [-30.59, 174.40] [-30.39, 175.40] [-30.19, 176.40]
2.869001e+09 [-31.20, -3.26] [-31.00, -2.26] [-30.80, -1.26]
2.978565e+09 [-34.64, 108.59] [-34.44, 109.59] [-34.24, 110.59]
3.092313e+09 [-30.74, 65.75] [-30.54, 66.75] [-30.34, 67.75]
3.210405e+09 [-30.76, 17.55] [-30.56, 18.55] [-30.36, 19.55]
3.333007e+09 [-33.22, -39.94] [-33.02, -38.94] [-32.82, -37.94]
3.460290e+09 [-36.39, -106.32] [-36.19, -105.32] [-35.99, -104.32]
3.592435e+09 [-37.94, 28.08] [-37.74, 29.08] [-37.54, 30.08]
3.729626e+09 [-49.87, -18.47] [-49.67, -17.47] [-49.47, -16.47]
3.872056e+09 [-42.37, -31.08] [-42.17, -30.08] [-41.97, -29.08]
4.019925e+09 [-41.91, -105.60] [-41.71, -104.60] [-41.51, -103.60]
4.173442e+09 [-45.66, 24.59] [-45.46, 25.59] [-45.26, 26.59]
4.332821e+09 [-37.62, 23.65] [-37.42, 24.65] [-37.22, 25.65]
4.498286e+09 [-43.58, 105.98] [-43.38, 106.98] [-43.18, 107.98]
4.670071e+09 [-46.98, 131.43] [-46.78, 132.43] [-46.58, 133.43]
4.848415e+09 [-52.80, 133.28] [-52.60, 134.28] [-52.40, 135.28]
5.033571e+09 [-45.47, 4.59] [-45.27, 5.59] [-45.07, 6.59]
5.225797e+09 [-53.80, -114.77] [-53.60, -113.77] [-53.40, -112.77]
5.425364e+09 [-40.90, 116.39] [-40.70, 117.39] [-40.50, 118.39]
5.632553e+09 [-34.45, -65.84] [-34.25, -64.84] [-34.05, -63.84]
5.847653e+09 [-37.05, -96.95] [-36.85, -95.95] [-36.65, -94.95]
6.070969e+09 [-39.70, 103.64] [-39.50, 104.64] [-39.30, 105.64]
6.302812e+09 [-32.07, 129.20] [-31.87, 130.20] [-31.67, 131.20]
6.543509e+09 [-35.39, -56.52] [-35.19, -55.52] [-34.99, -54.52]
6.793398e+09 [-44.87, 178.02] [-44.67, 179.02] [-44.47, 180.02]
7.052830e+09 [-48.58, -87.10] [-48.38, -86.10] [-48.18, -85.10]
7.322170e+09 [-43.59, -17.14] [-43.39, -16.14] [-43.19, -15.14]
7.601795e+09 [-54.56, 93.71] [-54.36, 94.71] [-54.16, 95.71]
7.892099e+09 [-61.63, -158.82] [-61.43, -157.82] [-61.23, -156.82]
8.193489e+09 [-46.93, 34.84] [-46.73, 35.84] [-46.53, 36.84]
8.506389e+09 [-47.36, 0.78] [-47.16, 1.78] [-46.96, 2.78]
8.831239e+09 [-52.76, -86.52] [-52.56, -85.52] [-52.36, -84.52]
9.168493e+09 [-41.25, -104.11] [-41.05, -103.11] [-40.85, -102.11]
9.518628e+09 [-37.57, 59.36] [-37.37, 60.36] [-37.17, 61.36]
9.882133e+09 [-31.41, 101.69] [-31.21, 102.69] [-31.01, 103.69]
1.025952e+10 [-36.31, -45.16] [-36.11, -44.16] [-35.91, -43.16]
1.065132e+10 [-38.35, 176.97] [-38.15, 177.97] [-37.95, 178.97]
1.105808e+10 [-30.88, 139.37] [-30.68, 140.37] [-30.48, 141.37]
1.148038e+10 [-33.05, 42.43] [-32.85, 43.43] [-32.65, 44.43]
1.191880e+10 [-47.94, -96.03] [-47.74, -95.03] [-47.54, -94.03]
1.237396e+10 [-37.87, 17.42] [-37.67, 18.42] [-37.47, 19.42]
1.284651e+10 [-42.43, -103.62] [-42.23, -102.62] [-42.03, -101.62]
1.333711e+10 [-41.25, -113.07] [-41.05, -112.07] [-40.85, -111.07]
1.384643e+10 [-28.57, -109.59] [-28.37, -108.59] [-28.17, -107.59]
1.437521e+10 [-43.48, -167.45] [-43.28, -166.45] [-43.08, -165.45]
1.492419e+10 [-35.78, -42.76] [-35.58, -41.76] [-35.38, -40.76]
1.549412e+10 [-37.20, 28.36] [-37.00, 29.36] [-36.80, 30.36]
1.608583e+10 [-36.80, 9.76] [-36.60, 10.76] [-36.40, 11.76]
1.670013e+10 [-35.20, 72.00] [-35.00, 73.00] [-34.80, 74.00]
1.733789e+10 [-48.15, 97.87] [-47.95, 98.87] [-47.75, 99.87]
1.800000e+10 [-43.12, 3.28] [-42.92, 4.28] [-42.72, 5.28]
