FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.69, 97.75] [-0.49, 98.75] [-0.29, 99.75]
1.791760e+08 [-0.71, 60.33] [-0.51, 61.33] [-0.31, 62.33]
1.860186e+08 [-0.71, 21.42] [-0.51, 22.42] [-0.31, 23.42]
1.931224e+08 [-0.71, -18.71] [-0.51, -17.71] [-0.31, -16.71]
2.004975e+08 [-0.74, -60.66] [-0.54, -59.66] [-0.34, -58.66]
2.081543e+08 [-0.68, -104.26] [-0.48, -103.26] [-0.28, -102.26]
2.161035e+08 [-0.75, -148.97] [-0.55, -147.97] [-0.35, -146.97]
2.243562e+08 [-0.76, 164.03] [-0.56, 165.03] [-0.36, 166.03]
2.329241e+08 [-0.77, 115.62] [-0.57, 116.62] [-0.37, 117.62]
2.418192e+08 [-0.78, 64.93] [-0.58, 65.93] [-0.38, 66.93]
2.510540e+08 [-0.77, 12.72] [-0.57, 13.72] [-0.37, 14.72]
2.606415e+08 [-0.80, -41.61] [-0.60, -40.61] [-0.40, -39.61]
2.705951e+08 [-0.79, -98.26] [-0.59, -97.26] [-0.39, -96.26]
2.809288e+08 [-0.80, -156.84] [-0.60, -155.84] [-0.40, -154.84]
2.916571e+08 [-0.82, 142.27] [-0.62, 143.27] [-0.42, 144.27]
3.027952e+08 [-0.83, 79.10] [-0.63, 80.10] [-0.43, 81.10]
3.143586e+08 [-0.85, 13.64] [-0.65, 14.64] [-0.45, 15.64]
3.263636e+08 [-0.85, -54.51] [-0.65, -53.51] [-0.45, -52.51]
3.388271e+08 [-0.88, -125.21] [-0.68, -124.21] [-0.48, -123.21]
3.517665e+08 [-0.89, 161.25] [-0.69, 162.25] [-0.49, 163.25]
3.652000e+08 [-0.91, 85.09] [-0.71, 86.09] [-0.51, 87.09]
3.791466e+08 [-0.92, 5.99] [-0.72, 6.99] [-0.52, 7.99]
3.936258e+08 [-0.92, -76.06] [-0.72, -75.06] [-0.52, -74.06]
4.086579e+08 [-0.92, -161.58] [-0.72, -160.58] [-0.52, -159.58]
4.242641e+08 [-0.95, 109.95] [-0.75, 110.95] [-0.55, 111.95]
4.404662e+08 [-0.98, 18.10] [-0.78, 19.10] [-0.58, 20.10]
4.572871e+08 [-0.99, -77.32] [-0.79, -76.32] [-0.59, -75.32]
4.747504e+08 [-1.01, -176.29] [-0.81, -175.29] [-0.61, -174.29]
4.928806e+08 [-1.02, 80.93] [-0.82, 81.93] [-0.62, 82.93]
5.117031e+08 [-1.05, -25.93] [-0.85, -24.93] [-0.65, -23.93]
5.312445e+08 [-1.05, -136.76] [-0.85, -135.76] [-0.65, -134.76]
5.515321e+08 [-1.08, 108.16] [-0.88, 109.16] [-0.68, 110.16]
5.725945e+08 [-1.09, -11.22] [-0.89, -10.22] [-0.69, -9.22]
5.944612e+08 [-1.12, -135.22] [-0.92, -134.22] [-0.72, -133.22]
6.171630e+08 [-1.12, 96.06] [-0.92, 97.06] [-0.72, 98.06]
6.407317e+08 [-1.15, -37.63] [-0.95, -36.63] [-0.75, -35.63]
6.652006e+08 [-1.17, -176.30] [-0.97, -175.30] [-0.77, -174.30]
6.906038e+08 [-1.18, 39.61] [-0.98, 40.61] [-0.78, 41.61]
7.169772e+08 [-1.20, -109.91] [-1.00, -108.91] [-0.80, -107.91]
7.443577e+08 [-1.23, 94.79] [-1.03, 95.79] [-0.83, 96.79]
7.727839e+08 [-1.25, -66.38] [-1.05, -65.38] [-0.85, -64.38]
8.022956e+08 [-1.26, 126.31] [-1.06, 127.31] [-0.86, 128.31]
8.329344e+08 [-1.28, -47.43] [-1.08, -46.43] [-0.88, -45.43]
8.647432e+08 [-1.32, 132.25] [-1.12, 133.25] [-0.92, 134.25]
8.977667e+08 [-1.33, -55.05] [-1.13, -54.05] [-0.93, -53.05]
9.320514e+08 [-1.36, 110.59] [-1.16, 111.59] [-0.96, 112.59]
9.676454e+08 [-1.37, -91.18] [-1.17, -90.18] [-0.97, -89.18]
1.004599e+09 [-1.40, 59.26] [-1.20, 60.26] [-1.00, 61.26]
1.042963e+09 [-1.42, -158.22] [-1.22, -157.22] [-1.02, -156.22]
1.082793e+09 [-1.45, -24.04] [-1.25, -23.04] [-1.05, -22.04]
1.124143e+09 [-1.47, 101.47] [-1.27, 102.47] [-1.07, 103.47]
1.167073e+09 [-1.49, -141.84] [-1.29, -140.84] [-1.09, -139.84]
1.211642e+09 [-1.53, -34.56] [-1.33, -33.56] [-1.13, -32.56]
1.257913e+09 [-1.55, 63.14] [-1.35, 64.14] [-1.15, 65.14]
1.305952e+09 [-1.57, 150.78] [-1.37, 151.78] [-1.17, 152.78]
1.355825e+09 [-1.61, -131.97] [-1.41, -130.97] [-1.21, -129.97]
1.407602e+09 [-1.63, -65.50] [-1.43, -64.50] [-1.23, -63.50]
1.461357e+09 [-1.66, -10.16] [-1.46, -9.16] [-1.26, -8.16]
1.517164e+09 [-1.70, 33.45] [-1.50, 34.45] [-1.30, 35.45]
1.575103e+09 [-1.72, 64.93] [-1.52, 65.93] [-1.32, 66.93]
1.635254e+09 [-1.76, 84.00] [-1.56, 85.00] [-1.36, 86.00]
1.697703e+09 [-1.79, 89.99] [-1.59, 90.99] [-1.39, 91.99]
1.762536e+09 [-1.82, 82.51] [-1.62, 83.51] [-1.42, 84.51]
1.829845e+09 [-1.86, 60.93] [-1.66, 61.93] [-1.46, 62.93]
1.899725e+09 [-1.89, 24.80] [-1.69, 25.80] [-1.49, 26.80]
1.972273e+09 [-1.93, -26.47] [-1.73, -25.47] [-1.53, -24.47]
2.047592e+09 [-1.96, -93.42] [-1.76, -92.42] [-1.56, -91.42]
