FUNIT: Hz
UNIT: dB
1.662368e+08 [-21.22, 42.29] [-21.02, 43.29] [-20.82, 44.29]
1.725852e+08 [-21.23, -10.95] [-21.03, -9.95] [-20.83, -8.95]
1.791760e+08 [-21.25, -66.15] [-21.05, -65.15] [-20.85, -64.15]
1.860186e+08 [-21.26, -123.58] [-21.06, -122.58] [-20.86, -121.58]
1.931224e+08 [-21.28, 176.82] [-21.08, 177.82] [-20.88, 178.82]
2.004975e+08 [-21.31, 115.05] [-21.11, 116.05] [-20.91, 117.05]
2.081543e+08 [-21.32, 50.80] [-21.12, 51.80] [-20.92, 52.80]
2.161035e+08 [-21.34, -15.77] [-21.14, -14.77] [-20.94, -13.77]
2.243562e+08 [-21.35, -85.00] [-21.15, -84.00] [-20.95, -83.00]
2.329241e+08 [-21.38, -156.84] [-21.18, -155.84] [-20.98, -154.84]
2.418192e+08 [-21.40, 128.59] [-21.20, 129.59] [-21.00, 130.59]
2.510540e+08 [-21.41, 51.19] [-21.21, 52.19] [-21.01, 53.19]
2.606415e+08 [-21.44, -29.16] [-21.24, -28.16] [-21.04, -27.16]
2.705951e+08 [-21.46, -112.62] [-21.26, -111.62] [-21.06, -110.62]
2.809288e+08 [-21.48, 160.78] [-21.28, 161.78] [-21.08, 162.78]
2.916571e+08 [-21.50, 70.87] [-21.30, 71.87] [-21.10, 72.87]
3.027952e+08 [-21.53, -22.48] [-21.33, -21.48] [-21.13, -20.48]
3.143586e+08 [-21.56, -119.35] [-21.36, -118.35] [-21.16, -117.35]
3.263636e+08 [-21.58, 140.04] [-21.38, 141.04] [-21.18, 142.04]
3.388271e+08 [-21.60, 35.65] [-21.40, 36.65] [-21.20, 37.65]
3.517665e+08 [-21.61, -72.81] [-21.41, -71.81] [-21.21, -70.81]
3.652000e+08 [-21.64, 174.60] [-21.44, 175.60] [-21.24, 176.60]
3.791466e+08 [-21.67, 57.81] [-21.47, 58.81] [-21.27, 59.81]
3.936258e+08 [-21.69, -63.57] [-21.49, -62.57] [-21.29, -61.57]
4.086579e+08 [-21.72, 170.51] [-21.52, 171.51] [-21.32, 172.51]
4.242641e+08 [-21.75, 39.75] [-21.55, 40.75] [-21.35, 41.75]
4.404662e+08 [-21.77, -95.99] [-21.57, -94.99] [-21.37, -93.99]
4.572871e+08 [-21.79, 123.00] [-21.59, 124.00] [-21.39, 125.00]
4.747504e+08 [-21.84, -23.29] [-21.64, -22.29] [-21.44, -21.29]
4.928806e+08 [-21.86, -175.11] [-21.66, -174.11] [-21.46, -173.11]
5.117031e+08 [-21.88, 27.23] [-21.68, 28.23] [-21.48, 29.23]
5.312445e+08 [-21.92, -136.58] [-21.72, -135.58] [-21.52, -134.58]
5.515321e+08 [-21.95, 53.59] [-21.75, 54.59] [-21.55, 55.59]
5.725945e+08 [-21.98, -122.84] [-21.78, -121.84] [-21.58, -120.84]
5.944612e+08 [-22.00, 53.98] [-21.80, 54.98] [-21.60, 55.98]
6.171630e+08 [-22.03, -136.25] [-21.83, -135.25] [-21.63, -134.25]
6.407317e+08 [-22.09, 26.28] [-21.89, 27.28] [-21.69, 28.28]
6.652006e+08 [-22.11, -178.60] [-21.91, -177.60] [-21.71, -176.60]
6.906038e+08 [-22.14, -31.36] [-21.94, -30.36] [-21.74, -29.36]
7.169772e+08 [-22.17, 107.73] [-21.97, 108.73] [-21.77, 109.73]
7.443577e+08 [-22.21, -121.56] [-22.01, -120.56] [-21.81, -119.56]
7.727839e+08 [-22.23, 0.27] [-22.03, 1.27] [-21.83, 2.27]
8.022956e+08 [-22.28, 113.01] [-22.08, 114.01] [-21.88, 115.01]
8.329344e+08 [-22.31, -143.45] [-22.11, -142.45] [-21.91, -141.45]
8.647432e+08 [-22.34, -49.95] [-22.14, -48.95] [-21.94, -47.95]
8.977667e+08 [-22.40, 33.47] [-22.20, 34.47] [-22.00, 35.47]
9.320514e+08 [-22.42, 106.49] [-22.22, 107.49] [-22.02, 108.49]
9.676454e+08 [-22.47, 168.12] [-22.27, 169.12] [-22.07, 170.12]
1.004599e+09 [-22.53, -141.08] [-22.33, -140.08] [-22.13, -139.08]
1.042963e+09 [-22.56, -102.48] [-22.36, -101.48] [-22.16, -100.48]
1.082793e+09 [-22.63, -75.82] [-22.43, -74.82] [-22.23, -73.82]
1.124143e+09 [-22.63, -62.25] [-22.43, -61.25] [-22.23, -60.25]
