FUNIT: Hz
UNIT: dB
1.791760e+08 [-0.50, -179.33] [-0.30, -178.33] [-0.10, -177.33]
1.860186e+08 [-0.52, 159.88] [-0.32, 160.88] [-0.12, 161.88]
1.931224e+08 [-0.51, 138.60] [-0.31, 139.60] [-0.11, 140.60]
2.004975e+08 [-0.53, 116.44] [-0.33, 117.44] [-0.13, 118.44]
2.081543e+08 [-0.52, 93.52] [-0.32, 94.52] [-0.12, 95.52]
2.161035e+08 [-0.54, 69.59] [-0.34, 70.59] [-0.14, 71.59]
2.243562e+08 [-0.53, 45.04] [-0.33, 46.04] [-0.13, 47.04]
2.329241e+08 [-0.56, 19.22] [-0.36, 20.22] [-0.16, 21.22]
2.418192e+08 [-0.55, -7.45] [-0.35, -6.45] [-0.15, -5.45]
2.510540e+08 [-0.59, -35.11] [-0.39, -34.11] [-0.19, -33.11]
2.606415e+08 [-0.57, -63.91] [-0.37, -62.91] [-0.17, -61.91]
2.705951e+08 [-0.60, -93.71] [-0.40, -92.71] [-0.20, -91.71]
2.809288e+08 [-0.59, -124.67] [-0.39, -123.67] [-0.19, -122.67]
2.916571e+08 [-0.61, -156.95] [-0.41, -155.95] [-0.21, -154.95]
3.027952e+08 [-0.62, 169.65] [-0.42, 170.65] [-0.22, 171.65]
3.143586e+08 [-0.61, 135.01] [-0.41, 136.01] [-0.21, 137.01]
3.263636e+08 [-0.64, 99.01] [-0.44, 100.01] [-0.24, 101.01]
3.388271e+08 [-0.63, 61.62] [-0.43, 62.62] [-0.23, 63.62]
3.517665e+08 [-0.65, 22.84] [-0.45, 23.84] [-0.25, 24.84]
3.652000e+08 [-0.66, -17.37] [-0.46, -16.37] [-0.26, -15.37]
3.791466e+08 [-0.67, -59.20] [-0.47, -58.20] [-0.27, -57.20]
3.936258e+08 [-0.68, -102.61] [-0.48, -101.61] [-0.28, -100.61]
4.086579e+08 [-0.68, -147.58] [-0.48, -146.58] [-0.28, -145.58]
4.242641e+08 [-0.70, 165.63] [-0.50, 166.63] [-0.30, 167.63]
4.404662e+08 [-0.71, 117.01] [-0.51, 118.01] [-0.31, 119.01]
4.572871e+08 [-0.71, 66.57] [-0.51, 67.57] [-0.31, 68.57]
4.747504e+08 [-0.72, 14.22] [-0.52, 15.22] [-0.32, 16.22]
4.928806e+08 [-0.73, -40.10] [-0.53, -39.10] [-0.33, -38.10]
5.117031e+08 [-0.73, -96.51] [-0.53, -95.51] [-0.33, -94.51]
5.312445e+08 [-0.75, -155.02] [-0.55, -154.02] [-0.35, -153.02]
5.515321e+08 [-0.76, 144.09] [-0.56, 145.09] [-0.36, 146.09]
5.725945e+08 [-0.78, 81.00] [-0.58, 82.00] [-0.38, 83.00]
5.944612e+08 [-0.79, 15.42] [-0.59, 16.42] [-0.39, 17.42]
6.171630e+08 [-0.80, -52.59] [-0.60, -51.59] [-0.40, -50.59]
6.407317e+08 [-0.81, -123.22] [-0.61, -122.22] [-0.41, -121.22]
6.652006e+08 [-0.82, 163.48] [-0.62, 164.48] [-0.42, 165.48]
6.906038e+08 [-0.83, 87.37] [-0.63, 88.37] [-0.43, 89.37]
7.169772e+08 [-0.85, 8.29] [-0.65, 9.29] [-0.45, 10.29]
7.443577e+08 [-0.86, -73.80] [-0.66, -72.80] [-0.46, -71.80]
7.727839e+08 [-0.88, -158.93] [-0.68, -157.93] [-0.48, -156.93]
8.022956e+08 [-0.89, 112.57] [-0.69, 113.57] [-0.49, 114.57]
8.329344e+08 [-0.90, 20.83] [-0.70, 21.83] [-0.50, 22.83]
8.647432e+08 [-0.91, -74.51] [-0.71, -73.51] [-0.51, -72.51]
8.977667e+08 [-0.93, -173.47] [-0.73, -172.47] [-0.53, -171.47]
9.320514e+08 [-0.94, 83.86] [-0.74, 84.86] [-0.54, 85.86]
9.676454e+08 [-0.96, -22.85] [-0.76, -21.85] [-0.56, -20.85]
1.004599e+09 [-0.98, -133.54] [-0.78, -132.54] [-0.58, -131.54]
1.042963e+09 [-0.99, 111.53] [-0.79, 112.53] [-0.59, 113.53]
1.082793e+09 [-1.01, -7.84] [-0.81, -6.84] [-0.61, -5.84]
1.124143e+09 [-1.02, -131.72] [-0.82, -130.72] [-0.62, -129.72]
