FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.54, 69.60] [-0.34, 70.60] [-0.14, 71.60]
1.791760e+08 [-0.54, 44.94] [-0.34, 45.94] [-0.14, 46.94]
1.860186e+08 [-0.55, 19.19] [-0.35, 20.19] [-0.15, 21.19]
1.931224e+08 [-0.56, -7.51] [-0.36, -6.51] [-0.16, -5.51]
2.004975e+08 [-0.57, -35.19] [-0.37, -34.19] [-0.17, -33.19]
2.081543e+08 [-0.57, -63.96] [-0.37, -62.96] [-0.17, -61.96]
2.161035e+08 [-0.59, -93.75] [-0.39, -92.75] [-0.19, -91.75]
2.243562e+08 [-0.58, -124.79] [-0.38, -123.79] [-0.18, -122.79]
2.329241e+08 [-0.60, -156.99] [-0.40, -155.99] [-0.20, -154.99]
2.418192e+08 [-0.60, 169.60] [-0.40, 170.60] [-0.20, 171.60]
2.510540e+08 [-0.60, 134.94] [-0.40, 135.94] [-0.20, 136.94]
2.606415e+08 [-0.62, 98.97] [-0.42, 99.97] [-0.22, 100.97]
2.705951e+08 [-0.63, 61.56] [-0.43, 62.56] [-0.23, 63.56]
2.809288e+08 [-0.63, 22.76] [-0.43, 23.76] [-0.23, 24.76]
2.916571e+08 [-0.64, -17.50] [-0.44, -16.50] [-0.24, -15.50]
3.027952e+08 [-0.65, -59.34] [-0.45, -58.34] [-0.25, -57.34]
3.143586e+08 [-0.66, -102.74] [-0.46, -101.74] [-0.26, -100.74]
3.263636e+08 [-0.67, -147.84] [-0.47, -146.84] [-0.27, -145.84]
3.388271e+08 [-0.68, 165.42] [-0.48, 166.42] [-0.28, 167.42]
3.517665e+08 [-0.69, 116.83] [-0.49, 117.83] [-0.29, 118.83]
3.652000e+08 [-0.69, 66.40] [-0.49, 67.40] [-0.29, 68.40]
3.791466e+08 [-0.71, 14.06] [-0.51, 15.06] [-0.31, 16.06]
3.936258e+08 [-0.72, -40.32] [-0.52, -39.32] [-0.32, -38.32]
