FUNIT: Hz
UNIT: dB
1.662368e+08 [-21.16, 171.89] [-20.96, 172.89] [-20.76, 173.89]
1.725852e+08 [-21.18, 123.54] [-20.98, 124.54] [-20.78, 125.54]
1.791760e+08 [-21.20, 73.49] [-21.00, 74.49] [-20.80, 75.49]
1.860186e+08 [-21.21, 21.42] [-21.01, 22.42] [-20.81, 23.42]
1.931224e+08 [-21.24, -32.62] [-21.04, -31.62] [-20.84, -30.62]
2.004975e+08 [-21.25, -88.66] [-21.05, -87.66] [-20.85, -86.66]
2.081543e+08 [-21.26, -146.93] [-21.06, -145.93] [-20.86, -144.93]
2.161035e+08 [-21.28, 152.67] [-21.08, 153.67] [-20.88, 154.67]
2.243562e+08 [-21.29, 89.83] [-21.09, 90.83] [-20.89, 91.83]
2.329241e+08 [-21.32, 24.69] [-21.12, 25.69] [-20.92, 26.69]
2.418192e+08 [-21.33, -42.98] [-21.13, -41.98] [-20.93, -40.98]
2.510540e+08 [-21.35, -113.19] [-21.15, -112.19] [-20.95, -111.19]
2.606415e+08 [-21.37, 173.92] [-21.17, 174.92] [-20.97, 175.92]
2.705951e+08 [-21.40, 98.20] [-21.20, 99.20] [-21.00, 100.20]
2.809288e+08 [-21.42, 19.69] [-21.22, 20.69] [-21.02, 21.69]
2.916571e+08 [-21.44, -61.84] [-21.24, -60.84] [-21.04, -59.84]
3.027952e+08 [-21.45, -146.56] [-21.25, -145.56] [-21.05, -144.56]
3.143586e+08 [-21.48, 125.56] [-21.28, 126.56] [-21.08, 127.56]
3.263636e+08 [-21.50, 34.27] [-21.30, 35.27] [-21.10, 36.27]
3.388271e+08 [-21.52, -60.50] [-21.32, -59.50] [-21.12, -58.50]
3.517665e+08 [-21.54, -158.87] [-21.34, -157.87] [-21.14, -156.87]
3.652000e+08 [-21.57, 99.04] [-21.37, 100.04] [-21.17, 101.04]
3.791466e+08 [-21.60, -6.94] [-21.40, -5.94] [-21.20, -4.94]
3.936258e+08 [-21.63, -116.96] [-21.43, -115.96] [-21.23, -114.96]
4.086579e+08 [-21.64, 128.86] [-21.44, 129.86] [-21.24, 130.86]
4.242641e+08 [-21.66, 10.18] [-21.46, 11.18] [-21.26, 12.18]
4.404662e+08 [-21.69, -112.98] [-21.49, -111.98] [-21.29, -110.98]
4.572871e+08 [-21.72, 119.14] [-21.52, 120.14] [-21.32, 121.14]
4.747504e+08 [-21.75, -13.55] [-21.55, -12.55] [-21.35, -11.55]
4.928806e+08 [-21.77, -151.28] [-21.57, -150.28] [-21.37, -149.28]
5.117031e+08 [-21.79, 65.65] [-21.59, 66.65] [-21.39, 67.65]
5.312445e+08 [-21.82, -83.01] [-21.62, -82.01] [-21.42, -81.01]
5.515321e+08 [-21.89, 122.99] [-21.69, 123.99] [-21.49, 124.99]
5.725945e+08 [-21.89, -36.92] [-21.69, -35.92] [-21.49, -34.92]
5.944612e+08 [-21.91, 156.92] [-21.71, 157.92] [-21.51, 158.92]
6.171630e+08 [-21.93, -15.86] [-21.73, -14.86] [-21.53, -13.86]
6.407317e+08 [-22.01, 165.27] [-21.81, 166.27] [-21.61, 167.27]
6.652006e+08 [-22.01, -20.61] [-21.81, -19.61] [-21.61, -18.61]
6.906038e+08 [-22.03, 146.26] [-21.83, 147.26] [-21.63, 148.26]
7.169772e+08 [-22.09, -54.09] [-21.89, -53.09] [-21.69, -52.09]
7.443577e+08 [-22.11, 97.89] [-21.91, 98.89] [-21.71, 99.89]
7.727839e+08 [-22.12, -118.14] [-21.92, -117.14] [-21.72, -116.14]
8.022956e+08 [-22.19, 17.72] [-21.99, 18.72] [-21.79, 19.72]
8.329344e+08 [-22.23, 145.08] [-22.03, 146.08] [-21.83, 147.08]
8.647432e+08 [-22.23, -96.86] [-22.03, -95.86] [-21.83, -94.86]
8.977667e+08 [-22.33, 12.27] [-22.13, 13.27] [-21.93, 14.27]
9.320514e+08 [-22.30, 112.09] [-22.10, 113.09] [-21.90, 114.09]
9.676454e+08 [-22.38, -158.83] [-22.18, -157.83] [-21.98, -156.83]
1.004599e+09 [-22.44, -78.69] [-22.24, -77.69] [-22.04, -76.69]
1.042963e+09 [-22.42, -10.71] [-22.22, -9.71] [-22.02, -8.71]
1.082793e+09 [-22.53, 47.22] [-22.33, 48.22] [-22.13, 49.22]
1.124143e+09 [-22.49, 92.60] [-22.29, 93.60] [-22.09, 94.60]
1.167073e+09 [-22.62, 127.01] [-22.42, 128.01] [-22.22, 129.01]
1.211642e+09 [-22.58, 147.91] [-22.38, 148.91] [-22.18, 149.91]
1.257913e+09 [-22.69, 156.90] [-22.49, 157.90] [-22.29, 158.90]
1.305952e+09 [-22.73, 151.49] [-22.53, 152.49] [-22.33, 153.49]
1.355825e+09 [-22.76, 133.52] [-22.56, 134.52] [-22.36, 135.52]
1.407602e+09 [-22.83, 99.62] [-22.63, 100.62] [-22.43, 101.62]
1.461357e+09 [-22.81, 51.32] [-22.61, 52.32] [-22.41, 53.32]
1.517164e+09 [-22.93, -11.78] [-22.73, -10.78] [-22.53, -9.78]
1.575103e+09 [-23.00, -92.94] [-22.80, -91.94] [-22.60, -90.94]
1.635254e+09 [-22.94, 170.51] [-22.74, 171.51] [-22.54, 172.51]
1.697703e+09 [-23.02, 56.89] [-22.82, 57.89] [-22.62, 58.89]
1.762536e+09 [-23.16, -75.76] [-22.96, -74.76] [-22.76, -73.76]
1.829845e+09 [-23.20, 132.56] [-23.00, 133.56] [-22.80, 134.56]
1.899725e+09 [-23.17, -38.23] [-22.97, -37.23] [-22.77, -36.23]
1.972273e+09 [-23.19, 131.11] [-22.99, 132.11] [-22.79, 133.11]
2.047592e+09 [-23.27, -80.57] [-23.07, -79.57] [-22.87, -78.57]
2.125787e+09 [-23.39, 45.83] [-23.19, 46.83] [-22.99, 47.83]
2.206969e+09 [-23.49, 149.22] [-23.29, 150.22] [-23.09, 151.22]
2.291250e+09 [-23.57, -130.82] [-23.37, -129.82] [-23.17, -128.82]
