FUNIT: Hz
UNIT: dB
6.756250e+09 [-7.86, -41.81] [-7.66, -40.81] [-7.46, -39.81]
6.846200e+09 [-7.98, 45.08] [-7.78, 46.08] [-7.58, 47.08]
6.936150e+09 [-8.02, 131.12] [-7.82, 132.12] [-7.62, 133.12]
7.026100e+09 [-8.09, -142.18] [-7.89, -141.18] [-7.69, -140.18]
7.116050e+09 [-8.19, -55.80] [-7.99, -54.80] [-7.79, -53.80]
7.206000e+09 [-8.30, 30.88] [-8.10, 31.88] [-7.90, 32.88]
7.295950e+09 [-8.40, 116.82] [-8.20, 117.82] [-8.00, 118.82]
7.385900e+09 [-8.39, -156.08] [-8.19, -155.08] [-7.99, -154.08]
7.475850e+09 [-8.54, -68.90] [-8.34, -67.90] [-8.14, -66.90]
7.565800e+09 [-8.84, 17.98] [-8.64, 18.98] [-8.44, 19.98]
7.655750e+09 [-8.95, 104.36] [-8.75, 105.36] [-8.55, 106.36]
7.745700e+09 [-9.09, -169.26] [-8.89, -168.26] [-8.69, -167.26]
7.835650e+09 [-9.11, -81.99] [-8.91, -80.99] [-8.71, -79.99]
7.925600e+09 [-9.16, 5.38] [-8.96, 6.38] [-8.76, 7.38]
8.015550e+09 [-9.33, 93.00] [-9.13, 94.00] [-8.93, 95.00]
8.105500e+09 [-9.57, -180.29] [-9.37, -179.29] [-9.17, -178.29]
8.195450e+09 [-9.49, -94.07] [-9.29, -93.07] [-9.09, -92.07]
8.285400e+09 [-9.52, -7.54] [-9.32, -6.54] [-9.12, -5.54]
8.375350e+09 [-9.60, 79.87] [-9.40, 80.87] [-9.20, 81.87]
8.465300e+09 [-9.67, 166.06] [-9.47, 167.06] [-9.27, 168.06]
8.555250e+09 [-9.69, -105.68] [-9.49, -104.68] [-9.29, -103.68]
8.645200e+09 [-9.79, -19.80] [-9.59, -18.80] [-9.39, -17.80]
8.735150e+09 [-9.85, 66.28] [-9.65, 67.28] [-9.45, 68.28]
8.825100e+09 [-9.90, 152.33] [-9.70, 153.33] [-9.50, 154.33]
