FUNIT: Hz
UNIT: dB
1.000000e+07 [0.14, -141.87] [0.34, -140.87] [0.54, -139.87]
6.756250e+09 [-7.10, 21.64] [-6.90, 22.64] [-6.70, 23.64]
6.846200e+09 [-7.29, -137.91] [-7.09, -136.91] [-6.89, -135.91]
6.936150e+09 [-7.28, 59.71] [-7.08, 60.71] [-6.88, 61.71]
7.026100e+09 [-7.32, -100.62] [-7.12, -99.62] [-6.92, -98.62]
7.116050e+09 [-7.44, 97.60] [-7.24, 98.60] [-7.04, 99.60]
7.206000e+09 [-7.67, -63.21] [-7.47, -62.21] [-7.27, -61.21]
7.295950e+09 [-7.61, 136.57] [-7.41, 137.57] [-7.21, 138.57]
7.385900e+09 [-7.64, -24.47] [-7.44, -23.47] [-7.24, -22.47]
7.475850e+09 [-7.82, 174.52] [-7.62, 175.52] [-7.42, 176.52]
7.565800e+09 [-8.36, 14.75] [-8.16, 15.75] [-7.96, 16.75]
7.655750e+09 [-7.89, -147.04] [-7.69, -146.04] [-7.49, -145.04]
7.745700e+09 [-7.87, 54.24] [-7.67, 55.24] [-7.47, 56.24]
7.835650e+09 [-7.98, -108.40] [-7.78, -107.40] [-7.58, -106.40]
7.925600e+09 [-8.44, 93.22] [-8.24, 94.22] [-8.04, 95.22]
8.015550e+09 [-8.23, -72.02] [-8.03, -71.02] [-7.83, -70.02]
8.105500e+09 [-7.98, 132.61] [-7.78, 133.61] [-7.58, 134.61]
8.195450e+09 [-8.00, -31.07] [-7.80, -30.07] [-7.60, -29.07]
8.285400e+09 [-8.17, 167.10] [-7.97, 168.10] [-7.77, 169.10]
8.375350e+09 [-8.43, 4.15] [-8.23, 5.15] [-8.03, 6.15]
8.465300e+09 [-8.28, -152.43] [-8.08, -151.43] [-7.88, -150.43]
8.555250e+09 [-8.14, 45.35] [-7.94, 46.35] [-7.74, 47.35]
8.645200e+09 [-8.53, -119.57] [-8.33, -118.57] [-8.13, -117.57]
8.735150e+09 [-8.58, 78.70] [-8.38, 79.70] [-8.18, 80.70]
8.825100e+09 [-9.08, -74.51] [-8.88, -73.51] [-8.68, -72.51]
8.915050e+09 [-8.81, 119.27] [-8.61, 120.27] [-8.41, 121.27]
9.005000e+09 [-9.26, -39.71] [-9.06, -38.71] [-8.86, -37.71]
9.094950e+09 [-8.74, 157.47] [-8.54, 158.47] [-8.34, 159.47]
9.184900e+09 [-9.42, 3.08] [-9.22, 4.08] [-9.02, 5.08]
9.274850e+09 [-9.93, -158.54] [-9.73, -157.54] [-9.53, -156.54]
9.364800e+09 [-8.78, 39.74] [-8.58, 40.74] [-8.38, 41.74]
9.454750e+09 [-8.75, -126.46] [-8.55, -125.46] [-8.35, -124.46]
9.544700e+09 [-8.83, 76.81] [-8.63, 77.81] [-8.43, 78.81]
9.634650e+09 [-9.13, -79.75] [-8.93, -78.75] [-8.73, -77.75]
9.724600e+09 [-8.70, 115.33] [-8.50, 116.33] [-8.30, 117.33]
9.814550e+09 [-8.82, -49.56] [-8.62, -48.56] [-8.42, -47.56]
9.904500e+09 [-9.72, 146.71] [-9.52, 147.71] [-9.32, 148.71]
9.994450e+09 [-9.79, -12.32] [-9.59, -11.32] [-9.39, -10.32]
1.008440e+10 [-9.06, -168.64] [-8.86, -167.64] [-8.66, -166.64]
1.017435e+10 [-9.15, 27.64] [-8.95, 28.64] [-8.75, 29.64]
1.026430e+10 [-10.24, -132.63] [-10.04, -131.63] [-9.84, -130.63]
1.035425e+10 [-11.15, 67.68] [-10.95, 68.68] [-10.75, 69.68]
1.044420e+10 [-9.38, -91.77] [-9.18, -90.77] [-8.98, -89.77]
1.053415e+10 [-9.41, 107.72] [-9.21, 108.72] [-9.01, 109.72]
1.062410e+10 [-9.70, -54.36] [-9.50, -53.36] [-9.30, -52.36]
1.071405e+10 [-10.44, 146.48] [-10.24, 147.48] [-10.04, 148.48]
1.080400e+10 [-9.85, -15.70] [-9.65, -14.70] [-9.45, -13.70]
1.089395e+10 [-9.59, -176.19] [-9.39, -175.19] [-9.19, -174.19]
1.098390e+10 [-9.74, 20.51] [-9.54, 21.51] [-9.34, 22.51]
1.107385e+10 [-10.08, -142.15] [-9.88, -141.15] [-9.68, -140.15]
1.116380e+10 [-10.13, 60.87] [-9.93, 61.87] [-9.73, 62.87]
1.125375e+10 [-10.50, -100.44] [-10.30, -99.44] [-10.10, -98.44]
1.134370e+10 [-10.39, 97.53] [-10.19, 98.53] [-9.99, 99.53]
1.143365e+10 [-10.25, -64.75] [-10.05, -63.75] [-9.85, -62.75]
1.152360e+10 [-10.10, 138.16] [-9.90, 139.16] [-9.70, 140.16]
1.161355e+10 [-10.24, -21.96] [-10.04, -20.96] [-9.84, -19.96]
1.170350e+10 [-10.07, 172.70] [-9.87, 173.70] [-9.67, 174.70]
1.179345e+10 [-10.50, 9.27] [-10.30, 10.27] [-10.10, 11.27]
1.188340e+10 [-9.93, -144.54] [-9.73, -143.54] [-9.53, -142.54]
1.197335e+10 [-9.94, 50.98] [-9.74, 51.98] [-9.54, 52.98]
1.206330e+10 [-9.87, -110.57] [-9.67, -109.57] [-9.47, -108.57]
1.215325e+10 [-9.92, 87.05] [-9.72, 88.05] [-9.52, 89.05]
1.224320e+10 [-10.55, -73.49] [-10.35, -72.49] [-10.15, -71.49]
1.233315e+10 [-10.04, 125.50] [-9.84, 126.50] [-9.64, 127.50]
1.242310e+10 [-10.04, -39.05] [-9.84, -38.05] [-9.64, -37.05]
1.251305e+10 [-10.40, 161.53] [-10.20, 162.53] [-10.00, 163.53]
1.260300e+10 [-10.48, 0.07] [-10.28, 1.07] [-10.08, 2.07]
1.269295e+10 [-10.27, -161.35] [-10.07, -160.35] [-9.87, -159.35]
1.278290e+10 [-10.58, 37.26] [-10.38, 38.26] [-10.18, 39.26]
1.287285e+10 [-10.71, -122.79] [-10.51, -121.79] [-10.31, -120.79]
1.296280e+10 [-10.40, 74.02] [-10.20, 75.02] [-10.00, 76.02]
1.305275e+10 [-10.48, -88.60] [-10.28, -87.60] [-10.08, -86.60]
1.314270e+10 [-10.65, 111.49] [-10.45, 112.49] [-10.25, 113.49]
1.323265e+10 [-10.72, -51.56] [-10.52, -50.56] [-10.32, -49.56]
1.332260e+10 [-10.71, 146.85] [-10.51, 147.85] [-10.31, 148.85]
1.341255e+10 [-10.92, -13.84] [-10.72, -12.84] [-10.52, -11.84]
1.350250e+10 [-11.25, -176.04] [-11.05, -175.04] [-10.85, -174.04]
1.359245e+10 [-11.17, 21.52] [-10.97, 22.52] [-10.77, 23.52]
1.368240e+10 [-10.99, -138.56] [-10.79, -137.56] [-10.59, -136.56]
1.377235e+10 [-11.23, 62.55] [-11.03, 63.55] [-10.83, 64.55]
1.386230e+10 [-11.41, -100.93] [-11.21, -99.93] [-11.01, -98.93]
1.395225e+10 [-11.30, 96.45] [-11.10, 97.45] [-10.90, 98.45]
1.404220e+10 [-11.12, -66.20] [-10.92, -65.20] [-10.72, -64.20]
1.413215e+10 [-11.31, 133.88] [-11.11, 134.88] [-10.91, 135.88]
1.422210e+10 [-11.52, -27.81] [-11.32, -26.81] [-11.12, -25.81]
1.431205e+10 [-11.54, 168.14] [-11.34, 169.14] [-11.14, 170.14]
1.440200e+10 [-11.70, 4.59] [-11.50, 5.59] [-11.30, 6.59]
1.449195e+10 [-11.76, -155.54] [-11.56, -154.54] [-11.36, -153.54]
1.458190e+10 [-12.01, 41.93] [-11.81, 42.93] [-11.61, 43.93]
1.467185e+10 [-12.09, -120.18] [-11.89, -119.18] [-11.69, -118.18]
1.476180e+10 [-12.90, 79.15] [-12.70, 80.15] [-12.50, 81.15]
1.485175e+10 [-12.77, -79.29] [-12.57, -78.29] [-12.37, -77.29]
1.494170e+10 [-12.59, 115.96] [-12.39, 116.96] [-12.19, 117.96]
1.503165e+10 [-12.96, -47.37] [-12.76, -46.37] [-12.56, -45.37]
1.512160e+10 [-13.01, 153.61] [-12.81, 154.61] [-12.61, 155.61]
1.521155e+10 [-13.54, -12.27] [-13.34, -11.27] [-13.14, -10.27]
1.530150e+10 [-13.63, -169.71] [-13.43, -168.71] [-13.23, -167.71]
1.539145e+10 [-13.31, 33.69] [-13.11, 34.69] [-12.91, 35.69]
1.548140e+10 [-13.30, -133.47] [-13.10, -132.47] [-12.90, -131.47]
1.557135e+10 [-16.09, 67.39] [-15.89, 68.39] [-15.69, 69.39]
1.566130e+10 [-14.04, -91.56] [-13.84, -90.56] [-13.64, -89.56]
1.575125e+10 [-13.68, 113.15] [-13.48, 114.15] [-13.28, 115.15]
1.584120e+10 [-13.59, -54.42] [-13.39, -53.42] [-13.19, -52.42]
1.593115e+10 [-15.14, 150.35] [-14.94, 151.35] [-14.74, 152.35]
1.602110e+10 [-13.69, -22.09] [-13.49, -21.09] [-13.29, -20.09]
1.611105e+10 [-13.65, -167.81] [-13.45, -166.81] [-13.25, -165.81]
1.620100e+10 [-13.38, 21.73] [-13.18, 22.73] [-12.98, 23.73]
1.629095e+10 [-13.80, -141.67] [-13.60, -140.67] [-13.40, -139.67]
1.638090e+10 [-13.84, 47.70] [-13.64, 48.70] [-13.44, 49.70]
1.647085e+10 [-13.33, -102.62] [-13.13, -101.62] [-12.93, -100.62]
1.656080e+10 [-13.99, 89.20] [-13.79, 90.20] [-13.59, 91.20]
1.665075e+10 [-13.50, -71.68] [-13.30, -70.68] [-13.10, -69.68]
1.674070e+10 [-13.71, 115.84] [-13.51, 116.84] [-13.31, 117.84]
1.683065e+10 [-14.81, -32.28] [-14.61, -31.28] [-14.41, -30.28]
1.692060e+10 [-14.42, 160.45] [-14.22, 161.45] [-14.02, 162.45]
1.701055e+10 [-14.31, -5.21] [-14.11, -4.21] [-13.91, -3.21]
1.710050e+10 [-14.64, -172.29] [-14.44, -171.29] [-14.24, -170.29]
1.719045e+10 [-14.11, 29.59] [-13.91, 30.59] [-13.71, 31.59]
1.728040e+10 [-15.94, -142.08] [-15.74, -141.08] [-15.54, -140.08]
1.737035e+10 [-15.15, 73.30] [-14.95, 74.30] [-14.75, 75.30]
1.746030e+10 [-14.95, -110.17] [-14.75, -109.17] [-14.55, -108.17]
1.755025e+10 [-18.25, 99.43] [-18.05, 100.43] [-17.85, 101.43]
1.764020e+10 [-17.81, -53.93] [-17.61, -52.93] [-17.41, -51.93]
1.773015e+10 [-15.44, 132.71] [-15.24, 133.71] [-15.04, 134.71]
1.782010e+10 [-19.82, -32.92] [-19.62, -31.92] [-19.42, -30.92]
1.791005e+10 [-17.71, -166.10] [-17.51, -165.10] [-17.31, -164.10]
1.800000e+10 [-16.34, 11.86] [-16.14, 12.86] [-15.94, 13.86]
