FUNIT: Hz
UNIT: dB
6.756250e+09 [-5.67, 152.59] [-5.47, 153.59] [-5.27, 154.59]
6.846200e+09 [-5.90, 8.23] [-5.70, 9.23] [-5.50, 10.23]
6.936150e+09 [-5.82, -137.94] [-5.62, -136.94] [-5.42, -135.94]
7.026100e+09 [-5.84, 76.48] [-5.64, 77.48] [-5.44, 78.48]
7.116050e+09 [-5.99, -69.35] [-5.79, -68.35] [-5.59, -67.35]
7.206000e+09 [-6.19, 144.93] [-5.99, 145.93] [-5.79, 146.93]
7.295950e+09 [-6.14, 0.92] [-5.94, 1.92] [-5.74, 2.92]
7.385900e+09 [-6.18, -144.42] [-5.98, -143.42] [-5.78, -142.42]
7.475850e+09 [-6.35, 70.18] [-6.15, 71.18] [-5.95, 72.18]
7.565800e+09 [-6.76, -75.02] [-6.56, -74.02] [-6.36, -73.02]
7.655750e+09 [-6.42, 140.10] [-6.22, 141.10] [-6.02, 142.10]
7.745700e+09 [-6.39, -4.02] [-6.19, -3.02] [-5.99, -2.02]
7.835650e+09 [-6.39, -149.47] [-6.19, -148.47] [-5.99, -147.47]
7.925600e+09 [-6.70, 65.69] [-6.50, 66.69] [-6.30, 67.69]
8.015550e+09 [-6.65, -82.31] [-6.45, -81.31] [-6.25, -80.31]
8.105500e+09 [-6.39, 137.33] [-6.19, 138.33] [-5.99, 139.33]
8.195450e+09 [-6.39, -10.38] [-6.19, -9.38] [-5.99, -8.38]
8.285400e+09 [-6.54, -156.34] [-6.34, -155.34] [-6.14, -154.34]
8.375350e+09 [-6.76, 55.93] [-6.56, 56.93] [-6.36, 57.93]
8.465300e+09 [-6.52, -85.66] [-6.32, -84.66] [-6.12, -83.66]
8.555250e+09 [-6.47, 127.69] [-6.27, 128.69] [-6.07, 129.69]
8.645200e+09 [-6.62, -20.82] [-6.42, -19.82] [-6.22, -18.82]
8.735150e+09 [-6.87, -168.07] [-6.67, -167.07] [-6.47, -166.07]
8.825100e+09 [-7.11, 53.45] [-6.91, 54.45] [-6.71, 55.45]
8.915050e+09 [-7.30, -95.47] [-7.10, -94.47] [-6.90, -93.47]
9.005000e+09 [-7.26, 121.52] [-7.06, 122.52] [-6.86, 123.52]
9.094950e+09 [-7.03, -28.99] [-6.83, -27.99] [-6.63, -26.99]
9.184900e+09 [-7.37, -166.80] [-7.17, -165.80] [-6.97, -164.80]
9.274850e+09 [-8.53, 47.11] [-8.33, 48.11] [-8.13, 49.11]
9.364800e+09 [-6.98, -99.01] [-6.78, -98.01] [-6.58, -97.01]
9.454750e+09 [-7.15, 110.01] [-6.95, 111.01] [-6.75, 112.01]
9.544700e+09 [-7.04, -30.87] [-6.84, -29.87] [-6.64, -28.87]
9.634650e+09 [-7.50, -172.98] [-7.30, -171.98] [-7.10, -170.98]
9.724600e+09 [-6.93, 39.13] [-6.73, 40.13] [-6.53, 41.13]
9.814550e+09 [-6.99, -110.77] [-6.79, -109.77] [-6.59, -108.77]
9.904500e+09 [-7.74, 103.28] [-7.54, 104.28] [-7.34, 105.28]
9.994450e+09 [-7.98, -42.58] [-7.78, -41.58] [-7.58, -40.58]
1.008440e+10 [-7.28, 177.38] [-7.08, 178.38] [-6.88, 179.38]
1.017435e+10 [-7.27, 28.89] [-7.07, 29.89] [-6.87, 30.89]
1.026430e+10 [-8.48, -114.85] [-8.28, -113.85] [-8.08, -112.85]
1.035425e+10 [-9.20, 95.79] [-9.00, 96.79] [-8.80, 97.79]
1.044420e+10 [-7.47, -43.99] [-7.27, -42.99] [-7.07, -41.99]
1.053415e+10 [-7.49, 170.05] [-7.29, 171.05] [-7.09, 172.05]
1.062410e+10 [-7.76, 24.28] [-7.56, 25.28] [-7.36, 26.28]
1.071405e+10 [-8.37, -120.73] [-8.17, -119.73] [-7.97, -118.73]
1.080400e+10 [-8.07, 94.67] [-7.87, 95.67] [-7.67, 96.67]
1.089395e+10 [-7.73, -50.90] [-7.53, -49.90] [-7.33, -48.90]
1.098390e+10 [-7.82, 160.99] [-7.62, 161.99] [-7.42, 162.99]
1.107385e+10 [-8.14, 13.90] [-7.94, 14.90] [-7.74, 15.90]
1.116380e+10 [-8.26, -127.00] [-8.06, -126.00] [-7.86, -125.00]
1.125375e+10 [-8.49, 86.27] [-8.29, 87.27] [-8.09, 88.27]
1.134370e+10 [-8.43, -60.66] [-8.23, -59.66] [-8.03, -58.66]
1.143365e+10 [-8.32, 154.43] [-8.12, 155.43] [-7.92, 156.43]
1.152360e+10 [-8.11, 12.28] [-7.91, 13.28] [-7.71, 14.28]
1.161355e+10 [-8.29, -133.06] [-8.09, -132.06] [-7.89, -131.06]
1.170350e+10 [-8.08, 79.05] [-7.88, 80.05] [-7.68, 81.05]
1.179345e+10 [-8.31, -69.67] [-8.11, -68.67] [-7.91, -67.67]
1.188340e+10 [-7.97, 151.45] [-7.77, 152.45] [-7.57, 153.45]
1.197335e+10 [-7.91, 2.87] [-7.71, 3.87] [-7.51, 4.87]
1.206330e+10 [-7.94, -142.86] [-7.74, -141.86] [-7.54, -140.86]
1.215325e+10 [-7.87, 70.63] [-7.67, 71.63] [-7.47, 72.63]
1.224320e+10 [-8.40, -74.35] [-8.20, -73.35] [-8.00, -72.35]
1.233315e+10 [-8.03, 139.38] [-7.83, 140.38] [-7.63, 141.38]
1.242310e+10 [-7.94, -8.66] [-7.74, -7.66] [-7.54, -6.66]
1.251305e+10 [-8.35, -154.32] [-8.15, -153.32] [-7.95, -152.32]
1.260300e+10 [-8.59, 60.70] [-8.39, 61.70] [-8.19, 62.70]
1.269295e+10 [-8.21, -84.65] [-8.01, -83.65] [-7.81, -82.65]
1.278290e+10 [-8.42, 129.32] [-8.22, 130.32] [-8.02, 131.32]
1.287285e+10 [-8.49, -16.47] [-8.29, -15.47] [-8.09, -14.47]
1.296280e+10 [-8.22, -162.45] [-8.02, -161.45] [-7.82, -160.45]
1.305275e+10 [-8.26, 50.43] [-8.06, 51.43] [-7.86, 52.43]
1.314270e+10 [-8.44, -94.37] [-8.24, -93.37] [-8.04, -92.37]
1.323265e+10 [-8.50, 118.29] [-8.30, 119.29] [-8.10, 120.29]
1.332260e+10 [-8.55, -27.87] [-8.35, -26.87] [-8.15, -25.87]
1.341255e+10 [-8.70, -172.95] [-8.50, -171.95] [-8.30, -170.95]
1.350250e+10 [-8.90, 40.30] [-8.70, 41.30] [-8.50, 42.30]
1.359245e+10 [-8.93, -106.94] [-8.73, -105.94] [-8.53, -104.94]
1.368240e+10 [-8.75, 108.88] [-8.55, 109.88] [-8.35, 110.88]
1.377235e+10 [-8.84, -34.49] [-8.64, -33.49] [-8.44, -32.49]
1.386230e+10 [-9.15, 177.66] [-8.95, 178.66] [-8.75, 179.66]
1.395225e+10 [-9.14, 30.94] [-8.94, 31.94] [-8.74, 32.94]
1.404220e+10 [-8.79, -115.98] [-8.59, -114.98] [-8.39, -113.98]
1.413215e+10 [-8.97, 100.64] [-8.77, 101.64] [-8.57, 102.64]
1.422210e+10 [-9.17, -45.74] [-8.97, -44.74] [-8.77, -43.74]
1.431205e+10 [-9.01, 165.50] [-8.81, 166.50] [-8.61, 167.50]
1.440200e+10 [-9.13, 16.88] [-8.93, 17.88] [-8.73, 18.88]
1.449195e+10 [-9.21, -126.34] [-9.01, -125.34] [-8.81, -124.34]
1.458190e+10 [-9.53, 87.44] [-9.33, 88.44] [-9.13, 89.44]
1.467185e+10 [-9.21, -60.64] [-9.01, -59.64] [-8.81, -58.64]
1.476180e+10 [-9.83, 153.16] [-9.63, 154.16] [-9.43, 155.16]
1.485175e+10 [-10.39, 10.19] [-10.19, 11.19] [-9.99, 12.19]
1.494170e+10 [-9.69, -138.19] [-9.49, -137.19] [-9.29, -136.19]
