FUNIT: Hz
UNIT: dB
1.662368e+08 [-40.82, -161.61] [-40.62, -160.61] [-40.42, -159.61]
1.725852e+08 [-40.94, 148.79] [-40.74, 149.79] [-40.54, 150.79]
1.791760e+08 [-40.99, 98.26] [-40.79, 99.26] [-40.59, 100.26]
1.860186e+08 [-40.95, 45.10] [-40.75, 46.10] [-40.55, 47.10]
1.931224e+08 [-41.08, -10.31] [-40.88, -9.31] [-40.68, -8.31]
2.004975e+08 [-41.24, -65.84] [-41.04, -64.84] [-40.84, -63.84]
2.081543e+08 [-41.05, -123.43] [-40.85, -122.43] [-40.65, -121.43]
2.161035e+08 [-40.79, 174.32] [-40.59, 175.32] [-40.39, 176.32]
2.243562e+08 [-40.89, 109.22] [-40.69, 110.22] [-40.49, 111.22]
2.329241e+08 [-41.02, 43.28] [-40.82, 44.28] [-40.62, 45.28]
2.418192e+08 [-41.17, -25.08] [-40.97, -24.08] [-40.77, -23.08]
2.510540e+08 [-41.24, -94.23] [-41.04, -93.23] [-40.84, -92.23]
2.606415e+08 [-40.98, -167.57] [-40.78, -166.57] [-40.58, -165.57]
2.705951e+08 [-40.96, 115.13] [-40.76, 116.13] [-40.56, 117.13]
2.809288e+08 [-40.96, 34.80] [-40.76, 35.80] [-40.56, 36.80]
2.916571e+08 [-41.40, -47.58] [-41.20, -46.58] [-41.00, -45.58]
3.027952e+08 [-41.34, -129.20] [-41.14, -128.20] [-40.94, -127.20]
3.143586e+08 [-40.84, 141.26] [-40.64, 142.26] [-40.44, 143.26]
3.263636e+08 [-40.97, 46.87] [-40.77, 47.87] [-40.57, 48.87]
3.388271e+08 [-41.41, -47.96] [-41.21, -46.96] [-41.01, -45.96]
3.517665e+08 [-41.17, -144.47] [-40.97, -143.47] [-40.77, -142.47]
3.652000e+08 [-41.22, 111.32] [-41.02, 112.32] [-40.82, 113.32]
3.791466e+08 [-40.99, 5.65] [-40.79, 6.65] [-40.59, 7.65]
3.936258e+08 [-41.42, -107.12] [-41.22, -106.12] [-41.02, -105.12]
4.086579e+08 [-41.41, 142.03] [-41.21, 143.03] [-41.01, 144.03]
4.242641e+08 [-40.65, 20.24] [-40.45, 21.24] [-40.25, 22.24]
4.404662e+08 [-41.80, -104.40] [-41.60, -103.40] [-41.40, -102.40]
4.572871e+08 [-41.18, 130.93] [-40.98, 131.93] [-40.78, 132.93]
4.747504e+08 [-41.10, -4.39] [-40.90, -3.39] [-40.70, -2.39]
4.928806e+08 [-41.20, -142.93] [-41.00, -141.93] [-40.80, -140.93]
5.117031e+08 [-41.71, 74.51] [-41.51, 75.51] [-41.31, 76.51]
5.312445e+08 [-40.91, -75.65] [-40.71, -74.65] [-40.51, -73.65]
5.515321e+08 [-41.66, 129.12] [-41.46, 130.12] [-41.26, 131.12]
5.725945e+08 [-41.12, -28.25] [-40.92, -27.25] [-40.72, -26.25]
5.944612e+08 [-41.12, 162.06] [-40.92, 163.06] [-40.72, 164.06]
