FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.50, -124.50] [-0.30, -123.50] [-0.10, -122.50]
1.791760e+08 [-0.51, -142.85] [-0.31, -141.85] [-0.11, -140.85]
1.860186e+08 [-0.51, -162.02] [-0.31, -161.02] [-0.11, -160.02]
1.931224e+08 [-0.52, 178.09] [-0.32, 179.09] [-0.12, 180.09]
2.004975e+08 [-0.53, 157.52] [-0.33, 158.52] [-0.13, 159.52]
2.081543e+08 [-0.53, 136.09] [-0.33, 137.09] [-0.13, 138.09]
2.161035e+08 [-0.55, 113.92] [-0.35, 114.92] [-0.15, 115.92]
2.243562e+08 [-0.53, 90.83] [-0.33, 91.83] [-0.13, 92.83]
2.329241e+08 [-0.55, 66.85] [-0.35, 67.85] [-0.15, 68.85]
2.418192e+08 [-0.56, 41.96] [-0.36, 42.96] [-0.16, 43.96]
2.510540e+08 [-0.56, 16.16] [-0.36, 17.16] [-0.16, 18.16]
2.606415e+08 [-0.57, -10.59] [-0.37, -9.59] [-0.17, -8.59]
2.705951e+08 [-0.58, -38.45] [-0.38, -37.45] [-0.18, -36.45]
2.809288e+08 [-0.58, -67.33] [-0.38, -66.33] [-0.18, -65.33]
2.916571e+08 [-0.59, -97.28] [-0.39, -96.28] [-0.19, -95.28]
3.027952e+08 [-0.60, -128.42] [-0.40, -127.42] [-0.20, -126.42]
3.143586e+08 [-0.61, -160.72] [-0.41, -159.72] [-0.21, -158.72]
3.263636e+08 [-0.62, 165.72] [-0.42, 166.72] [-0.22, 167.72]
3.388271e+08 [-0.63, 130.91] [-0.43, 131.91] [-0.23, 132.91]
3.517665e+08 [-0.63, 94.76] [-0.43, 95.76] [-0.23, 96.76]
3.652000e+08 [-0.64, 57.22] [-0.44, 58.22] [-0.24, 59.22]
3.791466e+08 [-0.65, 18.27] [-0.45, 19.27] [-0.25, 20.27]
3.936258e+08 [-0.66, -22.21] [-0.46, -21.21] [-0.26, -20.21]
4.086579e+08 [-0.67, -64.21] [-0.47, -63.21] [-0.27, -62.21]
4.242641e+08 [-0.68, -107.82] [-0.48, -106.82] [-0.28, -105.82]
4.404662e+08 [-0.68, -153.04] [-0.48, -152.04] [-0.28, -151.04]
4.572871e+08 [-0.69, 159.97] [-0.49, 160.97] [-0.29, 161.97]
4.747504e+08 [-0.70, 111.15] [-0.50, 112.15] [-0.30, 113.15]
4.928806e+08 [-0.72, 60.52] [-0.52, 61.52] [-0.32, 62.52]
5.117031e+08 [-0.72, 7.95] [-0.52, 8.95] [-0.32, 9.95]
5.312445e+08 [-0.73, -46.64] [-0.53, -45.64] [-0.33, -44.64]
5.515321e+08 [-0.75, -103.30] [-0.55, -102.30] [-0.35, -101.30]
5.725945e+08 [-0.75, -162.10] [-0.55, -161.10] [-0.35, -160.10]
5.944612e+08 [-0.77, 136.80] [-0.57, 137.80] [-0.37, 138.80]
6.171630e+08 [-0.78, 73.36] [-0.58, 74.36] [-0.38, 75.36]
6.407317e+08 [-0.79, 7.56] [-0.59, 8.56] [-0.39, 9.56]
6.652006e+08 [-0.80, -60.78] [-0.60, -59.78] [-0.40, -58.78]
6.906038e+08 [-0.81, -131.74] [-0.61, -130.74] [-0.41, -129.74]
7.169772e+08 [-0.82, 154.63] [-0.62, 155.63] [-0.42, 156.63]
7.443577e+08 [-0.83, 78.13] [-0.63, 79.13] [-0.43, 80.13]
7.727839e+08 [-0.85, -1.23] [-0.65, -0.23] [-0.45, 0.77]
8.022956e+08 [-0.86, -83.59] [-0.66, -82.59] [-0.46, -81.59]
8.329344e+08 [-0.87, -169.15] [-0.67, -168.15] [-0.47, -167.15]
8.647432e+08 [-0.89, 101.97] [-0.69, 102.97] [-0.49, 103.97]
8.977667e+08 [-0.91, 9.75] [-0.71, 10.75] [-0.51, 11.75]
9.320514e+08 [-0.92, -85.94] [-0.72, -84.94] [-0.52, -83.94]
9.676454e+08 [-0.93, 174.61] [-0.73, 175.61] [-0.53, 176.61]
1.004599e+09 [-0.95, 71.42] [-0.75, 72.42] [-0.55, 73.42]
1.042963e+09 [-0.97, -35.62] [-0.77, -34.62] [-0.57, -33.62]
1.082793e+09 [-0.97, -146.86] [-0.77, -145.86] [-0.57, -144.86]
1.124143e+09 [-0.99, 97.64] [-0.79, 98.64] [-0.59, 99.64]
1.167073e+09 [-1.01, -22.18] [-0.81, -21.18] [-0.61, -20.18]
1.211642e+09 [-1.02, -146.67] [-0.82, -145.67] [-0.62, -144.67]
1.257913e+09 [-1.04, 84.14] [-0.84, 85.14] [-0.64, 86.14]
1.305952e+09 [-1.06, -49.96] [-0.86, -48.96] [-0.66, -47.96]
1.355825e+09 [-1.08, 170.77] [-0.88, 171.77] [-0.68, 172.77]
1.407602e+09 [-1.09, 26.24] [-0.89, 27.24] [-0.69, 28.24]
1.461357e+09 [-1.12, -123.84] [-0.92, -122.84] [-0.72, -121.84]
1.517164e+09 [-1.13, 80.32] [-0.93, 81.32] [-0.73, 82.32]
1.575103e+09 [-1.16, -81.46] [-0.96, -80.46] [-0.76, -79.46]
1.635254e+09 [-1.17, 110.63] [-0.97, 111.63] [-0.77, 112.63]
1.697703e+09 [-1.19, -63.76] [-0.99, -62.76] [-0.79, -61.76]
1.762536e+09 [-1.22, 115.40] [-1.02, 116.40] [-0.82, 117.40]
1.829845e+09 [-1.24, -72.61] [-1.04, -71.61] [-0.84, -70.61]
1.899725e+09 [-1.26, 92.53] [-1.06, 93.53] [-0.86, 94.53]
1.972273e+09 [-1.29, -110.30] [-1.09, -109.30] [-0.89, -108.30]
2.047592e+09 [-1.30, 39.61] [-1.10, 40.61] [-0.90, 41.61]
2.125787e+09 [-1.35, -178.78] [-1.15, -177.78] [-0.95, -176.78]
2.206969e+09 [-1.35, -45.46] [-1.15, -44.46] [-0.95, -43.46]
2.291250e+09 [-1.39, 79.53] [-1.19, 80.53] [-0.99, 81.53]
2.378751e+09 [-1.42, -164.93] [-1.22, -163.93] [-1.02, -162.93]
2.469592e+09 [-1.42, -58.32] [-1.22, -57.32] [-1.02, -56.32]
2.563903e+09 [-1.47, 38.48] [-1.27, 39.48] [-1.07, 40.48]
2.661816e+09 [-1.52, 124.94] [-1.32, 125.94] [-1.12, 126.94]
2.763468e+09 [-1.52, -158.69] [-1.32, -157.69] [-1.12, -156.69]
2.869001e+09 [-1.55, -93.27] [-1.35, -92.27] [-1.15, -91.27]
2.978565e+09 [-1.61, -38.98] [-1.41, -37.98] [-1.21, -36.98]
3.092313e+09 [-1.64, 3.30] [-1.44, 4.30] [-1.24, 5.30]
3.210405e+09 [-1.67, 33.71] [-1.47, 34.71] [-1.27, 35.71]
3.333007e+09 [-1.69, 51.44] [-1.49, 52.44] [-1.29, 53.44]
3.460290e+09 [-1.71, 56.30] [-1.51, 57.30] [-1.31, 58.30]
3.592435e+09 [-1.74, 47.68] [-1.54, 48.68] [-1.34, 49.68]
3.729626e+09 [-1.77, 24.83] [-1.57, 25.83] [-1.37, 26.83]
3.872056e+09 [-1.80, -12.85] [-1.60, -11.85] [-1.40, -10.85]
4.019925e+09 [-1.84, -65.73] [-1.64, -64.73] [-1.44, -63.73]
4.173442e+09 [-1.90, -134.28] [-1.70, -133.28] [-1.50, -132.28]
4.332821e+09 [-1.95, 140.73] [-1.75, 141.73] [-1.55, 142.73]
4.498286e+09 [-2.08, 39.10] [-1.88, 40.10] [-1.68, 41.10]
4.670071e+09 [-2.05, -80.03] [-1.85, -79.03] [-1.65, -78.03]
4.848415e+09 [-2.08, 141.58] [-1.88, 142.58] [-1.68, 143.58]
5.033571e+09 [-2.25, -15.19] [-2.05, -14.19] [-1.85, -13.19]
5.225797e+09 [-2.38, 168.45] [-2.18, 169.45] [-1.98, 170.45]
5.425364e+09 [-2.41, -28.74] [-2.21, -27.74] [-2.01, -26.74]
5.632553e+09 [-2.68, 114.21] [-2.48, 115.21] [-2.28, 116.21]
5.847653e+09 [-2.85, -125.77] [-2.65, -124.77] [-2.45, -123.77]
6.070969e+09 [-2.87, -27.91] [-2.67, -26.91] [-2.47, -25.91]
6.302812e+09 [-2.70, 45.85] [-2.50, 46.85] [-2.30, 47.85]
6.543509e+09 [-2.61, 94.44] [-2.41, 95.44] [-2.21, 96.44]
6.793398e+09 [-2.75, 117.50] [-2.55, 118.50] [-2.35, 119.50]
7.052830e+09 [-2.79, 112.90] [-2.59, 113.90] [-2.39, 114.90]
7.322170e+09 [-2.88, 81.07] [-2.68, 82.07] [-2.48, 83.07]
7.601795e+09 [-2.96, 21.58] [-2.76, 22.58] [-2.56, 23.58]
7.892099e+09 [-2.99, -68.26] [-2.79, -67.26] [-2.59, -66.26]
8.193489e+09 [-2.96, 170.47] [-2.76, 171.47] [-2.56, 172.47]
8.506389e+09 [-2.87, 16.63] [-2.67, 17.63] [-2.47, 18.63]
8.831239e+09 [-3.05, -169.90] [-2.85, -168.90] [-2.65, -167.90]
9.168493e+09 [-3.11, -30.49] [-2.91, -29.49] [-2.71, -28.49]
9.518628e+09 [-3.11, 71.64] [-2.91, 72.64] [-2.71, 73.64]
9.882133e+09 [-3.19, 136.81] [-2.99, 137.81] [-2.79, 138.81]
1.025952e+10 [-3.27, 163.92] [-3.07, 164.92] [-2.87, 165.92]
1.065132e+10 [-3.48, 150.34] [-3.28, 151.34] [-3.08, 152.34]
1.105808e+10 [-3.53, 94.83] [-3.33, 95.83] [-3.13, 96.83]
1.148038e+10 [-3.85, -2.96] [-3.65, -1.96] [-3.45, -0.96]
1.191880e+10 [-4.19, -145.56] [-3.99, -144.56] [-3.79, -143.56]
1.237396e+10 [-4.08, 28.77] [-3.88, 29.77] [-3.68, 30.77]
1.284651e+10 [-4.24, 147.92] [-4.04, 148.92] [-3.84, 149.92]
1.333711e+10 [-4.25, -138.33] [-4.05, -137.33] [-3.85, -136.33]
1.384643e+10 [-4.10, -120.06] [-3.90, -119.06] [-3.70, -118.06]
1.437521e+10 [-3.92, -158.06] [-3.72, -157.06] [-3.52, -156.06]
1.492419e+10 [-4.00, 109.61] [-3.80, 110.61] [-3.60, 111.61]
1.549412e+10 [-4.20, -43.19] [-4.00, -42.19] [-3.80, -41.19]
1.608583e+10 [-4.69, 106.36] [-4.49, 107.36] [-4.29, 108.36]
1.670013e+10 [-4.36, -167.84] [-4.16, -166.84] [-3.96, -165.84]
1.733789e+10 [-5.15, -146.94] [-4.95, -145.94] [-4.75, -144.94]
1.800000e+10 [-4.54, 163.11] [-4.34, 164.11] [-4.14, 165.11]
