FUNIT: Hz
UNIT: dB
1.662368e+08 [-43.37, -160.25] [-43.17, -159.25] [-42.97, -158.25]
1.725852e+08 [-43.15, -10.65] [-42.95, -9.65] [-42.75, -8.65]
1.791760e+08 [-44.21, 117.31] [-44.01, 118.31] [-43.81, 119.31]
1.860186e+08 [-44.30, -169.45] [-44.10, -168.45] [-43.90, -167.45]
1.931224e+08 [-56.79, 68.79] [-56.59, 69.79] [-56.39, 70.79]
2.004975e+08 [-44.35, -93.56] [-44.15, -92.56] [-43.95, -91.56]
2.081543e+08 [-44.66, 156.48] [-44.46, 157.48] [-44.26, 158.48]
2.161035e+08 [-52.20, -56.79] [-52.00, -55.79] [-51.80, -54.79]
2.243562e+08 [-44.93, 103.33] [-44.73, 104.33] [-44.53, 105.33]
2.329241e+08 [-45.28, 164.61] [-45.08, 165.61] [-44.88, 166.61]
2.418192e+08 [-43.67, 45.13] [-43.47, 46.13] [-43.27, 47.13]
2.510540e+08 [-47.74, 58.90] [-47.54, 59.90] [-47.34, 60.90]
2.606415e+08 [-49.52, -109.04] [-49.32, -108.04] [-49.12, -107.04]
2.705951e+08 [-46.09, 163.00] [-45.89, 164.00] [-45.69, 165.00]
2.809288e+08 [-45.99, 115.78] [-45.79, 116.78] [-45.59, 117.78]
2.916571e+08 [-44.52, 81.95] [-44.32, 82.95] [-44.12, 83.95]
3.027952e+08 [-52.06, -53.91] [-51.86, -52.91] [-51.66, -51.91]
3.143586e+08 [-46.63, -156.31] [-46.43, -155.31] [-46.23, -154.31]
3.263636e+08 [-55.94, 63.88] [-55.74, 64.88] [-55.54, 65.88]
3.388271e+08 [-47.06, -133.23] [-46.86, -132.23] [-46.66, -131.23]
3.517665e+08 [-54.17, 32.58] [-53.97, 33.58] [-53.77, 34.58]
3.652000e+08 [-47.26, 43.17] [-47.06, 44.17] [-46.86, 45.17]
3.791466e+08 [-49.34, -111.81] [-49.14, -110.81] [-48.94, -109.81]
3.936258e+08 [-49.02, 78.72] [-48.82, 79.72] [-48.62, 80.72]
4.086579e+08 [-48.64, 172.40] [-48.44, 173.40] [-48.24, 174.40]
4.242641e+08 [-45.78, -59.13] [-45.58, -58.13] [-45.38, -57.13]
4.404662e+08 [-50.97, 55.94] [-50.77, 56.94] [-50.57, 57.94]
4.572871e+08 [-51.05, 87.70] [-50.85, 88.70] [-50.65, 89.70]
4.747504e+08 [-53.39, -137.80] [-53.19, -136.80] [-52.99, -135.80]
4.928806e+08 [-48.79, 143.81] [-48.59, 144.81] [-48.39, 145.81]
5.117031e+08 [-58.04, -113.75] [-57.84, -112.75] [-57.64, -111.75]
5.312445e+08 [-52.22, 49.48] [-52.02, 50.48] [-51.82, 51.48]
5.515321e+08 [-56.47, -16.61] [-56.27, -15.61] [-56.07, -14.61]
5.725945e+08 [-61.43, 63.57] [-61.23, 64.57] [-61.03, 65.57]
5.944612e+08 [-54.17, 82.33] [-53.97, 83.33] [-53.77, 84.33]
6.171630e+08 [-62.33, 85.87] [-62.13, 86.87] [-61.93, 87.87]
6.407317e+08 [-49.28, -120.00] [-49.08, -119.00] [-48.88, -118.00]
6.652006e+08 [-53.84, 117.15] [-53.64, 118.15] [-53.44, 119.15]
6.906038e+08 [-51.68, -51.51] [-51.48, -50.51] [-51.28, -49.51]
7.169772e+08 [-62.61, -173.16] [-62.41, -172.16] [-62.21, -171.16]
7.443577e+08 [-62.57, -146.27] [-62.37, -145.27] [-62.17, -144.27]
7.727839e+08 [-54.31, 3.28] [-54.11, 4.28] [-53.91, 5.28]
8.022956e+08 [-50.28, 162.34] [-50.08, 163.34] [-49.88, 164.34]
8.329344e+08 [-52.32, 72.94] [-52.12, 73.94] [-51.92, 74.94]
8.647432e+08 [-81.35, 20.26] [-81.15, 21.26] [-80.95, 22.26]
8.977667e+08 [-61.51, 165.15] [-61.31, 166.15] [-61.11, 167.15]
9.320514e+08 [-60.69, -28.41] [-60.49, -27.41] [-60.29, -26.41]
9.676454e+08 [-54.84, 33.32] [-54.64, 34.32] [-54.44, 35.32]
1.004599e+09 [-63.05, -62.02] [-62.85, -61.02] [-62.65, -60.02]
1.042963e+09 [-53.59, 143.91] [-53.39, 144.91] [-53.19, 145.91]
1.082793e+09 [-53.71, -158.52] [-53.51, -157.52] [-53.31, -156.52]
1.124143e+09 [-57.03, -83.74] [-56.83, -82.74] [-56.63, -81.74]
1.167073e+09 [-68.05, 173.46] [-67.85, 174.46] [-67.65, 175.46]
1.211642e+09 [-56.46, -20.66] [-56.26, -19.66] [-56.06, -18.66]
1.257913e+09 [-53.19, -81.09] [-52.99, -80.09] [-52.79, -79.09]
1.305952e+09 [-52.59, -115.79] [-52.39, -114.79] [-52.19, -113.79]
1.355825e+09 [-53.87, -35.26] [-53.67, -34.26] [-53.47, -33.26]
1.407602e+09 [-54.64, 154.92] [-54.44, 155.92] [-54.24, 156.92]
1.461357e+09 [-55.00, -149.58] [-54.80, -148.58] [-54.60, -147.58]
1.517164e+09 [-52.70, -80.75] [-52.50, -79.75] [-52.30, -78.75]
1.575103e+09 [-66.59, -45.16] [-66.39, -44.16] [-66.19, -43.16]
1.635254e+09 [-49.93, 73.95] [-49.73, 74.95] [-49.53, 75.95]
1.697703e+09 [-49.47, 76.06] [-49.27, 77.06] [-49.07, 78.06]
1.762536e+09 [-51.65, 81.15] [-51.45, 82.15] [-51.25, 83.15]
1.829845e+09 [-51.32, 113.33] [-51.12, 114.33] [-50.92, 115.33]
1.899725e+09 [-50.06, 38.50] [-49.86, 39.50] [-49.66, 40.50]
1.972273e+09 [-51.19, 90.31] [-50.99, 91.31] [-50.79, 92.31]
2.047592e+09 [-49.01, -16.08] [-48.81, -15.08] [-48.61, -14.08]
2.125787e+09 [-45.40, 69.59] [-45.20, 70.59] [-45.00, 71.59]
2.206969e+09 [-66.47, -49.96] [-66.27, -48.96] [-66.07, -47.96]
2.291250e+09 [-49.06, -78.87] [-48.86, -77.87] [-48.66, -76.87]
2.378751e+09 [-45.93, -149.29] [-45.73, -148.29] [-45.53, -147.29]
2.469592e+09 [-56.52, -67.76] [-56.32, -66.76] [-56.12, -65.76]
2.563903e+09 [-40.46, 23.78] [-40.26, 24.78] [-40.06, 25.78]
2.661816e+09 [-40.01, -38.62] [-39.81, -37.62] [-39.61, -36.62]
2.763468e+09 [-40.59, 148.77] [-40.39, 149.77] [-40.19, 150.77]
2.869001e+09 [-38.02, -104.04] [-37.82, -103.04] [-37.62, -102.04]
2.978565e+09 [-43.94, -134.30] [-43.74, -133.30] [-43.54, -132.30]
3.092313e+09 [-32.84, 111.81] [-32.64, 112.81] [-32.44, 113.81]
3.210405e+09 [-38.56, 145.46] [-38.36, 146.46] [-38.16, 147.46]
3.333007e+09 [-45.34, 2.40] [-45.14, 3.40] [-44.94, 4.40]
3.460290e+09 [-49.45, -133.21] [-49.25, -132.21] [-49.05, -131.21]
3.592435e+09 [-55.55, -176.31] [-55.35, -175.31] [-55.15, -174.31]
3.729626e+09 [-43.86, 70.72] [-43.66, 71.72] [-43.46, 72.72]
3.872056e+09 [-40.17, 95.22] [-39.97, 96.22] [-39.77, 97.22]
4.019925e+09 [-39.68, 72.77] [-39.48, 73.77] [-39.28, 74.77]
4.173442e+09 [-37.09, 22.29] [-36.89, 23.29] [-36.69, 24.29]
4.332821e+09 [-37.32, -5.42] [-37.12, -4.42] [-36.92, -3.42]
4.498286e+09 [-32.02, -118.06] [-31.82, -117.06] [-31.62, -116.06]
4.670071e+09 [-36.70, 53.86] [-36.50, 54.86] [-36.30, 55.86]
4.848415e+09 [-39.36, -111.07] [-39.16, -110.07] [-38.96, -109.07]
5.033571e+09 [-47.67, 85.08] [-47.47, 86.08] [-47.27, 87.08]
5.225797e+09 [-43.80, -155.05] [-43.60, -154.05] [-43.40, -153.05]
5.425364e+09 [-35.40, -107.20] [-35.20, -106.20] [-35.00, -105.20]
5.632553e+09 [-36.34, -77.38] [-36.14, -76.38] [-35.94, -75.38]
5.847653e+09 [-33.03, -80.79] [-32.83, -79.79] [-32.63, -78.79]
6.070969e+09 [-55.15, -77.46] [-54.95, -76.46] [-54.75, -75.46]
6.302812e+09 [-34.42, 26.46] [-34.22, 27.46] [-34.02, 28.46]
6.543509e+09 [-36.35, -124.24] [-36.15, -123.24] [-35.95, -122.24]
6.793398e+09 [-39.46, 144.90] [-39.26, 145.90] [-39.06, 146.90]
7.052830e+09 [-56.56, 173.40] [-56.36, 174.40] [-56.16, 175.40]
7.322170e+09 [-33.03, -173.51] [-32.83, -172.51] [-32.63, -171.51]
7.601795e+09 [-53.92, -135.55] [-53.72, -134.55] [-53.52, -133.55]
7.892099e+09 [-46.81, -6.58] [-46.61, -5.58] [-46.41, -4.58]
8.193489e+09 [-45.24, -15.47] [-45.04, -14.47] [-44.84, -13.47]
8.506389e+09 [-50.48, -99.80] [-50.28, -98.80] [-50.08, -97.80]
8.831239e+09 [-40.89, 23.05] [-40.69, 24.05] [-40.49, 25.05]
9.168493e+09 [-38.38, 7.98] [-38.18, 8.98] [-37.98, 9.98]
9.518628e+09 [-35.93, 161.72] [-35.73, 162.72] [-35.53, 163.72]
9.882133e+09 [-25.42, -132.06] [-25.22, -131.06] [-25.02, -130.06]
1.025952e+10 [-28.10, 164.70] [-27.90, 165.70] [-27.70, 166.70]
1.065132e+10 [-31.47, 62.97] [-31.27, 63.97] [-31.07, 64.97]
1.105808e+10 [-26.47, -101.94] [-26.27, -100.94] [-26.07, -99.94]
1.148038e+10 [-38.20, -19.83] [-38.00, -18.83] [-37.80, -17.83]
1.191880e+10 [-44.79, 176.15] [-44.59, 177.15] [-44.39, 178.15]
1.237396e+10 [-38.11, -116.23] [-37.91, -115.23] [-37.71, -114.23]
1.284651e+10 [-49.65, 114.31] [-49.45, 115.31] [-49.25, 116.31]
1.333711e+10 [-36.14, -30.68] [-35.94, -29.68] [-35.74, -28.68]
1.384643e+10 [-30.63, -8.35] [-30.43, -7.35] [-30.23, -6.35]
1.437521e+10 [-37.15, -146.28] [-36.95, -145.28] [-36.75, -144.28]
1.492419e+10 [-30.17, 100.88] [-29.97, 101.88] [-29.77, 102.88]
1.549412e+10 [-33.10, 145.64] [-32.90, 146.64] [-32.70, 147.64]
1.608583e+10 [-34.00, 98.76] [-33.80, 99.76] [-33.60, 100.76]
1.670013e+10 [-30.98, -48.02] [-30.78, -47.02] [-30.58, -46.02]
1.733789e+10 [-39.27, 142.67] [-39.07, 143.67] [-38.87, 144.67]
1.800000e+10 [-34.24, -2.21] [-34.04, -1.21] [-33.84, -0.21]
