FUNIT: Hz
UNIT: dB
0 [-0.2, -2.00] [0, 0] [0.2, 2.00]
1.662368e+08 [-0.62, -41.91] [-0.42, -40.91] [-0.22, -39.91]
1.725852e+08 [-0.63, -70.98] [-0.43, -69.98] [-0.23, -68.98]
1.791760e+08 [-0.64, -100.99] [-0.44, -99.99] [-0.24, -98.99]
1.860186e+08 [-0.65, -132.29] [-0.45, -131.29] [-0.25, -130.29]
1.931224e+08 [-0.66, -164.79] [-0.46, -163.79] [-0.26, -162.79]
2.004975e+08 [-0.67, 161.57] [-0.47, 162.57] [-0.27, 163.57]
2.081543e+08 [-0.68, 126.56] [-0.48, 127.56] [-0.28, 128.56]
2.161035e+08 [-0.70, 90.32] [-0.50, 91.32] [-0.30, 92.32]
2.243562e+08 [-0.69, 52.57] [-0.49, 53.57] [-0.29, 54.57]
2.329241e+08 [-0.71, 13.42] [-0.51, 14.42] [-0.31, 15.42]
2.418192e+08 [-0.72, -27.22] [-0.52, -26.22] [-0.32, -25.22]
2.510540e+08 [-0.73, -69.39] [-0.53, -68.39] [-0.33, -67.39]
2.606415e+08 [-0.75, -113.15] [-0.55, -112.15] [-0.35, -111.15]
2.705951e+08 [-0.76, -158.63] [-0.56, -157.63] [-0.36, -156.63]
2.809288e+08 [-0.77, 154.20] [-0.57, 155.20] [-0.37, 156.20]
2.916571e+08 [-0.78, 105.22] [-0.58, 106.22] [-0.38, 107.22]
3.027952e+08 [-0.79, 54.36] [-0.59, 55.36] [-0.39, 56.36]
3.143586e+08 [-0.82, 1.59] [-0.62, 2.59] [-0.42, 3.59]
3.263636e+08 [-0.82, -53.22] [-0.62, -52.22] [-0.42, -51.22]
3.388271e+08 [-0.83, -110.11] [-0.63, -109.11] [-0.43, -108.11]
3.517665e+08 [-0.84, -169.20] [-0.64, -168.20] [-0.44, -167.20]
3.652000e+08 [-0.86, 129.46] [-0.66, 130.46] [-0.46, 131.46]
3.791466e+08 [-0.87, 65.82] [-0.67, 66.82] [-0.47, 67.82]
3.936258e+08 [-0.89, -0.31] [-0.69, 0.69] [-0.49, 1.69]
4.086579e+08 [-0.90, -68.92] [-0.70, -67.92] [-0.50, -66.92]
4.242641e+08 [-0.93, -140.16] [-0.73, -139.16] [-0.53, -138.16]
4.404662e+08 [-0.93, 145.95] [-0.73, 146.95] [-0.53, 147.95]
4.572871e+08 [-0.94, 69.16] [-0.74, 70.16] [-0.54, 71.16]
4.747504e+08 [-0.96, -10.62] [-0.76, -9.62] [-0.56, -8.62]
4.928806e+08 [-0.98, -93.33] [-0.78, -92.33] [-0.58, -91.33]
5.117031e+08 [-0.99, -179.24] [-0.79, -178.24] [-0.59, -177.24]
5.312445e+08 [-1.00, 91.52] [-0.80, 92.52] [-0.60, 93.52]
5.515321e+08 [-1.03, -1.02] [-0.83, -0.02] [-0.63, 0.98]
5.725945e+08 [-1.04, -97.14] [-0.84, -96.14] [-0.64, -95.14]
5.944612e+08 [-1.06, 163.06] [-0.86, 164.06] [-0.66, 165.06]
6.171630e+08 [-1.07, 59.43] [-0.87, 60.43] [-0.67, 61.43]
6.407317e+08 [-1.09, -48.11] [-0.89, -47.11] [-0.69, -46.11]
6.652006e+08 [-1.11, -159.78] [-0.91, -158.78] [-0.71, -157.78]
6.906038e+08 [-1.13, 84.28] [-0.93, 85.28] [-0.73, 86.28]
7.169772e+08 [-1.15, -36.04] [-0.95, -35.04] [-0.75, -34.04]
7.443577e+08 [-1.17, -161.00] [-0.97, -160.00] [-0.77, -159.00]
7.727839e+08 [-1.18, 69.29] [-0.98, 70.29] [-0.78, 71.29]
8.022956e+08 [-1.21, -65.34] [-1.01, -64.34] [-0.81, -63.34]
8.329344e+08 [-1.22, 154.86] [-1.02, 155.86] [-0.82, 156.86]
8.647432e+08 [-1.25, 9.67] [-1.05, 10.67] [-0.85, 11.67]
8.977667e+08 [-1.27, -141.01] [-1.07, -140.01] [-0.87, -139.01]
9.320514e+08 [-1.29, 62.60] [-1.09, 63.60] [-0.89, 64.60]
9.676454e+08 [-1.30, -99.84] [-1.10, -98.84] [-0.90, -97.84]
