FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.51, -153.59] [-0.31, -152.59] [-0.11, -151.59]
1.791760e+08 [-0.52, -173.07] [-0.32, -172.07] [-0.12, -171.07]
1.860186e+08 [-0.52, 166.62] [-0.32, 167.62] [-0.12, 168.62]
1.931224e+08 [-0.53, 145.53] [-0.33, 146.53] [-0.13, 147.53]
2.004975e+08 [-0.55, 123.71] [-0.35, 124.71] [-0.15, 125.71]
2.081543e+08 [-0.55, 100.98] [-0.35, 101.98] [-0.15, 102.98]
2.161035e+08 [-0.56, 77.51] [-0.36, 78.51] [-0.16, 79.51]
2.243562e+08 [-0.55, 53.00] [-0.35, 54.00] [-0.15, 55.00]
2.329241e+08 [-0.57, 27.58] [-0.37, 28.58] [-0.17, 29.58]
2.418192e+08 [-0.58, 1.21] [-0.38, 2.21] [-0.18, 3.21]
2.510540e+08 [-0.58, -26.13] [-0.38, -25.13] [-0.18, -24.13]
2.606415e+08 [-0.59, -54.52] [-0.39, -53.52] [-0.19, -52.52]
2.705951e+08 [-0.60, -84.05] [-0.40, -83.05] [-0.20, -82.05]
2.809288e+08 [-0.60, -114.66] [-0.40, -113.66] [-0.20, -112.66]
2.916571e+08 [-0.61, -146.42] [-0.41, -145.42] [-0.21, -144.42]
3.027952e+08 [-0.62, -179.42] [-0.42, -178.42] [-0.22, -177.42]
3.143586e+08 [-0.63, 146.33] [-0.43, 147.33] [-0.23, 148.33]
3.263636e+08 [-0.64, 110.73] [-0.44, 111.73] [-0.24, 112.73]
3.388271e+08 [-0.65, 73.84] [-0.45, 74.84] [-0.25, 75.84]
3.517665e+08 [-0.65, 35.52] [-0.45, 36.52] [-0.25, 37.52]
3.652000e+08 [-0.66, -4.31] [-0.46, -3.31] [-0.26, -2.31]
3.791466e+08 [-0.67, -45.58] [-0.47, -44.58] [-0.27, -43.58]
3.936258e+08 [-0.68, -88.53] [-0.48, -87.53] [-0.28, -86.53]
4.086579e+08 [-0.69, -133.03] [-0.49, -132.03] [-0.29, -131.03]
4.242641e+08 [-0.70, -179.26] [-0.50, -178.26] [-0.30, -177.26]
4.404662e+08 [-0.70, 132.78] [-0.50, 133.78] [-0.30, 134.78]
4.572871e+08 [-0.71, 82.96] [-0.51, 83.96] [-0.31, 84.96]
4.747504e+08 [-0.72, 31.20] [-0.52, 32.20] [-0.32, 33.20]
4.928806e+08 [-0.74, -22.47] [-0.54, -21.47] [-0.34, -20.47]
5.117031e+08 [-0.74, -78.21] [-0.54, -77.21] [-0.34, -76.21]
5.312445e+08 [-0.76, -136.11] [-0.56, -135.11] [-0.36, -134.11]
5.515321e+08 [-0.77, 163.86] [-0.57, 164.86] [-0.37, 165.86]
5.725945e+08 [-0.78, 101.48] [-0.58, 102.48] [-0.38, 103.48]
5.944612e+08 [-0.79, 36.72] [-0.59, 37.72] [-0.39, 38.72]
6.171630e+08 [-0.80, -30.52] [-0.60, -29.52] [-0.40, -28.52]
6.407317e+08 [-0.81, -100.32] [-0.61, -99.32] [-0.41, -98.32]
6.652006e+08 [-0.83, -172.76] [-0.63, -171.76] [-0.43, -170.76]
6.906038e+08 [-0.84, 112.00] [-0.64, 113.00] [-0.44, 114.00]
7.169772e+08 [-0.85, 33.94] [-0.65, 34.94] [-0.45, 35.94]
7.443577e+08 [-0.86, -47.15] [-0.66, -46.15] [-0.46, -45.15]
7.727839e+08 [-0.88, -131.33] [-0.68, -130.33] [-0.48, -129.33]
8.022956e+08 [-0.89, 141.34] [-0.69, 142.34] [-0.49, 143.34]
8.329344e+08 [-0.90, 50.66] [-0.70, 51.66] [-0.50, 52.66]
8.647432e+08 [-0.91, -43.55] [-0.71, -42.55] [-0.51, -41.55]
8.977667e+08 [-0.93, -141.36] [-0.73, -140.36] [-0.53, -139.36]
9.320514e+08 [-0.95, 117.15] [-0.75, 118.15] [-0.55, 119.15]
9.676454e+08 [-0.96, 11.75] [-0.76, 12.75] [-0.56, 13.75]
1.004599e+09 [-0.98, -97.63] [-0.78, -96.63] [-0.58, -95.63]
1.042963e+09 [-0.99, 148.83] [-0.79, 149.83] [-0.59, 150.83]
1.082793e+09 [-1.01, 30.89] [-0.81, 31.89] [-0.61, 32.89]
1.124143e+09 [-1.02, -91.52] [-0.82, -90.52] [-0.62, -89.52]
1.167073e+09 [-1.03, 141.40] [-0.83, 142.40] [-0.63, 143.40]
1.211642e+09 [-1.05, 9.42] [-0.85, 10.42] [-0.65, 11.42]
1.257913e+09 [-1.07, -127.52] [-0.87, -126.52] [-0.67, -125.52]
1.305952e+09 [-1.09, 90.26] [-0.89, 91.26] [-0.69, 92.26]
1.355825e+09 [-1.11, -57.37] [-0.91, -56.37] [-0.71, -55.37]
1.407602e+09 [-1.12, 149.37] [-0.92, 150.37] [-0.72, 151.37]
1.461357e+09 [-1.15, -9.75] [-0.95, -8.75] [-0.75, -7.75]
1.517164e+09 [-1.16, -174.97] [-0.96, -173.97] [-0.76, -172.97]
1.575103e+09 [-1.18, 13.47] [-0.98, 14.47] [-0.78, 15.47]
1.635254e+09 [-1.20, -164.53] [-1.00, -163.53] [-0.80, -162.53]
1.697703e+09 [-1.22, 10.63] [-1.02, 11.63] [-0.82, 12.63]
1.762536e+09 [-1.25, 178.78] [-1.05, 179.78] [-0.85, 180.78]
1.829845e+09 [-1.27, -20.47] [-1.07, -19.47] [-0.87, -18.47]
1.899725e+09 [-1.29, 132.80] [-1.09, 133.80] [-0.89, 134.80]
1.972273e+09 [-1.31, -82.05] [-1.11, -81.05] [-0.91, -80.05]
2.047592e+09 [-1.33, 55.04] [-1.13, 56.04] [-0.93, 57.04]
2.125787e+09 [-1.37, -176.41] [-1.17, -175.41] [-0.97, -174.41]
2.206969e+09 [-1.39, -56.70] [-1.19, -55.70] [-0.99, -54.70]
2.291250e+09 [-1.41, 53.93] [-1.21, 54.93] [-1.01, 55.93]
2.378751e+09 [-1.44, 155.01] [-1.24, 156.01] [-1.04, 157.01]
2.469592e+09 [-1.45, -113.90] [-1.25, -112.90] [-1.05, -111.90]
2.563903e+09 [-1.48, -32.95] [-1.28, -31.95] [-1.08, -30.95]
2.661816e+09 [-1.51, 37.26] [-1.31, 38.26] [-1.11, 39.26]
2.763468e+09 [-1.54, 96.41] [-1.34, 97.41] [-1.14, 98.41]
2.869001e+09 [-1.55, 144.02] [-1.35, 145.02] [-1.15, 146.02]
2.978565e+09 [-1.59, -180.17] [-1.39, -179.17] [-1.19, -178.17]
3.092313e+09 [-1.63, -156.84] [-1.43, -155.84] [-1.23, -154.84]
3.210405e+09 [-1.67, -146.29] [-1.47, -145.29] [-1.27, -144.29]
3.333007e+09 [-1.72, -149.18] [-1.52, -148.18] [-1.32, -147.18]
3.460290e+09 [-1.74, -165.82] [-1.54, -164.82] [-1.34, -163.82]
3.592435e+09 [-1.77, 163.14] [-1.57, 164.14] [-1.37, 165.14]
3.729626e+09 [-1.83, 117.04] [-1.63, 118.04] [-1.43, 119.04]
3.872056e+09 [-1.84, 55.63] [-1.64, 56.63] [-1.44, 57.63]
4.019925e+09 [-1.87, -22.01] [-1.67, -21.01] [-1.47, -20.01]
4.173442e+09 [-1.92, -116.41] [-1.72, -115.41] [-1.52, -114.41]
4.332821e+09 [-1.95, 132.01] [-1.75, 133.01] [-1.55, 134.01]
4.498286e+09 [-2.01, 2.35] [-1.81, 3.35] [-1.61, 4.35]
4.670071e+09 [-2.08, -146.03] [-1.88, -145.03] [-1.68, -144.03]
4.848415e+09 [-2.10, 46.12] [-1.90, 47.12] [-1.70, 48.12]
5.033571e+09 [-2.21, -141.77] [-2.01, -140.77] [-1.81, -139.77]
5.225797e+09 [-2.31, 9.39] [-2.11, 10.39] [-1.91, 11.39]
5.425364e+09 [-2.31, 138.94] [-2.11, 139.94] [-1.91, 140.94]
5.632553e+09 [-2.45, -114.06] [-2.25, -113.06] [-2.05, -112.06]
5.847653e+09 [-2.57, -30.24] [-2.37, -29.24] [-2.17, -28.24]
6.070969e+09 [-2.66, 29.44] [-2.46, 30.44] [-2.26, 31.44]
6.302812e+09 [-2.74, 63.77] [-2.54, 64.77] [-2.34, 65.77]
6.543509e+09 [-2.83, 72.17] [-2.63, 73.17] [-2.43, 74.17]
6.793398e+09 [-2.85, 53.78] [-2.65, 54.78] [-2.45, 55.78]
7.052830e+09 [-2.77, 6.68] [-2.57, 7.68] [-2.37, 8.68]
7.322170e+09 [-2.79, -70.13] [-2.59, -69.13] [-2.39, -68.13]
7.601795e+09 [-2.75, -177.28] [-2.55, -176.28] [-2.35, -175.28]
7.892099e+09 [-2.71, 43.24] [-2.51, 44.24] [-2.31, 45.24]
8.193489e+09 [-2.80, -128.84] [-2.60, -127.84] [-2.40, -126.84]
8.506389e+09 [-2.79, 25.15] [-2.59, 26.15] [-2.39, 27.15]
8.831239e+09 [-2.85, 143.75] [-2.65, 144.75] [-2.45, 145.75]
9.168493e+09 [-2.90, -134.26] [-2.70, -133.26] [-2.50, -132.26]
9.518628e+09 [-3.01, -90.98] [-2.81, -89.98] [-2.61, -88.98]
9.882133e+09 [-3.08, -86.31] [-2.88, -85.31] [-2.68, -84.31]
1.025952e+10 [-3.14, -122.86] [-2.94, -121.86] [-2.74, -120.86]
1.065132e+10 [-3.42, 156.84] [-3.22, 157.84] [-3.02, 158.84]
1.105808e+10 [-3.70, 34.15] [-3.50, 35.15] [-3.30, 36.15]
1.148038e+10 [-3.90, -130.81] [-3.70, -129.81] [-3.50, -128.81]
1.191880e+10 [-3.68, 11.87] [-3.48, 12.87] [-3.28, 13.87]
1.237396e+10 [-3.54, 104.60] [-3.34, 105.60] [-3.14, 106.60]
1.284651e+10 [-3.55, 145.40] [-3.35, 146.40] [-3.15, 147.40]
1.333711e+10 [-3.61, 133.29] [-3.41, 134.29] [-3.21, 135.29]
1.384643e+10 [-3.72, 66.20] [-3.52, 67.20] [-3.32, 68.20]
1.437521e+10 [-3.86, -58.57] [-3.66, -57.57] [-3.46, -56.57]
1.492419e+10 [-3.90, 117.18] [-3.70, 118.18] [-3.50, 119.18]
1.549412e+10 [-3.98, -129.47] [-3.78, -128.47] [-3.58, -127.47]
1.608583e+10 [-4.05, -81.20] [-3.85, -80.20] [-3.65, -79.20]
1.670013e+10 [-4.12, -99.31] [-3.92, -98.31] [-3.72, -97.31]
1.733789e+10 [-4.43, 172.74] [-4.23, 173.74] [-4.03, 174.74]
1.800000e+10 [-4.60, 14.38] [-4.40, 15.38] [-4.20, 16.38]
