FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.53, 69.08] [-0.33, 70.08] [-0.13, 71.08]
1.791760e+08 [-0.53, 44.40] [-0.33, 45.40] [-0.13, 46.40]
1.860186e+08 [-0.54, 18.65] [-0.34, 19.65] [-0.14, 20.65]
1.931224e+08 [-0.55, -8.09] [-0.35, -7.09] [-0.15, -6.09]
2.004975e+08 [-0.56, -35.79] [-0.36, -34.79] [-0.16, -33.79]
2.081543e+08 [-0.56, -64.60] [-0.36, -63.60] [-0.16, -62.60]
2.161035e+08 [-0.58, -94.41] [-0.38, -93.41] [-0.18, -92.41]
2.243562e+08 [-0.57, -125.48] [-0.37, -124.48] [-0.17, -123.48]
2.329241e+08 [-0.59, -157.69] [-0.39, -156.69] [-0.19, -155.69]
2.418192e+08 [-0.59, 168.86] [-0.39, 169.86] [-0.19, 170.86]
2.510540e+08 [-0.59, 134.17] [-0.39, 135.17] [-0.19, 136.17]
2.606415e+08 [-0.61, 98.15] [-0.41, 99.15] [-0.21, 100.15]
2.705951e+08 [-0.61, 60.71] [-0.41, 61.71] [-0.21, 62.71]
2.809288e+08 [-0.62, 21.90] [-0.42, 22.90] [-0.22, 23.90]
2.916571e+08 [-0.63, -18.40] [-0.43, -17.40] [-0.23, -16.40]
3.027952e+08 [-0.63, -60.25] [-0.43, -59.25] [-0.23, -58.25]
3.143586e+08 [-0.65, -103.71] [-0.45, -102.71] [-0.25, -101.71]
3.263636e+08 [-0.66, -148.85] [-0.46, -147.85] [-0.26, -146.85]
3.388271e+08 [-0.67, 164.37] [-0.47, 165.37] [-0.27, 166.37]
3.517665e+08 [-0.67, 115.73] [-0.47, 116.73] [-0.27, 117.73]
3.652000e+08 [-0.68, 65.26] [-0.48, 66.26] [-0.28, 67.26]
3.791466e+08 [-0.69, 12.88] [-0.49, 13.88] [-0.29, 14.88]
3.936258e+08 [-0.70, -41.55] [-0.50, -40.55] [-0.30, -39.55]
4.086579e+08 [-0.72, -98.03] [-0.52, -97.03] [-0.32, -96.03]
4.242641e+08 [-0.73, -156.67] [-0.53, -155.67] [-0.33, -154.67]
4.404662e+08 [-0.73, 142.51] [-0.53, 143.51] [-0.33, 144.51]
4.572871e+08 [-0.74, 79.31] [-0.54, 80.31] [-0.34, 81.31]
4.747504e+08 [-0.76, 13.67] [-0.56, 14.67] [-0.36, 15.67]
4.928806e+08 [-0.77, -54.41] [-0.57, -53.41] [-0.37, -52.41]
5.117031e+08 [-0.78, -125.12] [-0.58, -124.12] [-0.38, -123.12]
