FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.74, -62.49] [-0.54, -61.49] [-0.34, -60.49]
1.791760e+08 [-0.75, -105.94] [-0.55, -104.94] [-0.35, -103.94]
1.860186e+08 [-0.76, -151.16] [-0.56, -150.16] [-0.36, -149.16]
1.931224e+08 [-0.77, 161.89] [-0.57, 162.89] [-0.37, 163.89]
2.004975e+08 [-0.79, 113.22] [-0.59, 114.22] [-0.39, 115.22]
2.081543e+08 [-0.80, 62.66] [-0.60, 63.66] [-0.40, 64.66]
2.161035e+08 [-0.82, 10.23] [-0.62, 11.23] [-0.42, 12.23]
2.243562e+08 [-0.81, -44.31] [-0.61, -43.31] [-0.41, -42.31]
2.329241e+08 [-0.83, -100.87] [-0.63, -99.87] [-0.43, -98.87]
2.418192e+08 [-0.85, -159.64] [-0.65, -158.64] [-0.45, -157.64]
2.510540e+08 [-0.86, 139.42] [-0.66, 140.42] [-0.46, 141.42]
2.606415e+08 [-0.88, 76.16] [-0.68, 77.16] [-0.48, 78.16]
2.705951e+08 [-0.89, 10.43] [-0.69, 11.43] [-0.49, 12.43]
2.809288e+08 [-0.90, -57.78] [-0.70, -56.78] [-0.50, -55.78]
2.916571e+08 [-0.92, -128.58] [-0.72, -127.58] [-0.52, -126.58]
3.027952e+08 [-0.93, 157.88] [-0.73, 158.88] [-0.53, 159.88]
3.143586e+08 [-0.95, 81.58] [-0.75, 82.58] [-0.55, 83.58]
3.263636e+08 [-0.97, 2.38] [-0.77, 3.38] [-0.57, 4.38]
3.388271e+08 [-0.98, -79.87] [-0.78, -78.87] [-0.58, -77.87]
3.517665e+08 [-0.99, -165.29] [-0.79, -164.29] [-0.59, -163.29]
3.652000e+08 [-1.01, 106.04] [-0.81, 107.04] [-0.61, 108.04]
3.791466e+08 [-1.03, 14.03] [-0.83, 15.03] [-0.63, 16.03]
3.936258e+08 [-1.04, -81.55] [-0.84, -80.55] [-0.64, -79.55]
4.086579e+08 [-1.06, -180.75] [-0.86, -179.75] [-0.66, -178.75]
4.242641e+08 [-1.08, 76.25] [-0.88, 77.25] [-0.68, 78.25]
4.404662e+08 [-1.09, -30.59] [-0.89, -29.59] [-0.69, -28.59]
4.572871e+08 [-1.10, -141.61] [-0.90, -140.61] [-0.70, -139.61]
4.747504e+08 [-1.12, 103.09] [-0.92, 104.09] [-0.72, 105.09]
4.928806e+08 [-1.15, -16.50] [-0.95, -15.50] [-0.75, -14.50]
5.117031e+08 [-1.16, -140.70] [-0.96, -139.70] [-0.76, -138.70]
5.312445e+08 [-1.18, 90.32] [-0.98, 91.32] [-0.78, 92.32]
5.515321e+08 [-1.20, -43.49] [-1.00, -42.49] [-0.80, -41.49]
5.725945e+08 [-1.22, 177.54] [-1.02, 178.54] [-0.82, 179.54]
5.944612e+08 [-1.24, 33.25] [-1.04, 34.25] [-0.84, 35.25]
6.171630e+08 [-1.26, -116.54] [-1.06, -115.54] [-0.86, -114.54]
6.407317e+08 [-1.28, 87.96] [-1.08, 88.96] [-0.88, 89.96]
6.652006e+08 [-1.31, -73.47] [-1.11, -72.47] [-0.91, -71.47]
6.906038e+08 [-1.33, 118.93] [-1.13, 119.93] [-0.93, 120.93]
7.169772e+08 [-1.35, -55.04] [-1.15, -54.04] [-0.95, -53.04]
7.443577e+08 [-1.37, 124.32] [-1.17, 125.32] [-0.97, 126.32]
7.727839e+08 [-1.39, -63.22] [-1.19, -62.22] [-0.99, -61.22]
