FUNIT: Hz
UNIT: dB
1.725852e+08 [-0.64, -165.89] [-0.44, -164.89] [-0.24, -163.89]
1.791760e+08 [-0.65, 160.45] [-0.45, 161.45] [-0.25, 162.45]
1.860186e+08 [-0.66, 125.39] [-0.46, 126.39] [-0.26, 127.39]
1.931224e+08 [-0.67, 88.98] [-0.47, 89.98] [-0.27, 90.98]
2.004975e+08 [-0.68, 51.28] [-0.48, 52.28] [-0.28, 53.28]
2.081543e+08 [-0.68, 12.07] [-0.48, 13.07] [-0.28, 14.07]
2.161035e+08 [-0.70, -28.57] [-0.50, -27.57] [-0.30, -26.57]
2.243562e+08 [-0.70, -70.84] [-0.50, -69.84] [-0.30, -68.84]
2.329241e+08 [-0.71, -114.69] [-0.51, -113.69] [-0.31, -112.69]
2.418192e+08 [-0.73, -160.26] [-0.53, -159.26] [-0.33, -158.26]
2.510540e+08 [-0.73, 152.52] [-0.53, 153.52] [-0.33, 154.52]
2.606415e+08 [-0.75, 103.47] [-0.55, 104.47] [-0.35, 105.47]
2.705951e+08 [-0.76, 52.50] [-0.56, 53.50] [-0.36, 54.50]
2.809288e+08 [-0.76, -0.36] [-0.56, 0.64] [-0.36, 1.64]
2.916571e+08 [-0.78, -55.24] [-0.58, -54.24] [-0.38, -53.24]
3.027952e+08 [-0.78, -112.26] [-0.58, -111.26] [-0.38, -110.26]
3.143586e+08 [-0.80, -171.40] [-0.60, -170.40] [-0.40, -169.40]
3.263636e+08 [-0.82, 127.14] [-0.62, 128.14] [-0.42, 129.14]
3.388271e+08 [-0.83, 63.43] [-0.63, 64.43] [-0.43, 65.43]
3.517665e+08 [-0.83, -2.79] [-0.63, -1.79] [-0.43, -0.79]
3.652000e+08 [-0.85, -71.53] [-0.65, -70.53] [-0.45, -69.53]
3.791466e+08 [-0.86, -142.85] [-0.66, -141.85] [-0.46, -140.85]
3.936258e+08 [-0.87, 143.05] [-0.67, 144.05] [-0.47, 145.05]
4.086579e+08 [-0.89, 66.14] [-0.69, 67.14] [-0.49, 68.14]
4.242641e+08 [-0.90, -13.70] [-0.70, -12.70] [-0.50, -11.70]
4.404662e+08 [-0.91, -96.54] [-0.71, -95.54] [-0.51, -94.54]
4.572871e+08 [-0.92, 177.41] [-0.72, 178.41] [-0.52, 179.41]
4.747504e+08 [-0.94, 88.04] [-0.74, 89.04] [-0.54, 90.04]
4.928806e+08 [-0.96, -4.66] [-0.76, -3.66] [-0.56, -2.66]
5.117031e+08 [-0.97, -100.95] [-0.77, -99.95] [-0.57, -98.95]
5.312445e+08 [-0.98, 159.08] [-0.78, 160.08] [-0.58, 161.08]
5.515321e+08 [-1.00, 55.33] [-0.80, 56.33] [-0.60, 57.33]
5.725945e+08 [-1.02, -52.40] [-0.82, -51.40] [-0.62, -50.40]
5.944612e+08 [-1.03, -164.25] [-0.83, -163.25] [-0.63, -162.25]
6.171630e+08 [-1.05, 79.62] [-0.85, 80.62] [-0.65, 81.62]
6.407317e+08 [-1.07, -40.91] [-0.87, -39.91] [-0.67, -38.91]
6.652006e+08 [-1.09, -166.06] [-0.89, -165.06] [-0.69, -164.06]
6.906038e+08 [-1.10, 64.00] [-0.90, 65.00] [-0.70, 66.00]
7.169772e+08 [-1.12, -70.86] [-0.92, -69.86] [-0.72, -68.86]
7.443577e+08 [-1.14, 149.11] [-0.94, 150.11] [-0.74, 151.11]
7.727839e+08 [-1.16, 3.74] [-0.96, 4.74] [-0.76, 5.74]
8.022956e+08 [-1.17, -147.16] [-0.97, -146.16] [-0.77, -145.16]
8.329344e+08 [-1.19, 56.18] [-0.99, 57.18] [-0.79, 58.18]
8.647432e+08 [-1.21, -106.53] [-1.01, -105.53] [-0.81, -104.53]
8.977667e+08 [-1.23, 84.57] [-1.03, 85.57] [-0.83, 86.57]
9.320514e+08 [-1.26, -90.74] [-1.06, -89.74] [-0.86, -88.74]
9.676454e+08 [-1.27, 87.23] [-1.07, 88.23] [-0.87, 89.23]
1.004599e+09 [-1.30, -101.73] [-1.10, -100.73] [-0.90, -99.73]
1.042963e+09 [-1.32, 62.13] [-1.12, 63.13] [-0.92, 64.13]
1.082793e+09 [-1.34, -141.57] [-1.14, -140.57] [-0.94, -139.57]
1.124143e+09 [-1.36, 7.00] [-1.16, 8.00] [-0.96, 9.00]
1.167073e+09 [-1.38, 147.48] [-1.18, 148.48] [-0.98, 149.48]
1.211642e+09 [-1.41, -80.45] [-1.21, -79.45] [-1.01, -78.45]
1.257913e+09 [-1.43, 42.97] [-1.23, 43.97] [-1.03, 44.97]
1.305952e+09 [-1.45, 157.33] [-1.25, 158.33] [-1.05, 159.33]
1.355825e+09 [-1.48, -97.72] [-1.28, -96.72] [-1.08, -95.72]
1.407602e+09 [-1.50, -2.39] [-1.30, -1.39] [-1.10, -0.39]
1.461357e+09 [-1.53, 82.70] [-1.33, 83.70] [-1.13, 84.70]
1.517164e+09 [-1.56, 157.35] [-1.36, 158.35] [-1.16, 159.35]
1.575103e+09 [-1.58, -138.95] [-1.38, -137.95] [-1.18, -136.95]
1.635254e+09 [-1.62, -86.50] [-1.42, -85.50] [-1.22, -84.50]
1.697703e+09 [-1.64, -45.76] [-1.44, -44.76] [-1.24, -43.76]
1.762536e+09 [-1.70, -17.18] [-1.50, -16.18] [-1.30, -15.18]
1.829845e+09 [-1.71, -1.35] [-1.51, -0.35] [-1.31, 0.65]
1.899725e+09 [-1.75, 1.47] [-1.55, 2.47] [-1.35, 3.47]
1.972273e+09 [-1.78, -9.62] [-1.58, -8.62] [-1.38, -7.62]
2.047592e+09 [-1.81, -34.56] [-1.61, -33.56] [-1.41, -32.56]
2.125787e+09 [-1.84, -74.39] [-1.64, -73.39] [-1.44, -72.39]
2.206969e+09 [-1.87, -129.49] [-1.67, -128.49] [-1.47, -127.49]
2.291250e+09 [-1.93, 159.69] [-1.73, 160.69] [-1.53, 161.69]
2.378751e+09 [-1.97, 72.36] [-1.77, 73.36] [-1.57, 74.36]
2.469592e+09 [-1.99, -32.01] [-1.79, -31.01] [-1.59, -30.01]
